date,current_ratio
"Dec. 31, 2019",1.110
"Sept. 30, 2019",1.105
"June 30, 2019",1.089
"March 31, 2019",1.128
"Dec. 31, 2018",1.151
"Sept. 30, 2018",1.145
"June 30, 2018",1.208
"March 31, 2018",1.222
"Dec. 31, 2017",1.220
"Sept. 30, 2017",1.061
"June 30, 2017",1.118
"March 31, 2017",1.008
"Dec. 31, 2016",1.181
"Sept. 30, 2016",1.180
"June 30, 2016",1.317
"March 31, 2016",1.254
"Dec. 31, 2015",1.235
"Sept. 30, 2015",1.144
"June 30, 2015",1.336
"March 31, 2015",1.312
"Dec. 31, 2014",1.301
"Sept. 30, 2014",1.464
"June 30, 2014",1.480
"March 31, 2014",1.590
"Dec. 31, 2013",1.877
"Sept. 30, 2013",1.759
"June 30, 2013",1.841
"March 31, 2013",1.802
"Dec. 31, 2012",1.858
"Sept. 30, 2012",1.588
"June 30, 2012",1.750
"March 31, 2012",1.786
"Dec. 31, 2011",1.886
"Sept. 30, 2011",1.681
"June 30, 2011",1.700
"March 31, 2011",1.659
"Dec. 31, 2010",1.960
"Sept. 30, 2010",1.582
"June 30, 2010",1.434
"March 31, 2010",1.366
"Dec. 31, 2009",1.487
"Sept. 30, 2009",1.412
"June 30, 2009",1.423
"March 31, 2009",1.293
"Dec. 31, 2008",1.132
"Sept. 30, 2008",1.123
"June 30, 2008",0.9957
"March 31, 2008",1.070
"Dec. 31, 2007",1.195
"Sept. 30, 2007",1.216
"June 30, 2007",1.312
"March 31, 2007",1.357
"Dec. 31, 2006",1.396
"Sept. 30, 2006",1.297
"June 30, 2006",1.592
"March 31, 2006",1.548
"Dec. 31, 2005",1.646
"Sept. 30, 2005",1.453
"June 30, 2005",1.998
"March 31, 2005",1.955
"Dec. 31, 2004",1.944
"Sept. 30, 2004",1.924
"June 30, 2004",1.832
"March 31, 2004",1.815
"Dec. 31, 2003",1.771
"Sept. 30, 2003",1.646
"June 30, 2003",1.725
"March 31, 2003",1.610
"Dec. 31, 2002",1.573
"Sept. 30, 2002",1.349
"June 30, 2002",1.633
"March 31, 2002",1.574
"Dec. 31, 2001",1.587
"Sept. 30, 2001",1.271
"June 30, 2001",1.508
"March 31, 2001",1.689
"Dec. 31, 2000",1.583
"Sept. 30, 2000",1.621
"June 30, 2000",1.670
"March 31, 2000",1.663
"Dec. 31, 1999",2.428
