date,forward_ps_ratio
"March 19, 2020",1.072
"March 18, 2020",1.106
"March 17, 2020",1.078
"March 16, 2020",0.97
"March 13, 2020",1.050
"March 12, 2020",0.9601
"March 11, 2020",0.9804
"March 10, 2020",1.034
"March 9, 2020",0.9714
"March 6, 2020",1.041
"March 5, 2020",1.030
"March 4, 2020",1.062
"March 3, 2020",1.011
"March 2, 2020",1.028
"Feb. 28, 2020",1.002
"Feb. 27, 2020",0.9996
"Feb. 26, 2020",1.038
"Feb. 25, 2020",1.040
"Feb. 24, 2020",1.091
"Feb. 21, 2020",1.140
"Feb. 20, 2020",1.180
"Feb. 19, 2020",1.183
"Feb. 18, 2020",1.179
"Feb. 14, 2020",1.174
"Feb. 13, 2020",1.166
"Feb. 12, 2020",1.169
"Feb. 11, 2020",1.162
"Feb. 10, 2020",1.142
"Feb. 7, 2020",1.142
"Feb. 6, 2020",1.180
"Feb. 5, 2020",1.173
"Feb. 4, 2020",1.143
"Feb. 3, 2020",1.128
"Jan. 31, 2020",1.145
"Jan. 30, 2020",1.194
"Jan. 29, 2020",1.280
"Jan. 28, 2020",1.276
"Jan. 27, 2020",1.271
"Jan. 24, 2020",1.290
"Jan. 23, 2020",1.293
"Jan. 22, 2020",1.297
"Jan. 21, 2020",1.298
"Jan. 17, 2020",1.312
"Jan. 16, 2020",1.312
"Jan. 15, 2020",1.304
"Jan. 14, 2020",1.297
"Jan. 13, 2020",1.291
"Jan. 10, 2020",1.281
"Jan. 9, 2020",1.293
"Jan. 8, 2020",1.290
"Jan. 7, 2020",1.283
"Jan. 6, 2020",1.285
"Jan. 3, 2020",1.291
"Jan. 2, 2020",1.292
"Dec. 31, 2019",1.294
"Dec. 30, 2019",1.346
"Dec. 27, 2019",1.375
"Dec. 26, 2019",1.376
"Dec. 24, 2019",1.368
"Dec. 23, 2019",1.375
"Dec. 20, 2019",1.357
"Dec. 19, 2019",1.370
"Dec. 18, 2019",1.363
"Dec. 17, 2019",1.390
"Dec. 16, 2019",1.377
"Dec. 13, 2019",1.371
"Dec. 12, 2019",1.352
"Dec. 11, 2019",1.350
"Dec. 10, 2019",1.370
"Dec. 9, 2019",1.365
"Dec. 6, 2019",1.358
"Dec. 5, 2019",1.329
"Dec. 4, 2019",1.346
"Dec. 3, 2019",1.351
"Dec. 2, 2019",1.366
"Nov. 29, 2019",1.384
"Nov. 27, 2019",1.385
"Nov. 26, 2019",1.401
"Nov. 25, 2019",1.390
"Nov. 22, 2019",1.379
"Nov. 21, 2019",1.381
"Nov. 20, 2019",1.376
"Nov. 19, 2019",1.393
"Nov. 18, 2019",1.419
"Nov. 15, 2019",1.43
"Nov. 14, 2019",1.434
"Nov. 13, 2019",1.422
"Nov. 12, 2019",1.422
"Nov. 11, 2019",1.423
"Nov. 8, 2019",1.437
"Nov. 7, 2019",1.427
"Nov. 6, 2019",1.410
"Nov. 5, 2019",1.403
"Nov. 4, 2019",1.422
"Nov. 1, 2019",1.381
"Oct. 31, 2019",1.331
"Oct. 30, 2019",1.351
"Oct. 29, 2019",1.351
"Oct. 28, 2019",1.344
"Oct. 25, 2019",1.338
"Oct. 24, 2019",1.318
"Oct. 23, 2019",1.331
"Oct. 22, 2019",1.342
"Oct. 21, 2019",1.370
"Oct. 18, 2019",1.356
"Oct. 17, 2019",1.368
"Oct. 16, 2019",1.358
"Oct. 15, 2019",1.346
"Oct. 14, 2019",1.340
"Oct. 11, 2019",1.341
"Oct. 10, 2019",1.333
"Oct. 9, 2019",1.316
"Oct. 8, 2019",1.303
"Oct. 7, 2019",1.336
"Oct. 4, 2019",1.358
"Oct. 3, 2019",1.340
"Oct. 2, 2019",1.332
"Oct. 1, 2019",1.339
"Sept. 30, 2019",1.385
"Sept. 27, 2019",1.376
"Sept. 26, 2019",1.370
"Sept. 25, 2019",1.377
"Sept. 24, 2019",1.365
"Sept. 23, 2019",1.377
"Sept. 20, 2019",1.396
"Sept. 19, 2019",1.378
"Sept. 18, 2019",1.400
"Sept. 17, 2019",1.416
"Sept. 16, 2019",1.418
"Sept. 13, 2019",1.419
"Sept. 12, 2019",1.418
"Sept. 11, 2019",1.421
"Sept. 10, 2019",1.416
"Sept. 9, 2019",1.408
"Sept. 6, 2019",1.389
"Sept. 5, 2019",1.402
"Sept. 4, 2019",1.382
"Sept. 3, 2019",1.358
"Aug. 30, 2019",1.373
"Aug. 29, 2019",1.370
"Aug. 28, 2019",1.346
"Aug. 27, 2019",1.320
"Aug. 26, 2019",1.323
"Aug. 23, 2019",1.288
"Aug. 22, 2019",1.333
"Aug. 21, 2019",1.341
"Aug. 20, 2019",1.331
"Aug. 19, 2019",1.351
"Aug. 16, 2019",1.334
"Aug. 15, 2019",1.318
"Aug. 14, 2019",1.319
"Aug. 13, 2019",1.340
"Aug. 12, 2019",1.329
"Aug. 9, 2019",1.339
"Aug. 8, 2019",1.36
"Aug. 7, 2019",1.335
"Aug. 6, 2019",1.330
"Aug. 5, 2019",1.329
"Aug. 2, 2019",1.356
"Aug. 1, 2019",1.353
"July 31, 2019",1.382
"July 30, 2019",1.386
"July 29, 2019",1.374
"July 26, 2019",1.395
"July 25, 2019",1.368
"July 24, 2019",1.323
"July 23, 2019",1.218
"July 22, 2019",1.203
"July 19, 2019",1.195
"July 18, 2019",1.189
"July 17, 2019",1.183
"July 16, 2019",1.222
"July 15, 2019",1.224
"July 12, 2019",1.225
"July 11, 2019",1.195
"July 10, 2019",1.176
"July 9, 2019",1.177
"July 8, 2019",1.179
"July 5, 2019",1.185
"July 3, 2019",1.194
"July 2, 2019",1.18
"July 1, 2019",1.191
"June 30, 2019",
"June 28, 2019",1.198
"June 27, 2019",1.179
"June 26, 2019",1.159
"June 25, 2019",1.126
"June 24, 2019",1.156
"June 21, 2019",1.185
"June 20, 2019",1.199
"June 19, 2019",1.178
"June 18, 2019",1.185
"June 17, 2019",1.176
"June 14, 2019",1.178
"June 13, 2019",1.183
"June 12, 2019",1.164
"June 11, 2019",1.160
"June 10, 2019",1.161
"June 7, 2019",1.139
"June 6, 2019",1.136
"June 5, 2019",1.139
"June 4, 2019",1.133
"June 3, 2019",1.092
"May 31, 2019",1.078
"May 30, 2019",1.110
"May 29, 2019",1.099
"May 28, 2019",1.091
"May 24, 2019",1.112
"May 23, 2019",1.115
"May 22, 2019",1.131
"May 21, 2019",1.153
"May 20, 2019",1.143
"May 17, 2019",1.153
"May 16, 2019",1.175
"May 15, 2019",1.178
"May 14, 2019",1.157
"May 13, 2019",1.152
"May 10, 2019",1.167
"May 9, 2019",1.168
"May 8, 2019",1.181
"May 7, 2019",1.184
"May 6, 2019",1.213
"May 3, 2019",1.237
"May 2, 2019",1.224
"May 1, 2019",1.213
"April 30, 2019",1.232
"April 29, 2019",1.216
"April 26, 2019",1.206
"April 25, 2019",1.219
"April 24, 2019",1.327
"April 23, 2019",1.317
"April 22, 2019",1.318
"April 18, 2019",1.324
"April 17, 2019",1.328
"April 16, 2019",1.320
"April 15, 2019",1.317
"April 12, 2019",1.326
"April 11, 2019",1.315
"April 10, 2019",1.310
"April 9, 2019",1.308
"April 8, 2019",1.321
"April 5, 2019",1.325
"April 4, 2019",1.321
"April 3, 2019",1.325
"April 2, 2019",1.317
"April 1, 2019",1.326
"March 31, 2019",
"March 29, 2019",1.295
"March 28, 2019",1.278
"March 27, 2019",1.263
"March 26, 2019",1.256
"March 25, 2019",1.239
"March 22, 2019",1.244
"March 21, 2019",1.272
"March 20, 2019",1.251
"March 19, 2019",1.279
"March 18, 2019",1.283
"March 15, 2019",1.269
"March 14, 2019",1.285
"March 13, 2019",1.285
"March 12, 2019",1.263
"March 11, 2019",1.261
"March 8, 2019",1.237
"March 7, 2019",1.239
"March 6, 2019",1.262
"March 5, 2019",1.275
"March 4, 2019",1.281
"March 1, 2019",1.300
"Feb. 28, 2019",1.278
"Feb. 27, 2019",1.288
"Feb. 26, 2019",1.288
"Feb. 25, 2019",1.285
"Feb. 22, 2019",1.279
"Feb. 21, 2019",1.295
"Feb. 20, 2019",1.287
"Feb. 19, 2019",1.284
"Feb. 15, 2019",1.285
"Feb. 14, 2019",1.296
"Feb. 13, 2019",1.298
"Feb. 12, 2019",1.283
"Feb. 11, 2019",1.262
"Feb. 8, 2019",1.253
"Feb. 7, 2019",1.251
"Feb. 6, 2019",1.261
"Feb. 5, 2019",1.245
"Feb. 4, 2019",1.232
"Feb. 1, 2019",1.226
"Jan. 31, 2019",1.218
"Jan. 30, 2019",1.170
"Jan. 29, 2019",1.171
"Jan. 28, 2019",1.160
"Jan. 25, 2019",1.166
"Jan. 24, 2019",1.152
"Jan. 23, 2019",1.167
"Jan. 22, 2019",1.187
"Jan. 18, 2019",1.174
"Jan. 17, 2019",1.151
"Jan. 16, 2019",1.121
"Jan. 15, 2019",1.128
"Jan. 14, 2019",1.146
"Jan. 11, 2019",1.132
"Jan. 10, 2019",1.143
"Jan. 9, 2019",1.132
"Jan. 8, 2019",1.126
"Jan. 7, 2019",1.126
"Jan. 4, 2019",1.130
"Jan. 3, 2019",1.092
"Jan. 2, 2019",1.124
"Dec. 31, 2018",1.128
