date,historical_monthly_var_5_all
"Feb. 29, 2020",9.36%
"Jan. 31, 2020",9.04%
"Dec. 31, 2019",9.04%
"Nov. 30, 2019",9.05%
"Oct. 31, 2019",9.05%
"Sept. 30, 2019",9.09%
"Aug. 31, 2019",9.14%
"July 31, 2019",9.18%
"June 30, 2019",9.19%
"May 31, 2019",9.19%
"April 30, 2019",8.92%
"March 31, 2019",8.94%
"Feb. 28, 2019",8.96%
"Jan. 31, 2019",8.96%
"Dec. 31, 2018",8.94%
"Nov. 30, 2018",8.77%
"Oct. 31, 2018",8.75%
"Sept. 30, 2018",8.74%
"Aug. 31, 2018",8.75%
"July 31, 2018",8.79%
"June 30, 2018",8.71%
"May 31, 2018",8.72%
"April 30, 2018",8.75%
"March 31, 2018",8.76%
"Feb. 28, 2018",8.76%
"Jan. 31, 2018",8.49%
"Dec. 31, 2017",8.50%
"Nov. 30, 2017",8.51%
"Oct. 31, 2017",8.52%
"Sept. 30, 2017",8.53%
"Aug. 31, 2017",8.53%
"July 31, 2017",8.55%
"June 30, 2017",8.56%
"May 31, 2017",8.57%
"April 30, 2017",8.58%
"March 31, 2017",8.59%
"Feb. 28, 2017",8.65%
"Jan. 31, 2017",8.60%
"Dec. 31, 2016",8.66%
"Nov. 30, 2016",8.68%
"Oct. 31, 2016",8.70%
"Sept. 30, 2016",8.72%
"Aug. 31, 2016",8.74%
"July 31, 2016",8.79%
"June 30, 2016",8.80%
"May 31, 2016",8.82%
"April 30, 2016",8.84%
"March 31, 2016",8.87%
"Feb. 29, 2016",8.90%
"Jan. 31, 2016",8.92%
"Dec. 31, 2015",8.85%
"Nov. 30, 2015",8.88%
"Oct. 31, 2015",8.91%
"Sept. 30, 2015",8.92%
"Aug. 31, 2015",8.93%
"July 31, 2015",8.96%
"June 30, 2015",8.97%
"May 31, 2015",9.03%
"April 30, 2015",9.04%
"March 31, 2015",9.05%
"Feb. 28, 2015",9.05%
"Jan. 31, 2015",9.05%
"Dec. 31, 2014",9.04%
"Nov. 30, 2014",9.05%
"Oct. 31, 2014",9.05%
"Sept. 30, 2014",9.06%
"Aug. 31, 2014",9.11%
"July 31, 2014",9.18%
"June 30, 2014",9.19%
"May 31, 2014",9.19%
"April 30, 2014",9.21%
"March 31, 2014",9.24%
"Feb. 28, 2014",9.27%
"Jan. 31, 2014",9.28%
"Dec. 31, 2013",9.28%
"Nov. 30, 2013",9.30%
"Oct. 31, 2013",9.34%
"Sept. 30, 2013",9.37%
"Aug. 31, 2013",9.41%
"July 31, 2013",9.48%
"June 30, 2013",9.52%
"May 31, 2013",9.59%
"April 30, 2013",9.61%
"March 31, 2013",9.63%
"Feb. 28, 2013",9.68%
"Jan. 31, 2013",9.71%
"Dec. 31, 2012",9.78%
"Nov. 30, 2012",9.83%
"Oct. 31, 2012",9.85%
"Sept. 30, 2012",9.85%
"Aug. 31, 2012",9.88%
"July 31, 2012",9.92%
"June 30, 2012",9.96%
"May 31, 2012",9.98%
"April 30, 2012",10.02%
"March 31, 2012",10.08%
"Feb. 29, 2012",10.17%
"Jan. 31, 2012",10.32%
"Dec. 31, 2011",10.40%
"Nov. 30, 2011",10.41%
