date,market_cap
"March 19, 2020",82.63B
"March 18, 2020",85.21B
"March 17, 2020",83.09B
"March 16, 2020",74.74B
"March 13, 2020",80.90B
"March 12, 2020",73.98B
"March 11, 2020",75.54B
"March 10, 2020",79.68B
"March 9, 2020",74.84B
"March 6, 2020",80.70B
"March 5, 2020",79.83B
"March 4, 2020",82.26B
"March 3, 2020",78.38B
"March 2, 2020",79.62B
"Feb. 28, 2020",77.68B
"Feb. 27, 2020",77.47B
"Feb. 26, 2020",80.47B
"Feb. 25, 2020",80.61B
"Feb. 24, 2020",84.55B
"Feb. 21, 2020",88.37B
"Feb. 20, 2020",91.41B
"Feb. 19, 2020",91.65B
"Feb. 18, 2020",91.36B
"Feb. 14, 2020",90.96B
"Feb. 13, 2020",90.35B
"Feb. 12, 2020",90.60B
"Feb. 11, 2020",90.03B
"Feb. 10, 2020",88.48B
"Feb. 7, 2020",88.53B
"Feb. 6, 2020",91.44B
"Feb. 5, 2020",90.88B
"Feb. 4, 2020",88.60B
"Feb. 3, 2020",87.44B
"Jan. 31, 2020",88.72B
"Jan. 30, 2020",92.56B
"Jan. 29, 2020",99.21B
"Jan. 28, 2020",98.87B
"Jan. 27, 2020",98.49B
"Jan. 24, 2020",99.98B
"Jan. 23, 2020",100.21B
"Jan. 22, 2020",100.49B
"Jan. 21, 2020",100.60B
"Jan. 17, 2020",101.64B
"Jan. 16, 2020",101.65B
"Jan. 15, 2020",101.07B
"Jan. 14, 2020",100.50B
"Jan. 13, 2020",100.05B
"Jan. 10, 2020",99.30B
"Jan. 9, 2020",100.21B
"Jan. 8, 2020",99.98B
"Jan. 7, 2020",99.41B
"Jan. 6, 2020",99.58B
"Jan. 3, 2020",100.03B
"Jan. 2, 2020",100.09B
"Dec. 31, 2019",100.32B
"Dec. 30, 2019",99.88B
"Dec. 27, 2019",102.03B
"Dec. 26, 2019",102.12B
"Dec. 24, 2019",101.51B
"Dec. 23, 2019",102.03B
"Dec. 20, 2019",100.71B
"Dec. 19, 2019",101.70B
"Dec. 18, 2019",101.18B
"Dec. 17, 2019",103.19B
"Dec. 16, 2019",102.18B
"Dec. 13, 2019",101.75B
"Dec. 12, 2019",100.32B
"Dec. 11, 2019",100.19B
"Dec. 10, 2019",101.69B
"Dec. 9, 2019",101.34B
"Dec. 6, 2019",100.82B
"Dec. 5, 2019",98.66B
"Dec. 4, 2019",99.91B
"Dec. 3, 2019",100.31B
"Dec. 2, 2019",101.41B
"Nov. 29, 2019",102.71B
"Nov. 27, 2019",102.83B
"Nov. 26, 2019",103.97B
"Nov. 25, 2019",103.20B
"Nov. 22, 2019",102.36B
"Nov. 21, 2019",102.53B
"Nov. 20, 2019",102.09B
"Nov. 19, 2019",103.40B
"Nov. 18, 2019",105.31B
"Nov. 15, 2019",106.14B
"Nov. 14, 2019",106.44B
"Nov. 13, 2019",105.53B
"Nov. 12, 2019",105.52B
"Nov. 11, 2019",105.63B
"Nov. 8, 2019",106.63B
"Nov. 7, 2019",105.93B
"Nov. 6, 2019",104.61B
"Nov. 5, 2019",104.13B
"Nov. 4, 2019",105.53B
"Nov. 1, 2019",102.52B
"Oct. 31, 2019",98.80B
"Oct. 30, 2019",100.26B
"Oct. 29, 2019",100.29B
"Oct. 28, 2019",99.72B
"Oct. 25, 2019",99.27B
"Oct. 24, 2019",97.80B
"Oct. 23, 2019",98.78B
"Oct. 22, 2019",99.59B
"Oct. 21, 2019",101.67B
"Oct. 18, 2019",100.67B
"Oct. 17, 2019",101.56B
"Oct. 16, 2019",100.79B
"Oct. 15, 2019",99.94B
"Oct. 14, 2019",99.42B
"Oct. 11, 2019",99.55B
"Oct. 10, 2019",98.91B
"Oct. 9, 2019",97.69B
"Oct. 8, 2019",96.73B
"Oct. 7, 2019",99.16B
"Oct. 4, 2019",100.81B
"Oct. 3, 2019",99.44B
"Oct. 2, 2019",98.88B
"Oct. 1, 2019",99.36B
"Sept. 30, 2019",102.81B
"Sept. 27, 2019",102.14B
"Sept. 26, 2019",101.71B
"Sept. 25, 2019",102.23B
"Sept. 24, 2019",101.32B
"Sept. 23, 2019",102.23B
"Sept. 20, 2019",103.65B
"Sept. 19, 2019",102.29B
"Sept. 18, 2019",103.94B
"Sept. 17, 2019",105.10B
"Sept. 16, 2019",105.25B
"Sept. 13, 2019",105.34B
"Sept. 12, 2019",105.24B
"Sept. 11, 2019",105.49B
"Sept. 10, 2019",105.11B
"Sept. 9, 2019",104.47B
"Sept. 6, 2019",103.11B
"Sept. 5, 2019",104.08B
"Sept. 4, 2019",102.59B
"Sept. 3, 2019",100.75B
"Aug. 30, 2019",101.89B
"Aug. 29, 2019",101.64B
"Aug. 28, 2019",99.89B
"Aug. 27, 2019",98.00B
"Aug. 26, 2019",98.20B
"Aug. 23, 2019",95.56B
"Aug. 22, 2019",98.94B
"Aug. 21, 2019",99.55B
"Aug. 20, 2019",98.79B
"Aug. 19, 2019",100.29B
"Aug. 16, 2019",99.01B
"Aug. 15, 2019",97.81B
"Aug. 14, 2019",97.93B
"Aug. 13, 2019",99.46B
"Aug. 12, 2019",98.66B
"Aug. 9, 2019",99.40B
"Aug. 8, 2019",100.94B
"Aug. 7, 2019",99.10B
"Aug. 6, 2019",98.75B
"Aug. 5, 2019",98.62B
"Aug. 2, 2019",100.64B
"Aug. 1, 2019",100.45B
"July 31, 2019",102.59B
"July 30, 2019",102.88B
"July 29, 2019",101.97B
"July 26, 2019",103.54B
"July 25, 2019",101.54B
"July 24, 2019",98.23B
"July 23, 2019",90.40B
"July 22, 2019",89.31B
"July 19, 2019",88.71B
"July 18, 2019",88.27B
"July 17, 2019",87.79B
"July 16, 2019",90.69B
"July 15, 2019",90.83B
"July 12, 2019",90.93B
"July 11, 2019",88.72B
"July 10, 2019",87.25B
"July 9, 2019",87.35B
"July 8, 2019",87.51B
"July 5, 2019",87.94B
"July 3, 2019",88.61B
"July 2, 2019",87.58B
"July 1, 2019",88.41B
"June 28, 2019",88.89B
"June 27, 2019",87.54B
"June 26, 2019",86.05B
"June 25, 2019",83.61B
"June 24, 2019",85.83B
"June 21, 2019",87.94B
"June 20, 2019",89.00B
"June 19, 2019",87.42B
"June 18, 2019",87.93B
"June 17, 2019",87.28B
"June 14, 2019",87.47B
"June 13, 2019",87.81B
"June 12, 2019",86.42B
"June 11, 2019",86.08B
"June 10, 2019",86.15B
"June 7, 2019",84.55B
"June 6, 2019",84.35B
"June 5, 2019",84.53B
"June 4, 2019",84.06B
"June 3, 2019",81.02B
"May 31, 2019",79.98B
"May 30, 2019",82.42B
"May 29, 2019",81.57B
"May 28, 2019",80.97B
"May 24, 2019",82.50B
"May 23, 2019",82.78B
"May 22, 2019",83.92B
"May 21, 2019",85.57B
"May 20, 2019",84.80B
"May 17, 2019",85.56B
"May 16, 2019",87.20B
"May 15, 2019",87.40B
"May 14, 2019",85.87B
"May 13, 2019",85.52B
"May 10, 2019",86.62B
"May 9, 2019",86.72B
"May 8, 2019",87.67B
"May 7, 2019",87.87B
"May 6, 2019",90.05B
"May 3, 2019",91.80B
"May 2, 2019",90.82B
"May 1, 2019",90.05B
"April 30, 2019",91.43B
"April 29, 2019",90.24B
"April 26, 2019",89.48B
"April 25, 2019",90.49B
"April 24, 2019",98.50B
"April 23, 2019",97.78B
"April 22, 2019",97.80B
"April 18, 2019",98.26B
"April 17, 2019",98.55B
"April 16, 2019",97.99B
"April 15, 2019",97.73B
"April 12, 2019",98.44B
"April 11, 2019",97.60B
"April 10, 2019",97.25B
"April 9, 2019",97.10B
"April 8, 2019",98.01B
"April 5, 2019",98.32B
"April 4, 2019",98.01B
"April 3, 2019",98.34B
"April 2, 2019",97.76B
"April 1, 2019",98.41B
"March 29, 2019",96.12B
"March 28, 2019",94.88B
"March 27, 2019",93.74B
"March 26, 2019",93.25B
"March 25, 2019",91.95B
"March 22, 2019",92.34B
"March 21, 2019",94.45B
"March 20, 2019",92.83B
"March 19, 2019",94.92B
"March 18, 2019",95.21B
"March 15, 2019",94.21B
"March 14, 2019",95.38B
"March 13, 2019",95.36B
"March 12, 2019",93.77B
"March 11, 2019",93.61B
"March 8, 2019",91.80B
"March 7, 2019",91.96B
"March 6, 2019",93.67B
"March 5, 2019",94.64B
"March 4, 2019",95.07B
"March 1, 2019",96.49B
"Feb. 28, 2019",94.83B
"Feb. 27, 2019",95.63B
"Feb. 26, 2019",95.56B
"Feb. 25, 2019",95.40B
"Feb. 22, 2019",94.93B
"Feb. 21, 2019",96.14B
"Feb. 20, 2019",95.55B
"Feb. 19, 2019",95.29B
"Feb. 15, 2019",95.37B
"Feb. 14, 2019",96.17B
"Feb. 13, 2019",96.35B
"Feb. 12, 2019",95.19B
"Feb. 11, 2019",93.70B
"Feb. 8, 2019",92.99B
"Feb. 7, 2019",92.85B
"Feb. 6, 2019",93.61B
"Feb. 5, 2019",92.37B
"Feb. 4, 2019",91.45B
"Feb. 1, 2019",91.03B
"Jan. 31, 2019",90.43B
"Jan. 30, 2019",86.82B
"Jan. 29, 2019",86.92B
