date,net_income_cs_rev
"Dec. 31, 2019",-0.52%
"Sept. 30, 2019",9.55%
"June 30, 2019",9.34%
"March 31, 2019",6.47%
"Dec. 31, 2018",2.28%
"Sept. 30, 2018",8.64%
"June 30, 2018",8.51%
"March 31, 2018",7.86%
"Dec. 31, 2017",5.78%
"Sept. 30, 2017",7.78%
"June 30, 2017",8.69%
"March 31, 2017",7.52%
"Dec. 31, 2016",-1.41%
"Sept. 30, 2016",8.51%
"June 30, 2016",8.67%
"March 31, 2016",7.84%
"Dec. 31, 2015",8.29%
"Sept. 30, 2015",8.83%
"June 30, 2015",8.73%
"March 31, 2015",7.34%
"Dec. 31, 2014",2.85%
"Sept. 30, 2014",8.50%
"June 30, 2014",3.18%
"March 31, 2014",6.61%
"Dec. 31, 2013",7.79%
"Sept. 30, 2013",8.11%
"June 30, 2013",7.93%
"March 31, 2013",7.72%
"Dec. 31, 2012",-12.00%
"Sept. 30, 2012",3.59%
"June 30, 2012",8.36%
"March 31, 2012",7.38%
"Dec. 31, 2011",5.12%
"Sept. 30, 2011",8.14%
"June 30, 2011",8.28%
"March 31, 2011",7.27%
"Dec. 31, 2010",7.22%
"Sept. 30, 2010",8.13%
"June 30, 2010",6.92%
"March 31, 2010",4.54%
"Dec. 31, 2009",6.12%
"Sept. 30, 2009",4.92%
"June 30, 2009",4.11%
"March 31, 2009",3.67%
"Dec. 31, 2008",2.00%
"Sept. 30, 2008",7.40%
"June 30, 2008",6.71%
"March 31, 2008",7.15%
"Dec. 31, 2007",-19.72%
"Sept. 30, 2007",8.82%
"June 30, 2007",9.06%
"March 31, 2007",7.08%
"Dec. 31, 2006",8.93%
"Sept. 30, 2006",8.90%
"June 30, 2006",9.04%
"March 31, 2006",8.46%
"Dec. 31, 2005",8.78%
"Sept. 30, 2005",9.03%
"June 30, 2005",9.68%
"March 31, 2005",8.92%
"Dec. 31, 2004",8.80%
"Sept. 30, 2004",9.94%
"June 30, 2004",9.22%
"March 31, 2004",8.51%
"Dec. 31, 2003",9.58%
"Sept. 30, 2003",8.89%
"June 30, 2003",8.41%
"March 31, 2003",7.62%
"Dec. 31, 2002",18.19%
"Sept. 30, 2002",7.45%
"June 30, 2002",7.95%
"March 31, 2002",6.48%
"Dec. 31, 2001",8.07%
"Sept. 30, 2001",7.68%
"June 30, 2001",8.41%
"March 31, 2001",7.40%
"Dec. 31, 2000",9.49%
"Sept. 30, 2000",9.53%
"June 30, 2000",9.54%
"March 31, 2000",11.26%
"Dec. 31, 1999",8.88%
"Sept. 30, 1999",8.59%
"June 30, 1999",8.96%
"March 31, 1999",7.88%
