date,payout_ratio
"Dec. 31, 2019",71.94%
"Sept. 30, 2019",62.97%
"June 30, 2019",65.23%
"March 31, 2019",67.06%
"Dec. 31, 2018",62.85%
"Sept. 30, 2018",54.21%
"June 30, 2018",55.72%
"March 31, 2018",55.66%
"Dec. 31, 2017",56.49%
"Sept. 30, 2017",76.97%
"June 30, 2017",75.73%
"March 31, 2017",77.29%
"Dec. 31, 2016",77.24%
"Sept. 30, 2016",52.25%
"June 30, 2016",51.76%
"March 31, 2016",51.63%
"Dec. 31, 2015",52.13%
"Sept. 30, 2015",62.66%
"June 30, 2015",62.30%
"March 31, 2015",76.45%
"Dec. 31, 2014",78.03%
"Sept. 30, 2014",62.41%
"June 30, 2014",63.71%
"March 31, 2014",53.79%
"Dec. 31, 2013",51.69%
"Sept. 30, 2013",153.2%
"June 30, 2013",265.6%
"March 31, 2013",248.1%
"Dec. 31, 2012",263.9%
"Sept. 30, 2012",63.93%
"June 30, 2012",53.00%
"March 31, 2012",52.55%
"Dec. 31, 2011",52.50%
"Sept. 30, 2011",48.30%
"June 30, 2011",48.25%
"March 31, 2011",50.13%
"Dec. 31, 2010",54.46%
"Sept. 30, 2010",57.61%
"June 30, 2010",66.54%
"March 31, 2010",77.45%
"Dec. 31, 2009",81.37%
"Sept. 30, 2009",106.2%
"June 30, 2009",84.93%
"March 31, 2009",70.90%
"Dec. 31, 2008",73.89%
"Sept. 30, 2008",1.65K%
"June 30, 2008",829.0%
"March 31, 2008",395.3%
"Dec. 31, 2007",445.8%
"Sept. 30, 2007",41.10%
"June 30, 2007",40.72%
"March 31, 2007",40.39%
"Dec. 31, 2006",37.53%
"Sept. 30, 2006",38.03%
"June 30, 2006",37.79%
"March 31, 2006",37.42%
"Dec. 31, 2005",35.94%
"Sept. 30, 2005",37.73%
"June 30, 2005",36.92%
"March 31, 2005",37.30%
"Dec. 31, 2004",36.24%
"Sept. 30, 2004",42.79%
"June 30, 2004",43.73%
"March 31, 2004",43.14%
"Dec. 31, 2003",32.99%
"Sept. 30, 2003",26.66%
"June 30, 2003",26.22%
"March 31, 2003",26.01%
"Dec. 31, 2002",26.40%
"Sept. 30, 2002",36.56%
"June 30, 2002",36.76%
"March 31, 2002",36.59%
"Dec. 31, 2001",35.68%
"Sept. 30, 2001",33.74%
"June 30, 2001",31.24%
"March 31, 2001",29.70%
"Dec. 31, 2000",26.79%
"Sept. 30, 2000",20.69%
"June 30, 2000",14.57%
"March 31, 2000",7.81%
"Dec. 31, 1999",0.00%
