date,quality_ratio
"Dec. 31, 2019",0.2578
"Sept. 30, 2019",0.2613
"June 30, 2019",0.2609
"March 31, 2019",0.2609
"Dec. 31, 2018",0.2692
"Sept. 30, 2018",0.2802
"June 30, 2018",0.2881
"March 31, 2018",0.3001
"Dec. 31, 2017",0.3063
"Sept. 30, 2017",0.3063
"June 30, 2017",0.3139
"March 31, 2017",0.3132
"Dec. 31, 2016",0.3163
"Sept. 30, 2016",0.3241
"June 30, 2016",0.3253
"March 31, 2016",0.3256
"Dec. 31, 2015",0.3284
"Sept. 30, 2015",0.2992
"June 30, 2015",0.3026
"March 31, 2015",0.2694
"Dec. 31, 2014",0.2648
"Sept. 30, 2014",0.2875
"June 30, 2014",0.2817
"March 31, 2014",0.3021
"Dec. 31, 2013",0.302
"Sept. 30, 2013",0.1742
"June 30, 2013",0.1475
"March 31, 2013",0.1501
"Dec. 31, 2012",0.1505
"Sept. 30, 2012",-0.3383
"June 30, 2012",-0.1146
"March 31, 2012",0.088
"Dec. 31, 2011",0.2955
"Sept. 30, 2011",0.3182
"June 30, 2011",0.3071
"March 31, 2011",0.2981
"Dec. 31, 2010",0.2898
"Sept. 30, 2010",1.172
"June 30, 2010",1.156
"March 31, 2010",1.138
"Dec. 31, 2009",1.132
"Sept. 30, 2009",1.098
"June 30, 2009",1.089
"March 31, 2009",1.080
"Dec. 31, 2008",1.073
"Sept. 30, 2008",1.071
"June 30, 2008",1.092
"March 31, 2008",1.120
"Dec. 31, 2007",1.151
"Sept. 30, 2007",
"June 30, 2007",
"March 31, 2007",
"Dec. 31, 2006",
"Sept. 30, 2006",
"June 30, 2006",
"March 31, 2006",
"Dec. 31, 2005",
"Sept. 30, 2005",
"June 30, 2005",
"March 31, 2005",
"Dec. 31, 2004",0.8344
"Sept. 30, 2004",
"June 30, 2004",
"March 31, 2004",
"Dec. 31, 2003",
"Sept. 30, 2003",
"June 30, 2003",
"March 31, 2003",0.9099
"Dec. 31, 2002",0.9287
"Sept. 30, 2002",
"June 30, 2002",
"March 31, 2002",
"Dec. 31, 2001",
"Sept. 30, 2001",
"June 30, 2001",
"March 31, 2001",1.029
"Dec. 31, 2000",1.016
