date,return_on_equity
"Dec. 31, 2019",112.6%
"Sept. 30, 2019",127.9%
"June 30, 2019",145.8%
"March 31, 2019",171.9%
"Dec. 31, 2018",222.1%
"Sept. 30, 2018",293.0%
"June 30, 2018",349.4%
"March 31, 2018",451.8%
"Dec. 31, 2017",523.3%
"Sept. 30, 2017",276.6%
"June 30, 2017",236.5%
"March 31, 2017",197.2%
"Dec. 31, 2016",159.9%
"Sept. 30, 2016",204.5%
"June 30, 2016",218.2%
"March 31, 2016",232.7%
"Dec. 31, 2015",234.7%
"Sept. 30, 2015",147.2%
"June 30, 2015",114.6%
"March 31, 2015",73.49%
"Dec. 31, 2014",58.18%
"Sept. 30, 2014",67.97%
"June 30, 2014",71.02%
"March 31, 2014",88.43%
"Dec. 31, 2013",97.53%
"Sept. 30, 2013",31.04%
"June 30, 2013",15.09%
"March 31, 2013",13.97%
"Dec. 31, 2012",11.77%
"Sept. 30, 2012",43.82%
"June 30, 2012",50.88%
"March 31, 2012",49.89%
"Dec. 31, 2011",48.48%
"Sept. 30, 2011",49.78%
"June 30, 2011",48.71%
"March 31, 2011",46.48%
"Dec. 31, 2010",42.27%
"Sept. 30, 2010",40.62%
"June 30, 2010",36.45%
"March 31, 2010",31.96%
"Dec. 31, 2009",30.77%
"Sept. 30, 2009",21.45%
"June 30, 2009",24.37%
"March 31, 2009",26.42%
"Dec. 31, 2008",28.50%
"Sept. 30, 2008",0.88%
"June 30, 2008",1.63%
"March 31, 2008",3.18%
"Dec. 31, 2007",2.59%
"Sept. 30, 2007",26.35%
"June 30, 2007",25.63%
"March 31, 2007",24.91%
"Dec. 31, 2006",25.23%
"Sept. 30, 2006",24.42%
"June 30, 2006",24.13%
"March 31, 2006",23.87%
"Dec. 31, 2005",23.40%
"Sept. 30, 2005",22.68%
"June 30, 2005",22.69%
"March 31, 2005",22.05%
"Dec. 31, 2004",21.69%
"Sept. 30, 2004",22.39%
"June 30, 2004",22.02%
"March 31, 2004",21.86%
"Dec. 31, 2003",21.57%
"Sept. 30, 2003",28.01%
"June 30, 2003",28.09%
"March 31, 2003",28.87%
"Dec. 31, 2002",29.13%
"Sept. 30, 2002",22.41%
"June 30, 2002",22.76%
"March 31, 2002",23.55%
"Dec. 31, 2001",24.47%
"Sept. 30, 2001",25.80%
"June 30, 2001",27.45%
"March 31, 2001",28.70%
"Dec. 31, 2000",29.51%
"Sept. 30, 2000",28.72%
"June 30, 2000",26.82%
