date,tobin_q
"Dec. 31, 2019",2.082
"Sept. 30, 2019",2.312
"June 30, 2019",2.044
"March 31, 2019",2.205
"Dec. 31, 2018",2.029
"Sept. 30, 2018",2.541
"June 30, 2018",2.412
"March 31, 2018",2.431
"Dec. 31, 2017",2.629
"Sept. 30, 2017",2.832
"June 30, 2017",2.734
"March 31, 2017",2.762
"Dec. 31, 2016",2.72
"Sept. 30, 2016",2.739
"June 30, 2016",2.688
"March 31, 2016",2.604
"Dec. 31, 2015",2.455
"Sept. 30, 2015",2.468
"June 30, 2015",2.504
"March 31, 2015",2.517
"Dec. 31, 2014",3.044
"Sept. 30, 2014",2.642
"June 30, 2014",2.862
"March 31, 2014",2.533
"Dec. 31, 2013",2.804
"Sept. 30, 2013",2.397
"June 30, 2013",2.341
"March 31, 2013",2.257
"Dec. 31, 2012",1.908
"Sept. 30, 2012",1.875
"June 30, 2012",2.159
"March 31, 2012",2.296
"Dec. 31, 2011",2.185
"Sept. 30, 2011",1.901
"June 30, 2011",2.190
"March 31, 2011",2.277
"Dec. 31, 2010",2.284
"Sept. 30, 2010",2.147
"June 30, 2010",1.857
"March 31, 2010",2.146
"Dec. 31, 2009",1.969
"Sept. 30, 2009",1.934
"June 30, 2009",1.711
"March 31, 2009",1.633
"Dec. 31, 2008",1.934
"Sept. 30, 2008",1.827
"June 30, 2008",1.821
"March 31, 2008",2.177
"Dec. 31, 2007",2.029
"Sept. 30, 2007",2.334
"June 30, 2007",2.312
"March 31, 2007",2.243
"Dec. 31, 2006",2.430
"Sept. 30, 2006",2.158
"June 30, 2006",2.530
"March 31, 2006",2.460
"Dec. 31, 2005",2.329
"Sept. 30, 2005",2.161
"June 30, 2005",2.223
"March 31, 2005",2.362
"Dec. 31, 2004",2.827
"Sept. 30, 2004",2.686
"June 30, 2004",2.763
"March 31, 2004",2.610
"Dec. 31, 2003",2.791
"Sept. 30, 2003",2.515
"June 30, 2003",2.612
"March 31, 2003",2.387
"Dec. 31, 2002",2.697
"Sept. 30, 2002",2.741
"June 30, 2002",2.774
"March 31, 2002",2.822
"Dec. 31, 2001",2.552
"Sept. 30, 2001",2.466
"June 30, 2001",2.803
"March 31, 2001",2.946
"Dec. 31, 2000",3.097
"Sept. 30, 2000",2.921
"June 30, 2000",3.105
"March 31, 2000",3.361
"Dec. 31, 1999",3.123
