date,total_employee_number
"Dec. 31, 2019",903000
"Dec. 31, 2018",481000
"Dec. 31, 2017",454000
"Dec. 31, 2016",434000
"Dec. 31, 2015",444000
"Dec. 31, 2014",435000
"Dec. 31, 2013",395000
"Sept. 30, 2013",399000
"June 30, 2013",399000
"Dec. 31, 2012",399000
"Dec. 31, 2011",398000
"Dec. 31, 2010",400600
"Dec. 31, 2009",408000
"Dec. 31, 2008",426000
"Dec. 31, 2007",425300
"Dec. 31, 2006",428000
"Dec. 31, 2005",407000
"Dec. 31, 2004",384000
"Dec. 31, 2003",355000
"Dec. 31, 2002",360000
"Dec. 31, 2001",371000
"Dec. 31, 2000",359000
"Dec. 31, 1999",344000
"Dec. 31, 1998",328000
