date,eps_est_0q
"March 18, 2020",1.691
"March 17, 2020",1.696
"March 12, 2020",1.713
"March 10, 2020",1.713
"March 5, 2020",1.712
"March 3, 2020",1.717
"Feb. 24, 2020",1.719
"Feb. 21, 2020",1.719
"Feb. 12, 2020",1.727
"Feb. 11, 2020",1.727
"Feb. 7, 2020",1.733
"Feb. 3, 2020",1.737
"Feb. 2, 2020",1.741
"Jan. 31, 2020",1.748
"Jan. 30, 2020",1.751
"Jan. 29, 2020",1.761
"Jan. 28, 2020",1.70
"Jan. 27, 2020",1.939
"Jan. 23, 2020",1.949
"Jan. 7, 2020",1.951
"Dec. 31, 2019",1.842
"Dec. 18, 2019",1.837
"Nov. 23, 2019",1.836
"Oct. 30, 2019",1.842
"Oct. 28, 2019",1.842
"Oct. 27, 2019",1.842
"Oct. 25, 2019",1.847
"Oct. 24, 2019",1.846
"Oct. 23, 2019",1.853
"Oct. 22, 2019",1.900
"Oct. 21, 2019",1.909
"Oct. 15, 2019",1.907
"Oct. 11, 2019",1.908
"Oct. 10, 2019",1.906
"Oct. 9, 2019",1.908
"Oct. 3, 2019",1.906
"Oct. 2, 2019",1.909
"Sept. 30, 2019",2.026
"Sept. 5, 2019",2.019
"Sept. 4, 2019",2.018
"Aug. 14, 2019",2.016
"Aug. 8, 2019",2.018
"July 29, 2019",2.013
"July 28, 2019",2.015
"July 25, 2019",2.012
"July 24, 2019",2.017
"July 23, 2019",2.04
"July 19, 2019",2.045
"July 10, 2019",2.045
"July 9, 2019",2.045
"June 30, 2019",2.054
"June 24, 2019",2.045
"June 17, 2019",2.044
"June 10, 2019",2.041
"May 20, 2019",2.034
"May 10, 2019",2.036
"April 30, 2019",2.038
"April 28, 2019",2.043
"April 24, 2019",2.041
"April 23, 2019",2.055
"April 18, 2019",2.066
"April 17, 2019",2.066
"April 16, 2019",2.066
"April 10, 2019",2.066
"April 8, 2019",2.067
"March 31, 2019",1.722
"March 7, 2019",1.739
"Feb. 25, 2019",1.742
"Feb. 23, 2019",1.743
"Feb. 22, 2019",1.746
"Feb. 13, 2019",1.745
"Feb. 7, 2019",1.743
"Jan. 31, 2019",1.742
"Jan. 28, 2019",1.742
"Jan. 25, 2019",1.745
"Jan. 24, 2019",1.748
"Jan. 23, 2019",1.741
"Jan. 16, 2019",1.732
"Jan. 11, 2019",1.723
"Jan. 10, 2019",1.717
"Jan. 4, 2019",1.714
"Dec. 31, 2018",1.530
"Dec. 20, 2018",1.519
"Dec. 17, 2018",1.515
"Dec. 5, 2018",1.513
"Dec. 3, 2018",1.511
"Nov. 29, 2018",1.520
"Nov. 28, 2018",1.528
"Nov. 27, 2018",1.546
"Nov. 26, 2018",1.637
"Nov. 19, 2018",1.638
"Nov. 14, 2018",1.636
"Nov. 6, 2018",1.634
"Nov. 5, 2018",1.632
"Oct. 30, 2018",1.640
"Oct. 29, 2018",1.632
"Oct. 24, 2018",1.637
"Oct. 23, 2018",1.663
"Oct. 17, 2018",1.688
"Oct. 16, 2018",1.688
"Oct. 15, 2018",1.688
"Oct. 12, 2018",1.685
"Oct. 10, 2018",1.691
"Oct. 8, 2018",1.682
"Sept. 30, 2018",1.821
"Sept. 28, 2018",1.825
"Sept. 21, 2018",1.829
"Sept. 20, 2018",1.829
"Sept. 7, 2018",1.829
"Aug. 31, 2018",1.830
"Aug. 24, 2018",1.829
"Aug. 23, 2018",1.829
"Aug. 16, 2018",1.829
"Aug. 13, 2018",1.830
"Aug. 9, 2018",1.830
"Aug. 8, 2018",1.83
"July 30, 2018",1.830
"July 26, 2018",1.822
"July 25, 2018",1.828
"July 24, 2018",1.839
"July 16, 2018",1.840
"July 13, 2018",1.830
"July 12, 2018",1.834
"July 10, 2018",1.839
"July 9, 2018",1.842
"July 3, 2018",1.843
"June 30, 2018",1.855
"June 27, 2018",1.848
"June 15, 2018",1.844
"May 30, 2018",1.836
"May 22, 2018",1.838
"May 1, 2018",1.838
"April 27, 2018",1.841
"April 26, 2018",1.840
"April 25, 2018",1.843
"April 24, 2018",1.879
"April 13, 2018",1.878
"April 9, 2018",1.877
"April 4, 2018",1.879
"March 31, 2018",1.511
"March 19, 2018",1.504
"March 16, 2018",1.521
"Feb. 14, 2018",1.522
"Feb. 12, 2018",1.524
"Feb. 1, 2018",1.527
"Jan. 29, 2018",1.528
"Jan. 25, 2018",1.516
"Jan. 24, 2018",1.506
"Jan. 23, 2018",1.480
"Jan. 12, 2018",1.486
"Jan. 3, 2018",1.473
