date,ev_ebit
"March 19, 2020",11.11
"March 18, 2020",10.73
"March 17, 2020",11.90
"March 16, 2020",11.73
"March 13, 2020",12.98
"March 12, 2020",12.73
"March 11, 2020",13.16
"March 10, 2020",14.19
"March 9, 2020",13.84
"March 6, 2020",14.80
"March 5, 2020",14.80
"March 4, 2020",15.89
"March 3, 2020",15.33
"March 2, 2020",15.45
"Feb. 28, 2020",15.15
"Feb. 27, 2020",15.29
"Feb. 26, 2020",15.82
"Feb. 25, 2020",15.86
"Feb. 24, 2020",16.53
"Feb. 21, 2020",16.96
"Feb. 20, 2020",16.82
"Feb. 19, 2020",16.88
"Feb. 18, 2020",16.94
"Feb. 14, 2020",17.12
"Feb. 13, 2020",17.09
"Feb. 12, 2020",17.27
"Feb. 11, 2020",17.28
"Feb. 10, 2020",17.39
"Feb. 7, 2020",17.42
"Feb. 6, 2020",17.36
"Feb. 5, 2020",17.31
"Feb. 4, 2020",17.08
"Feb. 3, 2020",16.82
"Jan. 31, 2020",16.84
"Jan. 30, 2020",17.16
"Jan. 29, 2020",17.05
"Jan. 28, 2020",17.06
"Jan. 27, 2020",16.90
"Jan. 24, 2020",17.09
"Jan. 23, 2020",17.14
"Jan. 22, 2020",17.14
"Jan. 21, 2020",17.20
"Jan. 17, 2020",17.19
"Jan. 16, 2020",17.12
"Jan. 15, 2020",16.98
"Jan. 14, 2020",16.94
"Jan. 13, 2020",16.99
"Jan. 10, 2020",16.97
"Jan. 9, 2020",17.13
"Jan. 8, 2020",17.11
"Jan. 7, 2020",17.09
"Jan. 6, 2020",17.13
"Jan. 3, 2020",17.10
"Jan. 2, 2020",17.08
"Dec. 31, 2019",16.79
"Dec. 30, 2019",16.65
"Dec. 27, 2019",16.69
"Dec. 26, 2019",16.72
"Dec. 24, 2019",16.63
"Dec. 23, 2019",16.65
"Dec. 20, 2019",16.62
"Dec. 19, 2019",16.55
"Dec. 18, 2019",16.47
"Dec. 17, 2019",16.54
"Dec. 16, 2019",16.62
"Dec. 13, 2019",16.58
"Dec. 12, 2019",16.61
"Dec. 11, 2019",16.43
"Dec. 10, 2019",16.27
"Dec. 9, 2019",16.34
"Dec. 6, 2019",16.41
"Dec. 5, 2019",16.26
"Dec. 4, 2019",16.20
"Dec. 3, 2019",16.13
"Dec. 2, 2019",16.24
"Nov. 29, 2019",16.52
"Nov. 27, 2019",16.56
"Nov. 26, 2019",16.50
"Nov. 25, 2019",16.45
"Nov. 22, 2019",16.47
"Nov. 21, 2019",16.43
"Nov. 20, 2019",16.38
"Nov. 19, 2019",16.52
"Nov. 18, 2019",16.59
"Nov. 15, 2019",16.61
"Nov. 14, 2019",16.50
"Nov. 13, 2019",16.52
"Nov. 12, 2019",16.53
"Nov. 11, 2019",16.51
"Nov. 8, 2019",16.57
"Nov. 7, 2019",16.55
"Nov. 6, 2019",16.52
"Nov. 5, 2019",16.48
"Nov. 4, 2019",16.45
"Nov. 1, 2019",16.38
"Oct. 31, 2019",16.12
"Oct. 30, 2019",16.14
"Oct. 29, 2019",15.98
"Oct. 28, 2019",16.07
"Oct. 25, 2019",16.06
"Oct. 24, 2019",16.10
"Oct. 23, 2019",15.80
"Oct. 22, 2019",15.93
"Oct. 21, 2019",15.67
"Oct. 18, 2019",15.54
"Oct. 17, 2019",15.66
"Oct. 16, 2019",15.53
"Oct. 15, 2019",15.48
"Oct. 14, 2019",15.46
"Oct. 11, 2019",15.48
"Oct. 10, 2019",15.29
"Oct. 9, 2019",15.13
"Oct. 8, 2019",15.03
"Oct. 7, 2019",15.19
"Oct. 4, 2019",15.23
"Oct. 3, 2019",15.06
"Oct. 2, 2019",15.00
"Oct. 1, 2019",15.28
"Sept. 30, 2019",15.52
"Sept. 27, 2019",16.82
"Sept. 26, 2019",16.92
"Sept. 25, 2019",16.86
"Sept. 24, 2019",16.73
"Sept. 23, 2019",16.75
"Sept. 20, 2019",16.74
"Sept. 19, 2019",16.92
"Sept. 18, 2019",16.93
"Sept. 17, 2019",16.89
"Sept. 16, 2019",16.97
"Sept. 13, 2019",16.97
"Sept. 12, 2019",16.92
"Sept. 11, 2019",16.78
"Sept. 10, 2019",16.59
"Sept. 9, 2019",16.60
"Sept. 6, 2019",16.57
"Sept. 5, 2019",16.51
"Sept. 4, 2019",16.32
"Sept. 3, 2019",16.13
"Aug. 30, 2019",16.25
"Aug. 29, 2019",16.18
"Aug. 28, 2019",15.94
"Aug. 27, 2019",15.73
"Aug. 26, 2019",15.82
"Aug. 23, 2019",15.63
"Aug. 22, 2019",16.04
"Aug. 21, 2019",15.98
"Aug. 20, 2019",15.92
"Aug. 19, 2019",15.92
"Aug. 16, 2019",15.77
"Aug. 15, 2019",15.65
"Aug. 14, 2019",15.71
"Aug. 13, 2019",16.13
"Aug. 12, 2019",16.05
"Aug. 9, 2019",16.34
"Aug. 8, 2019",16.36
"Aug. 7, 2019",16.14
"Aug. 6, 2019",16.12
"Aug. 5, 2019",15.84
"Aug. 2, 2019",16.30
"Aug. 1, 2019",16.40
"July 31, 2019",16.56
"July 30, 2019",16.71
"July 29, 2019",16.75
"July 26, 2019",16.74
"July 25, 2019",16.81
"July 24, 2019",16.62
"July 23, 2019",16.68
"July 22, 2019",16.50
"July 19, 2019",16.45
"July 18, 2019",16.35
"July 17, 2019",16.24
"July 16, 2019",16.52
"July 15, 2019",16.52
"July 12, 2019",16.57
"July 11, 2019",16.35
"July 10, 2019",16.27
"July 9, 2019",16.26
"July 8, 2019",16.31
"July 5, 2019",16.46
"July 3, 2019",16.50
"July 2, 2019",16.41
"July 1, 2019",16.35
"June 30, 2019",16.25
"June 28, 2019",15.94
"June 27, 2019",15.83
"June 26, 2019",15.72
"June 25, 2019",15.83
"June 24, 2019",15.94
"June 21, 2019",15.81
"June 20, 2019",15.92
"June 19, 2019",15.63
"June 18, 2019",15.62
"June 17, 2019",15.40
"June 14, 2019",15.50
"June 13, 2019",15.46
"June 12, 2019",15.39
"June 11, 2019",15.29
"June 10, 2019",15.74
"June 7, 2019",16.11
"June 6, 2019",16.07
"June 5, 2019",16.04
"June 4, 2019",15.86
"June 3, 2019",15.63
"May 31, 2019",15.58
"May 30, 2019",15.77
"May 29, 2019",15.86
"May 28, 2019",15.91
"May 24, 2019",16.04
"May 23, 2019",15.95
"May 22, 2019",16.40
"May 21, 2019",16.45
"May 20, 2019",16.22
"May 17, 2019",16.25
"May 16, 2019",16.38
"May 15, 2019",16.27
"May 14, 2019",16.27
"May 13, 2019",16.09
"May 10, 2019",16.55
"May 9, 2019",16.53
"May 8, 2019",16.55
"May 7, 2019",16.40
"May 6, 2019",16.83
"May 3, 2019",16.95
"May 2, 2019",16.79
"May 1, 2019",16.95
"April 30, 2019",17.04
"April 29, 2019",17.00
"April 26, 2019",16.88
"April 25, 2019",16.78
"April 24, 2019",16.77
"April 23, 2019",16.81
"April 22, 2019",16.53
"April 18, 2019",16.54
"April 17, 2019",16.43
"April 16, 2019",16.39
"April 15, 2019",16.32
"April 12, 2019",16.39
"April 11, 2019",16.16
"April 10, 2019",16.06
"April 9, 2019",16.11
"April 8, 2019",16.23
"April 5, 2019",16.25
"April 4, 2019",16.15
"April 3, 2019",16.03
"April 2, 2019",16.08
"April 1, 2019",16.20
"March 31, 2019",15.81
"March 29, 2019",16.06
"March 28, 2019",15.92
"March 27, 2019",15.83
"March 26, 2019",15.82
"March 25, 2019",15.75
"March 22, 2019",15.73
"March 21, 2019",15.88
"March 20, 2019",15.74
"March 19, 2019",15.85
"March 18, 2019",15.88
"March 15, 2019",15.80
"March 14, 2019",15.88
"March 13, 2019",15.86
"March 12, 2019",15.68
"March 11, 2019",15.80
"March 8, 2019",15.62
"March 7, 2019",15.66
"March 6, 2019",15.75
"March 5, 2019",15.80
"March 4, 2019",15.78
"March 1, 2019",15.78
"Feb. 28, 2019",15.77
"Feb. 27, 2019",15.88
"Feb. 26, 2019",15.90
"Feb. 25, 2019",16.00
"Feb. 22, 2019",15.96
"Feb. 21, 2019",15.82
"Feb. 20, 2019",16.02
"Feb. 19, 2019",16.03
"Feb. 15, 2019",15.95
"Feb. 14, 2019",15.63
"Feb. 13, 2019",15.65
"Feb. 12, 2019",15.61
"Feb. 11, 2019",15.50
"Feb. 8, 2019",15.48
"Feb. 7, 2019",15.32
"Feb. 6, 2019",15.37
"Feb. 5, 2019",15.32
"Feb. 4, 2019",15.17
"Feb. 1, 2019",15.16
"Jan. 31, 2019",15.08
"Jan. 30, 2019",15.17
"Jan. 29, 2019",15.05
"Jan. 28, 2019",14.80
"Jan. 25, 2019",14.87
"Jan. 24, 2019",14.84
"Jan. 23, 2019",14.98
"Jan. 22, 2019",14.44
"Jan. 18, 2019",14.69
"Jan. 17, 2019",14.59
"Jan. 16, 2019",14.42
"Jan. 15, 2019",14.44
"Jan. 14, 2019",14.42
"Jan. 11, 2019",14.34
"Jan. 10, 2019",14.38
"Jan. 9, 2019",14.28
"Jan. 8, 2019",14.24
"Jan. 7, 2019",14.07
"Jan. 4, 2019",14.07
"Jan. 3, 2019",13.75
"Jan. 2, 2019",14.19
"Dec. 31, 2018",14.02
"Dec. 28, 2018",12.81
"Dec. 27, 2018",12.85
"Dec. 26, 2018",12.88
"Dec. 24, 2018",12.51
"Dec. 21, 2018",12.89
"Dec. 20, 2018",13.21
"Dec. 19, 2018",13.60
"Dec. 18, 2018",13.78
"Dec. 17, 2018",13.74
"Dec. 14, 2018",14.06
"Dec. 13, 2018",14.10
"Dec. 12, 2018",14.14
"Dec. 11, 2018",14.07
"Dec. 10, 2018",14.12
"Dec. 7, 2018",14.12
"Dec. 6, 2018",14.31
"Dec. 4, 2018",14.25
"Dec. 3, 2018",14.51
"Nov. 30, 2018",14.34
"Nov. 29, 2018",14.28
"Nov. 28, 2018",14.43
"Nov. 27, 2018",14.42
"Nov. 26, 2018",14.91
"Nov. 23, 2018",14.15
"Nov. 21, 2018",13.86
"Nov. 20, 2018",13.88
"Nov. 19, 2018",14.04
"Nov. 16, 2018",14.24
"Nov. 15, 2018",14.21
"Nov. 14, 2018",14.13
"Nov. 13, 2018",14.15
"Nov. 12, 2018",14.08
"Nov. 9, 2018",14.29
"Nov. 8, 2018",14.34
"Nov. 7, 2018",14.28
"Nov. 6, 2018",14.05
"Nov. 5, 2018",13.99
"Nov. 2, 2018",14.01
"Nov. 1, 2018",14.02
"Oct. 31, 2018",13.73
"Oct. 30, 2018",13.59
"Oct. 29, 2018",13.46
"Oct. 26, 2018",13.65
"Oct. 25, 2018",13.75
"Oct. 24, 2018",13.55
"Oct. 23, 2018",14.23
"Oct. 22, 2018",13.92
"Oct. 19, 2018",14.12
"Oct. 18, 2018",14.14
"Oct. 17, 2018",14.24
"Oct. 16, 2018",14.45
"Oct. 15, 2018",14.26
"Oct. 12, 2018",14.20
"Oct. 11, 2018",14.17
"Oct. 10, 2018",14.33
"Oct. 9, 2018",14.74
"Oct. 8, 2018",15.05
"Oct. 5, 2018",15.01
"Oct. 4, 2018",15.12
"Oct. 3, 2018",15.18
"Oct. 2, 2018",15.21
"Oct. 1, 2018",15.17
"Sept. 30, 2018",15.07
"Sept. 28, 2018",13.93
"Sept. 27, 2018",13.91
"Sept. 26, 2018",13.90
"Sept. 25, 2018",13.92
"Sept. 24, 2018",13.97
"Sept. 21, 2018",14.12
"Sept. 20, 2018",14.10
"Sept. 19, 2018",13.98
"Sept. 18, 2018",13.91
"Sept. 17, 2018",13.75
"Sept. 14, 2018",13.76
"Sept. 13, 2018",13.56
"Sept. 12, 2018",13.42
"Sept. 11, 2018",13.40
"Sept. 10, 2018",13.40
"Sept. 7, 2018",13.26
"Sept. 6, 2018",13.39
"Sept. 5, 2018",13.33
"Sept. 4, 2018",13.25
"Aug. 31, 2018",13.24
"Aug. 30, 2018",13.31
"Aug. 29, 2018",13.40
"Aug. 28, 2018",13.47
"Aug. 27, 2018",13.55
"Aug. 24, 2018",13.38
"Aug. 23, 2018",13.31
"Aug. 22, 2018",13.37
"Aug. 21, 2018",13.60
"Aug. 20, 2018",13.53
"Aug. 17, 2018",13.47
"Aug. 16, 2018",13.37
"Aug. 15, 2018",13.24
"Aug. 14, 2018",13.30
"Aug. 13, 2018",13.28
"Aug. 10, 2018",13.36
"Aug. 9, 2018",13.45
"Aug. 8, 2018",13.49
"Aug. 7, 2018",13.47
"Aug. 6, 2018",13.43
"Aug. 3, 2018",13.42
"Aug. 2, 2018",13.44
"Aug. 1, 2018",13.51
"July 31, 2018",13.58
"July 30, 2018",13.36
"July 27, 2018",13.48
"July 26, 2018",13.59
"July 25, 2018",13.50
"July 24, 2018",13.45
"July 23, 2018",13.04
"July 20, 2018",13.11
"July 19, 2018",13.12
"July 18, 2018",13.24
"July 17, 2018",13.15
"July 16, 2018",13.01
"July 13, 2018",13.05
"July 12, 2018",12.87
"July 11, 2018",12.66
"July 10, 2018",12.84
"July 9, 2018",12.81
"July 6, 2018",12.70
"July 5, 2018",12.66
"July 3, 2018",12.66
"July 2, 2018",12.67
"June 30, 2018",12.67
"June 29, 2018",14.09
"June 28, 2018",14.05
"June 27, 2018",14.03
"June 26, 2018",14.15
"June 25, 2018",14.05
"June 22, 2018",14.07
"June 21, 2018",13.94
"June 20, 2018",14.12
"June 19, 2018",14.09
"June 18, 2018",14.32
"June 15, 2018",14.26
"June 14, 2018",14.27
"June 13, 2018",14.27
"June 12, 2018",14.35
"June 11, 2018",14.38
"June 8, 2018",14.33
"June 7, 2018",14.32
"June 6, 2018",14.25
"June 5, 2018",14.17
"June 4, 2018",14.21
"June 1, 2018",14.16
"May 31, 2018",14.07
"May 30, 2018",14.20
"May 29, 2018",14.10
"May 25, 2018",14.27
"May 24, 2018",14.31
"May 23, 2018",14.32
"May 22, 2018",14.35
"May 21, 2018",14.37
"May 18, 2018",14.10
"May 17, 2018",14.05
"May 16, 2018",14.07
"May 15, 2018",14.04
"May 14, 2018",14.08
"May 11, 2018",14.04
"May 10, 2018",14.00
"May 9, 2018",13.91
"May 8, 2018",13.79
"May 7, 2018",13.71
"May 4, 2018",13.58
"May 3, 2018",13.41
