date,net_income_annual_cs_rev
"Dec. 31, 2019",7.19%
"Dec. 31, 2018",7.92%
"Dec. 31, 2017",7.61%
"Dec. 31, 2016",8.83%
"Dec. 31, 2015",13.56%
"Dec. 31, 2014",10.74%
"Dec. 31, 2013",10.11%
"Dec. 31, 2012",8.89%
"Dec. 31, 2011",8.93%
"Dec. 31, 2010",8.37%
"Dec. 31, 2009",7.30%
"Dec. 31, 2008",7.85%
"Dec. 31, 2007",7.71%
"Dec. 31, 2006",7.80%
"Dec. 31, 2005",7.18%
"Dec. 31, 2004",7.14%
"Dec. 31, 2003",7.61%
"Dec. 31, 2002",7.93%
"Dec. 31, 2001",6.95%
"Dec. 31, 2000",6.80%
"Dec. 31, 1999",6.42%
"Dec. 31, 1998",5.51%
"Dec. 31, 1997",5.09%
"Dec. 31, 1996",3.98%
"Dec. 31, 1995",3.32%
"Dec. 31, 1994",2.81%
"Dec. 31, 1993",2.35%
"Dec. 31, 1992",-1.33%
"Dec. 31, 1991",-4.90%
"Dec. 31, 1990",3.45%
"Dec. 31, 1989",3.59%
"Dec. 31, 1988",3.66%
"Dec. 31, 1987",3.45%
"Dec. 31, 1986",0.46%
"Dec. 31, 1985",2.09%
"Dec. 31, 1984",3.95%
