date,revenues_per_share
"Dec. 31, 2019",22.55
"Sept. 30, 2019",22.56
"June 30, 2019",22.73
"March 31, 2019",21.34
"Dec. 31, 2018",21.52
"Sept. 30, 2018",20.59
"June 30, 2018",20.89
"March 31, 2018",19.04
"Dec. 31, 2017",19.64
"Sept. 30, 2017",18.90
"June 30, 2017",19.14
"March 31, 2017",17.22
"Dec. 31, 2016",18.12
"Sept. 30, 2016",17.27
"June 30, 2016",17.84
"March 31, 2016",16.07
"Dec. 31, 2015",16.78
"Sept. 30, 2015",15.58
"June 30, 2015",16.52
"March 31, 2015",14.73
"Dec. 31, 2014",16.36
"Sept. 30, 2014",16.00
"June 30, 2014",18.79
"March 31, 2014",16.08
"Dec. 31, 2013",11.69
"Sept. 30, 2013",16.89
"June 30, 2013",17.51
"March 31, 2013",15.76
"Dec. 31, 2012",18.44
"Sept. 30, 2012",16.62
"June 30, 2012",15.27
"March 31, 2012",13.74
"Dec. 31, 2011",15.98
"Sept. 30, 2011",15.78
"June 30, 2011",15.90
"March 31, 2011",13.86
"Dec. 31, 2010",13.98
"Sept. 30, 2010",14.81
"June 30, 2010",14.91
"March 31, 2010",12.96
"Dec. 31, 2009",14.61
"Sept. 30, 2009",14.40
"June 30, 2009",14.20
"March 31, 2009",13.23
"Dec. 31, 2008",15.85
"Sept. 30, 2008",15.86
"June 30, 2008",16.51
"March 31, 2008",14.32
"Dec. 31, 2007",14.97
"Sept. 30, 2007",14.02
"June 30, 2007",14.04
"March 31, 2007",12.36
"Dec. 31, 2006",12.79
"Sept. 30, 2006",12.09
"June 30, 2006",12.15
"March 31, 2006",10.52
"Dec. 31, 2005",11.17
"Sept. 30, 2005",10.74
"June 30, 2005",10.95
"March 31, 2005",9.259
"Dec. 31, 2004",10.16
"Sept. 30, 2004",4.623
"June 30, 2004",4.763
"March 31, 2004",8.510
"Dec. 31, 2003",7.468
"Sept. 30, 2003",7.891
"June 30, 2003",7.79
"March 31, 2003",6.689
"Dec. 31, 2002",7.152
"Sept. 30, 2002",7.227
"June 30, 2002",7.223
"March 31, 2002",6.286
"Dec. 31, 2001",6.924
"Sept. 30, 2001",6.865
"June 30, 2001",7.231
"March 31, 2001",6.566
"Dec. 31, 2000",6.955
"Sept. 30, 2000",6.264
"June 30, 2000",6.763
"March 31, 2000",6.171
"Dec. 31, 1999",6.754
"Sept. 30, 1999",3.071
"June 30, 1999",2.986
"March 31, 1999",1.367
"Dec. 31, 1998",6.675
"Sept. 30, 1998",1.448
"June 30, 1998",1.468
"March 31, 1998",1.310
"Dec. 31, 1997",3.065
"Sept. 30, 1997",6.370
"June 30, 1997",6.830
"March 31, 1997",6.212
"Dec. 31, 1996",5.810
"Sept. 30, 1996",6.110
"June 30, 1996",6.208
"March 31, 1996",5.489
"Dec. 31, 1995",6.070
"Sept. 30, 1995",5.741
"June 30, 1995",5.857
"March 31, 1995",5.388
"Dec. 31, 1994",5.70
"Sept. 30, 1994",5.149
"June 30, 1994",5.251
"March 31, 1994",4.586
"Dec. 31, 1993",5.402
"Sept. 30, 1993",5.056
"June 30, 1993",5.537
"March 31, 1993",4.763
"Dec. 31, 1992",5.417
"Sept. 30, 1992",5.462
"June 30, 1992",5.820
"March 31, 1992",5.298
"Dec. 31, 1991",5.523
"Sept. 30, 1991",5.420
"June 30, 1991",5.530
"March 31, 1991",4.934
"Dec. 31, 1990",6.134
"Sept. 30, 1990",5.538
"June 30, 1990",5.900
"March 31, 1990",4.918
"Dec. 31, 1989",5.336
"Sept. 30, 1989",4.622
"June 30, 1989",5.041
"March 31, 1989",4.268
"Dec. 31, 1988",4.947
"Sept. 30, 1988",4.168
"June 30, 1988",4.179
"March 31, 1988",3.939
"Dec. 31, 1987",4.539
"Sept. 30, 1987",4.015
"June 30, 1987",4.084
"March 31, 1987",3.774
"Dec. 31, 1986",4.218
"Sept. 30, 1986",3.689
"June 30, 1986",4.075
"March 31, 1986",3.563
"Dec. 31, 1985",4.275
"Sept. 30, 1985",3.471
"June 30, 1985",3.835
"March 31, 1985",3.668
"Dec. 31, 1984",4.507
"Sept. 30, 1984",4.020
"June 30, 1984",4.347
"March 31, 1984",4.048
