date,sales_est_0q
"March 18, 2020",18.42B
"March 11, 2020",18.47B
"March 5, 2020",18.47B
"March 3, 2020",18.48B
"Feb. 21, 2020",18.47B
"Feb. 12, 2020",18.52B
"Feb. 11, 2020",18.52B
"Feb. 7, 2020",18.52B
"Feb. 3, 2020",18.54B
"Feb. 2, 2020",18.57B
"Jan. 31, 2020",18.56B
"Jan. 30, 2020",18.58B
"Jan. 29, 2020",18.60B
"Jan. 28, 2020",18.86B
"Jan. 27, 2020",18.95B
"Jan. 23, 2020",19.01B
"Jan. 7, 2020",19.10B
"Dec. 31, 2019",19.36B
"Dec. 18, 2019",19.31B
"Oct. 30, 2019",19.31B
"Oct. 28, 2019",19.31B
"Oct. 27, 2019",19.31B
"Oct. 25, 2019",19.41B
"Oct. 24, 2019",19.38B
"Oct. 23, 2019",19.40B
"Oct. 22, 2019",19.68B
"Oct. 15, 2019",19.80B
"Oct. 11, 2019",19.77B
"Oct. 10, 2019",19.77B
"Oct. 9, 2019",19.78B
"Oct. 7, 2019",19.76B
"Oct. 3, 2019",19.76B
"Oct. 2, 2019",19.77B
"Sept. 30, 2019",19.31B
"Sept. 4, 2019",19.32B
"Aug. 8, 2019",19.32B
"July 29, 2019",19.30B
"July 28, 2019",19.31B
"July 25, 2019",19.32B
"July 24, 2019",19.36B
"July 23, 2019",19.42B
"July 19, 2019",19.44B
"July 9, 2019",19.44B
"June 30, 2019",19.58B
"June 24, 2019",19.56B
"June 17, 2019",19.55B
"June 10, 2019",19.51B
"May 10, 2019",19.54B
"April 28, 2019",19.55B
"April 24, 2019",19.55B
"April 23, 2019",19.54B
"April 17, 2019",19.57B
"April 16, 2019",19.57B
"April 15, 2019",19.57B
"April 8, 2019",19.57B
"March 31, 2019",18.01B
"March 7, 2019",18.02B
"Feb. 23, 2019",18.03B
"Feb. 22, 2019",18.07B
"Jan. 31, 2019",18.04B
"Jan. 28, 2019",18.04B
"Jan. 25, 2019",18.07B
"Jan. 24, 2019",18.06B
"Jan. 23, 2019",18.02B
"Jan. 16, 2019",18.16B
"Jan. 10, 2019",18.15B
"Dec. 31, 2018",16.87B
"Dec. 20, 2018",16.79B
"Dec. 17, 2018",16.81B
"Dec. 5, 2018",16.81B
"Dec. 4, 2018",16.75B
"Nov. 29, 2018",16.91B
"Nov. 28, 2018",16.98B
"Nov. 27, 2018",17.20B
"Nov. 26, 2018",16.41B
"Nov. 19, 2018",16.42B
"Nov. 14, 2018",16.41B
"Nov. 6, 2018",16.38B
"Nov. 5, 2018",16.39B
"Oct. 30, 2018",16.39B
"Oct. 29, 2018",16.42B
"Oct. 24, 2018",16.42B
"Oct. 23, 2018",16.38B
"Oct. 17, 2018",16.80B
"Oct. 15, 2018",16.80B
"Oct. 12, 2018",16.75B
"Oct. 10, 2018",16.81B
"Oct. 8, 2018",16.81B
"Sept. 30, 2018",16.14B
"Sept. 28, 2018",16.12B
"Sept. 21, 2018",16.13B
"Sept. 14, 2018",16.13B
"Sept. 7, 2018",16.12B
"Aug. 31, 2018",16.12B
"Aug. 24, 2018",16.12B
"Aug. 23, 2018",16.13B
"Aug. 21, 2018",16.13B
"Aug. 16, 2018",16.13B
"Aug. 13, 2018",16.13B
"Aug. 9, 2018",16.13B
"Aug. 8, 2018",16.13B
"July 26, 2018",16.13B
"July 25, 2018",16.17B
"July 16, 2018",16.16B
"July 13, 2018",16.13B
"July 12, 2018",16.12B
"July 10, 2018",16.17B
"June 30, 2018",16.26B
"June 27, 2018",16.27B
"May 30, 2018",16.23B
"May 22, 2018",16.23B
"May 1, 2018",16.23B
"April 27, 2018",16.21B
"April 26, 2018",16.21B
"April 25, 2018",16.22B
"April 24, 2018",16.22B
"April 12, 2018",16.25B
"April 9, 2018",16.23B
"April 6, 2018",16.23B
"March 31, 2018",14.62B
"March 19, 2018",14.64B
"March 18, 2018",14.67B
"March 16, 2018",14.66B
"March 9, 2018",14.65B
"Feb. 23, 2018",14.65B
"Feb. 12, 2018",14.65B
"Jan. 29, 2018",14.65B
"Jan. 25, 2018",14.65B
"Jan. 24, 2018",14.68B
"Jan. 23, 2018",14.70B
"Jan. 8, 2018",14.69B
"Jan. 3, 2018",14.66B
