date,year_high
"March 19, 2020",158.44
"March 18, 2020",158.44
"March 17, 2020",158.44
"March 16, 2020",158.44
"March 13, 2020",158.44
"March 12, 2020",158.44
"March 11, 2020",158.44
"March 10, 2020",158.44
"March 9, 2020",158.44
"March 6, 2020",158.44
"March 5, 2020",158.44
"March 4, 2020",158.44
"March 3, 2020",158.44
"March 2, 2020",158.44
"Feb. 28, 2020",158.44
"Feb. 27, 2020",158.44
"Feb. 26, 2020",158.44
"Feb. 25, 2020",158.44
"Feb. 24, 2020",158.44
"Feb. 21, 2020",158.44
"Feb. 20, 2020",158.44
"Feb. 19, 2020",158.44
"Feb. 18, 2020",158.44
"Feb. 14, 2020",158.44
"Feb. 13, 2020",158.44
"Feb. 12, 2020",158.44
"Feb. 11, 2020",158.44
"Feb. 10, 2020",157.98
"Feb. 7, 2020",157.86
"Feb. 6, 2020",156.74
"Feb. 5, 2020",155.63
"Feb. 4, 2020",155.53
"Feb. 3, 2020",155.53
"Jan. 31, 2020",155.53
"Jan. 30, 2020",155.53
"Jan. 29, 2020",155.53
"Jan. 28, 2020",155.53
"Jan. 27, 2020",155.53
"Jan. 24, 2020",155.53
"Jan. 23, 2020",155.53
"Jan. 22, 2020",155.53
"Jan. 21, 2020",155.53
"Jan. 17, 2020",155.53
"Jan. 16, 2020",154.65
"Jan. 15, 2020",154.65
"Jan. 14, 2020",154.65
"Jan. 13, 2020",154.65
"Jan. 10, 2020",154.65
"Jan. 9, 2020",154.65
"Jan. 8, 2020",154.65
"Jan. 7, 2020",154.65
"Jan. 6, 2020",154.65
"Jan. 3, 2020",154.65
"Jan. 2, 2020",153.22
"Dec. 31, 2019",151.07
"Dec. 30, 2019",151.07
"Dec. 27, 2019",151.07
"Dec. 26, 2019",150.90
"Dec. 24, 2019",150.90
"Dec. 23, 2019",150.90
"Dec. 20, 2019",150.90
"Dec. 19, 2019",150.67
"Dec. 18, 2019",150.67
"Dec. 17, 2019",150.67
"Dec. 16, 2019",150.67
"Dec. 13, 2019",150.15
"Dec. 12, 2019",149.81
"Dec. 11, 2019",149.81
"Dec. 10, 2019",149.81
"Dec. 9, 2019",149.81
"Dec. 6, 2019",149.81
"Dec. 5, 2019",149.81
"Dec. 4, 2019",149.81
"Dec. 3, 2019",149.81
"Dec. 2, 2019",149.81
"Nov. 29, 2019",149.81
"Nov. 27, 2019",149.81
"Nov. 26, 2019",149.81
"Nov. 25, 2019",149.81
"Nov. 22, 2019",149.81
"Nov. 21, 2019",149.81
"Nov. 20, 2019",149.81
"Nov. 19, 2019",149.81
"Nov. 18, 2019",149.81
"Nov. 15, 2019",149.81
"Nov. 14, 2019",149.35
"Nov. 13, 2019",149.35
"Nov. 12, 2019",149.35
"Nov. 11, 2019",149.35
"Nov. 8, 2019",149.35
"Nov. 7, 2019",149.35
"Nov. 6, 2019",148.56
"Nov. 5, 2019",148.56
"Nov. 4, 2019",147.99
"Nov. 1, 2019",146.79
"Oct. 31, 2019",144.62
"Oct. 30, 2019",144.62
"Oct. 29, 2019",144.62
"Oct. 28, 2019",144.62
"Oct. 25, 2019",144.40
"Oct. 24, 2019",144.40
"Oct. 23, 2019",144.40
"Oct. 22, 2019",144.40
"Oct. 21, 2019",144.40
"Oct. 18, 2019",144.40
"Oct. 17, 2019",144.40
"Oct. 16, 2019",144.40
"Oct. 15, 2019",144.40
"Oct. 14, 2019",144.40
"Oct. 11, 2019",144.40
"Oct. 10, 2019",144.40
"Oct. 9, 2019",144.40
"Oct. 8, 2019",144.40
"Oct. 7, 2019",144.40
"Oct. 4, 2019",144.40
"Oct. 3, 2019",144.40
"Oct. 2, 2019",144.40
"Oct. 1, 2019",144.40
"Sept. 30, 2019",144.40
"Sept. 27, 2019",144.40
"Sept. 26, 2019",144.40
"Sept. 25, 2019",144.40
"Sept. 24, 2019",144.40
"Sept. 23, 2019",144.40
"Sept. 20, 2019",144.40
"Sept. 19, 2019",144.40
"Sept. 18, 2019",144.40
"Sept. 17, 2019",144.40
"Sept. 16, 2019",144.40
"Sept. 13, 2019",144.40
"Sept. 12, 2019",144.40
"Sept. 11, 2019",144.40
"Sept. 10, 2019",144.40
"Sept. 9, 2019",144.40
"Sept. 6, 2019",144.40
"Sept. 5, 2019",144.40
"Sept. 4, 2019",144.40
"Sept. 3, 2019",144.40
"Aug. 30, 2019",144.40
"Aug. 29, 2019",144.40
"Aug. 28, 2019",144.40
"Aug. 27, 2019",144.40
"Aug. 26, 2019",144.40
"Aug. 23, 2019",144.40
"Aug. 22, 2019",144.40
"Aug. 21, 2019",144.40
"Aug. 20, 2019",144.40
"Aug. 19, 2019",144.40
"Aug. 16, 2019",144.40
"Aug. 15, 2019",144.40
"Aug. 14, 2019",144.40
"Aug. 13, 2019",144.40
"Aug. 12, 2019",144.40
"Aug. 9, 2019",144.40
"Aug. 8, 2019",144.40
"Aug. 7, 2019",144.40
"Aug. 6, 2019",144.40
"Aug. 5, 2019",144.40
"Aug. 2, 2019",144.40
"Aug. 1, 2019",144.40
"July 31, 2019",144.40
"July 30, 2019",144.40
"July 29, 2019",144.40
"July 26, 2019",144.40
"July 25, 2019",144.40
"July 24, 2019",144.40
"July 23, 2019",144.40
"July 22, 2019",144.40
"July 19, 2019",144.40
"July 18, 2019",144.40
"July 17, 2019",144.40
"July 16, 2019",144.40
"July 15, 2019",144.40
"July 12, 2019",144.40
"July 11, 2019",144.40
"July 10, 2019",144.40
"July 9, 2019",144.40
"July 8, 2019",144.40
"July 5, 2019",144.40
"July 3, 2019",144.40
"July 2, 2019",144.40
"July 1, 2019",144.40
"June 28, 2019",144.40
"June 27, 2019",144.40
"June 26, 2019",144.40
"June 25, 2019",144.40
"June 24, 2019",144.40
"June 21, 2019",144.40
"June 20, 2019",144.40
"June 19, 2019",144.40
"June 18, 2019",144.40
"June 17, 2019",144.40
"June 14, 2019",144.40
"June 13, 2019",144.40
"June 12, 2019",144.40
"June 11, 2019",144.40
"June 10, 2019",144.40
"June 7, 2019",144.40
"June 6, 2019",144.40
"June 5, 2019",144.40
"June 4, 2019",144.40
"June 3, 2019",144.40
"May 31, 2019",144.40
"May 30, 2019",144.40
"May 29, 2019",144.40
"May 28, 2019",144.40
"May 24, 2019",144.40
"May 23, 2019",144.40
"May 22, 2019",144.40
"May 21, 2019",144.40
"May 20, 2019",144.40
"May 17, 2019",144.40
"May 16, 2019",144.40
"May 15, 2019",144.40
"May 14, 2019",144.40
"May 13, 2019",144.40
"May 10, 2019",144.40
"May 9, 2019",144.40
"May 8, 2019",144.40
"May 7, 2019",144.40
"May 6, 2019",144.40
"May 3, 2019",144.40
"May 2, 2019",144.40
"May 1, 2019",144.40
"April 30, 2019",144.15
"April 29, 2019",144.15
"April 26, 2019",144.15
"April 25, 2019",144.15
"April 24, 2019",144.15
"April 23, 2019",144.15
"April 22, 2019",144.15
"April 18, 2019",144.15
"April 17, 2019",144.15
"April 16, 2019",144.15
"April 15, 2019",144.15
"April 12, 2019",144.15
"April 11, 2019",144.15
"April 10, 2019",144.15
"April 9, 2019",144.15
"April 8, 2019",144.15
"April 5, 2019",144.15
"April 4, 2019",144.15
"April 3, 2019",144.15
"April 2, 2019",144.15
"April 1, 2019",144.15
"March 29, 2019",144.15
"March 28, 2019",144.15
"March 27, 2019",144.15
"March 26, 2019",144.15
"March 25, 2019",144.15
"March 22, 2019",144.15
"March 21, 2019",144.15
"March 20, 2019",144.15
"March 19, 2019",144.15
"March 18, 2019",144.15
"March 15, 2019",144.15
"March 14, 2019",144.15
"March 13, 2019",144.15
"March 12, 2019",144.15
"March 11, 2019",144.15
"March 8, 2019",144.15
"March 7, 2019",144.15
"March 6, 2019",144.15
"March 5, 2019",144.15
"March 4, 2019",144.15
"March 1, 2019",144.15
"Feb. 28, 2019",144.15
"Feb. 27, 2019",144.15
"Feb. 26, 2019",144.15
"Feb. 25, 2019",144.15
"Feb. 22, 2019",144.15
"Feb. 21, 2019",144.15
"Feb. 20, 2019",144.15
"Feb. 19, 2019",144.15
"Feb. 15, 2019",144.15
"Feb. 14, 2019",144.15
"Feb. 13, 2019",144.15
"Feb. 12, 2019",144.15
"Feb. 11, 2019",144.15
"Feb. 8, 2019",144.15
"Feb. 7, 2019",144.15
"Feb. 6, 2019",144.15
"Feb. 5, 2019",144.15
"Feb. 4, 2019",144.15
"Feb. 1, 2019",144.15
"Jan. 31, 2019",144.15
"Jan. 30, 2019",144.15
"Jan. 29, 2019",144.15
"Jan. 28, 2019",144.15
"Jan. 25, 2019",144.15
"Jan. 24, 2019",144.15
