date,assets
"Dec. 31, 2019",53.86B
"Sept. 30, 2019",51.23B
"June 30, 2019",52.02B
"March 31, 2019",52.10B
"Dec. 31, 2018",50.16B
"Sept. 30, 2018",51.89B
"June 30, 2018",50.68B
"March 31, 2018",49.38B
"Dec. 31, 2017",50.16B
"Sept. 30, 2017",47.99B
"June 30, 2017",45.97B
"March 31, 2017",46.05B
"Dec. 31, 2016",46.17B
"Sept. 30, 2016",46.26B
"June 30, 2016",45.45B
"March 31, 2016",44.26B
"Dec. 31, 2015",44.23B
"Sept. 30, 2015",45.82B
"June 30, 2015",47.60B
"March 31, 2015",45.74B
"Dec. 31, 2014",45.55B
"Sept. 30, 2014",48.46B
"June 30, 2014",47.01B
"March 31, 2014",47.10B
"Dec. 31, 2013",47.26B
"Sept. 30, 2013",46.29B
"June 30, 2013",44.18B
"March 31, 2013",45.50B
"Dec. 31, 2012",44.48B
"Sept. 30, 2012",43.79B
"June 30, 2012",41.19B
"March 31, 2012",42.63B
"Dec. 31, 2011",42.78B
"Sept. 30, 2011",41.68B
"June 30, 2011",39.53B
"March 31, 2011",39.59B
"Dec. 31, 2010",37.62B
"Sept. 30, 2010",37.28B
"June 30, 2010",36.48B
"March 31, 2010",36.46B
"Dec. 31, 2009",35.57B
"Sept. 30, 2009",36.80B
"June 30, 2009",37.22B
"March 31, 2009",35.78B
"Dec. 31, 2008",34.42B
"Sept. 30, 2008",43.81B
"June 30, 2008",43.66B
"March 31, 2008",40.67B
"Dec. 31, 2007",42.72B
"Sept. 30, 2007",41.86B
"June 30, 2007",40.35B
"March 31, 2007",38.19B
"Dec. 31, 2006",37.75B
"Sept. 30, 2006",36.64B
"June 30, 2006",36.52B
"March 31, 2006",33.30B
"Dec. 31, 2005",32.80B
"Sept. 30, 2005",32.77B
"June 30, 2005",21.64B
"March 31, 2005",20.31B
"Dec. 31, 2004",19.39B
"Sept. 30, 2004",19.44B
"June 30, 2004",18.56B
"March 31, 2004",17.78B
"Dec. 31, 2003",15.66B
"Sept. 30, 2003",15.25B
"June 30, 2003",14.47B
"March 31, 2003",14.64B
"Dec. 31, 2002",14.47B
"Sept. 30, 2002",13.96B
"June 30, 2002",13.99B
"March 31, 2002",14.51B
"Dec. 31, 2001",14.40B
"Sept. 30, 2001",5.329B
"June 30, 2001",5.214B
"March 31, 2001",4.560B
"Dec. 31, 2000",4.308B
"Sept. 30, 2000",4.211B
"June 30, 2000",4.213B
"March 31, 2000",3.121B
"Dec. 31, 1999",2.979B
"Sept. 30, 1999",2.999B
"June 30, 1999",2.87B
"March 31, 1999",2.814B
"Dec. 31, 1998",2.726B
"Sept. 30, 1998",2.804B
"June 30, 1998",2.470B
"March 31, 1998",2.431B
"Dec. 31, 1997",2.493B
"Sept. 30, 1997",2.419B
"June 30, 1997",2.940B
"March 31, 1997",2.865B
"Dec. 31, 1996",1.986B
"Sept. 30, 1996",2.858B
"June 30, 1996",2.808B
"March 31, 1996",2.770B
"Dec. 31, 1995",2.877B
"Sept. 30, 1995",2.761B
"June 30, 1995",2.752B
"March 31, 1995",2.730B
"Dec. 31, 1994",2.831B
"Sept. 30, 1994",2.648B
"June 30, 1994",2.712B
"March 31, 1994",1.868B
"Dec. 31, 1993",1.764B
"Sept. 30, 1993",1.819B
"June 30, 1993",1.822B
"March 31, 1993",1.778B
"Dec. 31, 1992",1.759B
"Sept. 30, 1992",1.743B
"June 30, 1992",1.679B
"March 31, 1992",1.513B
"Dec. 31, 1991",1.481B
"Sept. 30, 1991",1.402B
"June 30, 1991",1.366B
"March 31, 1991",1.382B
"Dec. 31, 1990",1.254B
"Sept. 30, 1990",1.144B
"June 30, 1990",1.008B
"March 31, 1990",993.70M
"Dec. 31, 1989",1.018B
"Dec. 31, 1988",926.50M
"Dec. 31, 1987",964.70M
"Dec. 31, 1986",1.697B
"Dec. 31, 1985",1.995B
"Dec. 31, 1984",1.998B
