date,days_payables_outstanding
"Dec. 31, 2019",33.92
"Sept. 30, 2019",34.17
"June 30, 2019",33.37
"March 31, 2019",35.73
"Dec. 31, 2018",32.75
"Sept. 30, 2018",28.72
"June 30, 2018",26.32
"March 31, 2018",29.13
"Dec. 31, 2017",26.85
"Sept. 30, 2017",24.70
"June 30, 2017",25.14
"March 31, 2017",26.48
"Dec. 31, 2016",27.23
"Sept. 30, 2016",28.05
"June 30, 2016",28.08
"March 31, 2016",31.32
"Dec. 31, 2015",26.01
"Sept. 30, 2015",30.07
"June 30, 2015",28.48
"March 31, 2015",32.00
"Dec. 31, 2014",30.25
"Sept. 30, 2014",27.12
"June 30, 2014",26.50
"March 31, 2014",26.96
"Dec. 31, 2013",30.86
"Sept. 30, 2013",26.28
"June 30, 2013",27.47
"March 31, 2013",26.69
"Dec. 31, 2012",26.81
"Sept. 30, 2012",24.01
"June 30, 2012",25.54
"March 31, 2012",25.47
"Dec. 31, 2011",23.83
"Sept. 30, 2011",22.79
"June 30, 2011",25.53
"March 31, 2011",27.59
"Dec. 31, 2010",26.73
"Sept. 30, 2010",27.31
"June 30, 2010",28.12
"March 31, 2010",29.61
"Dec. 31, 2009",34.14
"Sept. 30, 2009",29.30
"June 30, 2009",28.38
"March 31, 2009",33.42
"Dec. 31, 2008",62.71
"Sept. 30, 2008",28.32
"June 30, 2008",25.50
"March 31, 2008",30.53
"Dec. 31, 2007",30.38
"Sept. 30, 2007",32.30
"June 30, 2007",32.60
"March 31, 2007",36.42
"Dec. 31, 2006",36.78
"Sept. 30, 2006",29.16
"June 30, 2006",26.54
"March 31, 2006",27.65
"Dec. 31, 2005",24.44
"Sept. 30, 2005",20.73
"June 30, 2005",22.90
"March 31, 2005",22.20
"Dec. 31, 2004",21.06
"Sept. 30, 2004",22.31
"June 30, 2004",22.39
"March 31, 2004",22.42
"Dec. 31, 2003",23.21
"Sept. 30, 2003",18.86
"June 30, 2003",22.21
"March 31, 2003",20.15
"Dec. 31, 2002",19.94
"Sept. 30, 2002",17.00
"June 30, 2002",19.68
"March 31, 2002",27.54
"Dec. 31, 2001",28.67
"Sept. 30, 2001",20.11
"June 30, 2001",18.41
"March 31, 2001",21.79
"Dec. 31, 2000",18.41
"Sept. 30, 2000",17.35
"June 30, 2000",20.83
"March 31, 2000",20.86
"Dec. 31, 1999",22.99
"Sept. 30, 1999",21.90
"June 30, 1999",20.66
"March 31, 1999",24.99
"Dec. 31, 1998",21.33
"Sept. 30, 1998",25.02
"June 30, 1998",24.91
"March 31, 1998",27.51
"Dec. 31, 1997",24.39
"Sept. 30, 1997",23.91
"June 30, 1997",25.30
"March 31, 1997",18.83
"Dec. 31, 1996",-48.05
"Sept. 30, 1996",32.29
"June 30, 1996",50.89
"March 31, 1996",27.60
"Dec. 31, 1995",-76.47
"Sept. 30, 1995",36.00
"June 30, 1995",37.57
"March 31, 1995",53.15
"Dec. 31, 1994",44.35
"Sept. 30, 1994",
"June 30, 1994",
"March 31, 1994",33.92
"Dec. 31, 1993",37.64
"Sept. 30, 1993",32.39
"June 30, 1993",29.56
"March 31, 1993",47.14
"Dec. 31, 1992",32.72
"Sept. 30, 1992",42.07
"June 30, 1992",46.36
"March 31, 1992",51.39
"Dec. 31, 1991",56.80
"Sept. 30, 1991",36.67
"June 30, 1991",48.94
"March 31, 1991",62.31
"Dec. 31, 1990",50.15
"Sept. 30, 1990",41.29
"June 30, 1990",25.86
"March 31, 1990",32.51
