date,ebitda_ttm
"Dec. 31, 2019",6.195B
"Sept. 30, 2019",5.721B
"June 30, 2019",6.017B
"March 31, 2019",6.302B
"Dec. 31, 2018",6.771B
"Sept. 30, 2018",6.268B
"June 30, 2018",6.342B
"March 31, 2018",5.957B
"Dec. 31, 2017",5.661B
"Sept. 30, 2017",5.401B
"June 30, 2017",4.923B
"March 31, 2017",5.253B
"Dec. 31, 2016",5.522B
"Sept. 30, 2016",5.564B
"June 30, 2016",6.814B
"March 31, 2016",7.609B
"Dec. 31, 2015",8.246B
"Sept. 30, 2015",9.325B
"June 30, 2015",8.812B
"March 31, 2015",7.812B
"Dec. 31, 2014",7.639B
"Sept. 30, 2014",7.75B
"June 30, 2014",6.636B
"March 31, 2014",6.346B
"Dec. 31, 2013",6.064B
"Sept. 30, 2013",6.754B
"June 30, 2013",7.466B
"March 31, 2013",7.987B
"Dec. 31, 2012",6.628B
"Sept. 30, 2012",4.172B
"June 30, 2012",4.833B
"March 31, 2012",4.777B
"Dec. 31, 2011",5.257B
"Sept. 30, 2011",5.514B
"June 30, 2011",4.123B
"March 31, 2011",3.709B
"Dec. 31, 2010",3.455B
"Sept. 30, 2010",2.947B
"June 30, 2010",2.127B
"March 31, 2010",1.029B
"Dec. 31, 2009",1.627B
"Sept. 30, 2009",-923.00M
"June 30, 2009",1.128B
"March 31, 2009",2.481B
"Dec. 31, 2008",2.35B
"Sept. 30, 2008",5.818B
"June 30, 2008",5.12B
"March 31, 2008",7.127B
"Dec. 31, 2007",8.387B
"Sept. 30, 2007",8.877B
"June 30, 2007",9.92B
"March 31, 2007",9.417B
"Dec. 31, 2006",8.911B
"Sept. 30, 2006",9.272B
"June 30, 2006",8.247B
"March 31, 2006",6.718B
"Dec. 31, 2005",6.157B
"Sept. 30, 2005",5.027B
"June 30, 2005",4.36B
"March 31, 2005",4.051B
"Dec. 31, 2004",3.597B
"Sept. 30, 2004",3.015B
"June 30, 2004",2.634B
"March 31, 2004",1.835B
"Dec. 31, 2003",1.732B
"Sept. 30, 2003",1.707B
"June 30, 2003",1.462B
"March 31, 2003",1.281B
"Dec. 31, 2002",920.20M
"Sept. 30, 2002",747.59M
"June 30, 2002",769.46M
"March 31, 2002",1.078B
"Dec. 31, 2001",1.256B
"Sept. 30, 2001",1.298B
"June 30, 2001",1.310B
"March 31, 2001",985.92M
"Dec. 31, 2000",783.32M
"Sept. 30, 2000",625.78M
"June 30, 2000",436.57M
"March 31, 2000",252.50M
"Dec. 31, 1999",208.24M
"Sept. 30, 1999",5.833M
"June 30, 1999",-30.60M
"March 31, 1999",49.50M
"Dec. 31, 1998",27.30M
"Sept. 30, 1998",180.70M
"June 30, 1998",251.00M
"March 31, 1998",226.50M
"Dec. 31, 1997",281.80M
"Sept. 30, 1997",162.30M
"June 30, 1997",142.50M
"March 31, 1997",123.50M
"Dec. 31, 1996",131.40M
"Sept. 30, 1996",174.10M
"June 30, 1996",169.10M
"March 31, 1996",207.70M
"Dec. 31, 1995",180.70M
"Sept. 30, 1995",295.90M
"June 30, 1995",279.20M
"March 31, 1995",241.40M
"Dec. 31, 1994",230.40M
"Sept. 30, 1994",177.50M
"June 30, 1994",166.20M
"March 31, 1994",166.20M
"Dec. 31, 1993",159.50M
"Sept. 30, 1993",184.40M
"June 30, 1993",172.70M
"March 31, 1993",179.90M
"Dec. 31, 1992",182.20M
"Sept. 30, 1992",182.40M
"June 30, 1992",178.00M
"March 31, 1992",164.60M
"Dec. 31, 1991",155.90M
"Sept. 30, 1991",183.60M
"June 30, 1991",185.10M
"March 31, 1991",180.50M
"Dec. 31, 1990",170.00M
"Sept. 30, 1990",-489.80M
"June 30, 1990",-292.60M
"March 31, 1990",-106.90M
"Dec. 31, 1989",69.70M
"Sept. 30, 1989",126.90M
"June 30, 1989",61.50M
"March 31, 1989",29.00M
"Dec. 31, 1988",38.70M
"Sept. 30, 1988",81.90M
"June 30, 1988",69.60M
"March 31, 1988",32.60M
"Dec. 31, 1987",-57.40M
"Sept. 30, 1987",-1.046B
"June 30, 1987",-807.00M
"March 31, 1987",-515.70M
"Dec. 31, 1986",-57.90M
"Sept. 30, 1986",-449.40M
"June 30, 1986",-97.40M
"March 31, 1986",12.30M
"Dec. 31, 1985",130.20M
"Sept. 30, 1985",810.40M
"June 30, 1985",504.50M
"March 31, 1985",372.40M
"Dec. 31, 1984",102.20M
