date,eps_ttm
"Dec. 31, 2019",5.87
"Sept. 30, 2019",5.53
"June 30, 2019",6.06
"March 31, 2019",6.55
"Dec. 31, 2018",7.30
"Sept. 30, 2018",10.48
"June 30, 2018",10.38
"March 31, 2018",9.65
"Dec. 31, 2017",9.24
"Sept. 30, 2017",4.63
"June 30, 2017",4.05
"March 31, 2017",4.55
"Dec. 31, 2016",4.92
"Sept. 30, 2016",4.73
"June 30, 2016",6.19
"March 31, 2016",7.12
"Dec. 31, 2015",7.94
"Sept. 30, 2015",9.54
"June 30, 2015",8.75
"March 31, 2015",7.19
"Dec. 31, 2014",6.86
"Sept. 30, 2014",7.02
"June 30, 2014",5.59
"March 31, 2014",5.34
"Dec. 31, 2013",4.98
"Sept. 30, 2013",4.42
"June 30, 2013",5.06
"March 31, 2013",5.71
"Dec. 31, 2012",3.75
"Sept. 30, 2012",2.01
"June 30, 2012",2.91
"March 31, 2012",2.71
"Dec. 31, 2011",3.66
"Sept. 30, 2011",2.81
"June 30, 2011",1.21
"March 31, 2011",0.94
"Dec. 31, 2010",0.57
"Sept. 30, 2010",-1.25
"June 30, 2010",-2.88
"March 31, 2010",-4.39
"Dec. 31, 2009",-3.60
"Sept. 30, 2009",-7.25
"June 30, 2009",-3.95
"March 31, 2009",-2.10
"Dec. 31, 2008",-2.21
"Sept. 30, 2008",5.11
"June 30, 2008",5.02
"March 31, 2008",7.54
"Dec. 31, 2007",8.92
"Sept. 30, 2007",9.65
"June 30, 2007",10.11
"March 31, 2007",9.20
"Dec. 31, 2006",8.66
"Sept. 30, 2006",8.99
"June 30, 2006",7.91
"March 31, 2006",6.46
"Dec. 31, 2005",6.10
"Sept. 30, 2005",4.84
"June 30, 2005",4.155
"March 31, 2005",3.765
"Dec. 31, 2004",3.26
"Sept. 30, 2004",2.625
"June 30, 2004",2.215
"March 31, 2004",1.345
"Dec. 31, 2003",1.268
"Sept. 30, 2003",1.228
"June 30, 2003",0.92
"March 31, 2003",0.675
"Dec. 31, 2002",0.205
"Sept. 30, 2002",0.2175
"June 30, 2002",0.545
"March 31, 2002",1.578
"Dec. 31, 2001",2.202
"Sept. 30, 2001",2.355
"June 30, 2001",2.462
"March 31, 2001",1.782
"Dec. 31, 2000",1.385
"Sept. 30, 2000",1.088
"June 30, 2000",0.685
"March 31, 2000",0.21
"Dec. 31, 1999",0.0625
"Sept. 30, 1999",-0.39
"June 30, 1999",-0.47
"March 31, 1999",-0.1975
"Dec. 31, 1998",-0.2125
"Sept. 30, 1998",0.2275
"June 30, 1998",0.4325
"March 31, 1998",0.33
"Dec. 31, 1997",0.43
"Sept. 30, 1997",0.5573
"June 30, 1997",0.3898
"March 31, 1997",0.4198
"Dec. 31, 1996",0.4448
"Sept. 30, 1996",0.5893
"June 30, 1996",0.6443
"March 31, 1996",0.6418
"Dec. 31, 1995",0.5493
"Sept. 30, 1995",0.2219
"June 30, 1995",0.1644
"March 31, 1995",0.0719
"Dec. 31, 1994",0.0994
"Sept. 30, 1994",0.005
"June 30, 1994",0.015
"March 31, 1994",0.1475
"Dec. 31, 1993",0.205
"Sept. 30, 1993",0.34
"June 30, 1993",0.4375
"March 31, 1993",0.455
"Dec. 31, 1992",0.485
"Sept. 30, 1992",0.5725
"June 30, 1992",0.585
"March 31, 1992",0.5725
"Dec. 31, 1991",0.57
"Sept. 30, 1991",0.6375
"June 30, 1991",0.6525
"March 31, 1991",0.635
"Dec. 31, 1990",0.5725
