date,revenues_ttm
"Dec. 31, 2019",108.32B
"Sept. 30, 2019",109.18B
"June 30, 2019",112.78B
"March 31, 2019",114.86B
"Dec. 31, 2018",117.03B
"Sept. 30, 2018",114.70B
"June 30, 2018",107.41B
"March 31, 2018",98.65B
"Dec. 31, 2017",93.98B
"Sept. 30, 2017",88.30B
"June 30, 2017",84.39B
"March 31, 2017",81.72B
"Dec. 31, 2016",75.66B
"Sept. 30, 2016",73.72B
"June 30, 2016",76.65B
"March 31, 2016",82.19B
"Dec. 31, 2015",87.80B
"Sept. 30, 2015",96.89B
"June 30, 2015",108.72B
"March 31, 2015",118.51B
"Dec. 31, 2014",130.84B
"Sept. 30, 2014",137.41B
"June 30, 2014",139.14B
"March 31, 2014",138.26B
"Dec. 31, 2013",138.07B
"Sept. 30, 2013",137.48B
"June 30, 2013",136.07B
"March 31, 2013",136.70B
"Dec. 31, 2012",138.39B
"Sept. 30, 2012",139.23B
"June 30, 2012",138.22B
"March 31, 2012",134.85B
"Dec. 31, 2011",125.99B
"Sept. 30, 2011",113.48B
"June 30, 2011",100.78B
"March 31, 2011",90.05B
"Dec. 31, 2010",82.23B
"Sept. 30, 2010",75.39B
"June 30, 2010",72.95B
"March 31, 2010",69.76B
"Dec. 31, 2009",64.60B
"Sept. 30, 2009",61.87B
"June 30, 2009",79.26B
"March 31, 2009",98.52B
"Dec. 31, 2008",113.14B
"Sept. 30, 2008",129.22B
"June 30, 2008",116.96B
"March 31, 2008",104.52B
"Dec. 31, 2007",95.33B
"Sept. 30, 2007",86.08B
"June 30, 2007",85.42B
"March 31, 2007",86.81B
"Dec. 31, 2006",88.79B
"Sept. 30, 2006",93.71B
"June 30, 2006",93.96B
"March 31, 2006",86.40B
"Dec. 31, 2005",80.62B
"Sept. 30, 2005",71.66B
"June 30, 2005",62.71B
"March 31, 2005",58.49B
"Dec. 31, 2004",54.62B
"Sept. 30, 2004",48.74B
"June 30, 2004",44.32B
"March 31, 2004",39.36B
"Dec. 31, 2003",37.97B
"Sept. 30, 2003",36.58B
"June 30, 2003",34.77B
"March 31, 2003",33.15B
"Dec. 31, 2002",28.58B
"Sept. 30, 2002",23.33B
"June 30, 2002",19.06B
"March 31, 2002",16.34B
"Dec. 31, 2001",14.99B
"Sept. 30, 2001",16.25B
"June 30, 2001",16.64B
"March 31, 2001",15.51B
"Dec. 31, 2000",14.67B
"Sept. 30, 2000",13.19B
"June 30, 2000",11.10B
"March 31, 2000",9.553B
"Dec. 31, 1999",7.961B
"Sept. 30, 1999",6.714B
"June 30, 1999",5.890B
"March 31, 1999",5.514B
"Dec. 31, 1998",5.539B
"Sept. 30, 1998",5.745B
"June 30, 1998",6.382B
"March 31, 1998",6.297B
"Dec. 31, 1997",6.472B
"Sept. 30, 1997",4.247B
"June 30, 1997",3.395B
"March 31, 1997",2.707B
"Dec. 31, 1996",2.280B
"Sept. 30, 1996",2.506B
"June 30, 1996",2.123B
"March 31, 1996",2.192B
"Dec. 31, 1995",1.773B
"Sept. 30, 1995",2.738B
"June 30, 1995",2.575B
"March 31, 1995",2.247B
"Dec. 31, 1994",1.837B
"Sept. 30, 1994",1.557B
"June 30, 1994",1.303B
"March 31, 1994",1.208B
"Dec. 31, 1993",1.222B
"Sept. 30, 1993",1.244B
"June 30, 1993",1.257B
"March 31, 1993",1.255B
"Dec. 31, 1992",1.235B
"Sept. 30, 1992",1.126B
"June 30, 1992",1.046B
"March 31, 1992",1.00B
"Dec. 31, 1991",1.012B
"Sept. 30, 1991",1.152B
"June 30, 1991",1.192B
"March 31, 1991",1.195B
"Dec. 31, 1990",1.169B
"Sept. 30, 1990",1.101B
"June 30, 1990",1.051B
"March 31, 1990",1.000B
"Dec. 31, 1989",941.30M
"Sept. 30, 1989",858.80M
"June 30, 1989",793.40M
"March 31, 1989",760.90M
"Dec. 31, 1988",770.60M
"Sept. 30, 1988",767.70M
"June 30, 1988",755.40M
"March 31, 1988",718.40M
"Dec. 31, 1987",628.40M
"Sept. 30, 1987",892.20M
"June 30, 1987",1.131B
"March 31, 1987",1.422B
"Dec. 31, 1986",1.880B
"Sept. 30, 1986",2.082B
"June 30, 1986",2.434B
"March 31, 1986",2.544B
"Dec. 31, 1985",2.662B
"Sept. 30, 1985",3.016B
"June 30, 1985",2.710B
"March 31, 1985",2.578B
"Dec. 31, 1984",2.308B
