date,sales_est_0q
"March 16, 2020",21.63B
"March 2, 2020",22.02B
"Feb. 28, 2020",22.59B
"Feb. 21, 2020",22.59B
"Feb. 6, 2020",22.58B
"Jan. 31, 2020",21.98B
"Jan. 30, 2020",24.75B
"Jan. 16, 2020",26.97B
"Jan. 9, 2020",26.71B
"Dec. 31, 2019",26.39B
"Dec. 18, 2019",25.67B
"Dec. 17, 2019",25.77B
"Dec. 9, 2019",25.98B
"Nov. 22, 2019",26.19B
"Nov. 6, 2019",27.90B
"Oct. 28, 2019",27.36B
"Oct. 26, 2019",27.90B
"Oct. 25, 2019",28.58B
"Oct. 24, 2019",28.58B
"Oct. 15, 2019",27.11B
"Oct. 10, 2019",27.35B
"Sept. 30, 2019",25.93B
"Sept. 25, 2019",26.76B
"Sept. 17, 2019",27.70B
"Sept. 12, 2019",27.70B
"Sept. 10, 2019",27.70B
"Aug. 27, 2019",26.96B
"Aug. 15, 2019",27.22B
"July 26, 2019",27.90B
"July 25, 2019",29.94B
"July 23, 2019",28.09B
"July 15, 2019",28.09B
"July 11, 2019",28.60B
"July 1, 2019",28.60B
"June 30, 2019",25.45B
"June 26, 2019",25.92B
"June 21, 2019",25.89B
"June 20, 2019",25.90B
"June 13, 2019",26.13B
"June 6, 2019",26.13B
"May 23, 2019",26.32B
"May 21, 2019",26.42B
"May 14, 2019",25.62B
"April 29, 2019",26.06B
"April 26, 2019",25.49B
"April 25, 2019",26.80B
"April 17, 2019",29.36B
"April 16, 2019",28.14B
"April 15, 2019",27.60B
"April 11, 2019",27.02B
"April 10, 2019",26.19B
"April 8, 2019",26.16B
"April 4, 2019",26.99B
"March 31, 2019",24.38B
"March 28, 2019",23.83B
"March 19, 2019",23.56B
"Feb. 5, 2019",23.28B
"Feb. 1, 2019",23.63B
"Jan. 31, 2019",27.49B
"Jan. 29, 2019",28.30B
"Jan. 18, 2019",28.30B
"Jan. 17, 2019",28.26B
"Jan. 10, 2019",27.50B
"Jan. 7, 2019",28.54B
"Dec. 31, 2018",26.65B
"Dec. 18, 2018",29.52B
"Dec. 17, 2018",27.99B
"Dec. 10, 2018",28.09B
"Dec. 3, 2018",28.82B
"Nov. 30, 2018",27.92B
"Nov. 29, 2018",27.93B
"Oct. 29, 2018",27.40B
"Oct. 27, 2018",27.29B
"Oct. 26, 2018",27.45B
"Oct. 25, 2018",27.50B
"Oct. 19, 2018",28.15B
"Oct. 18, 2018",27.92B
"Oct. 16, 2018",28.60B
"Oct. 11, 2018",29.06B
"Oct. 5, 2018",28.14B
"Sept. 30, 2018",29.58B
"Sept. 25, 2018",28.30B
"Sept. 7, 2018",27.62B
"Aug. 14, 2018",28.26B
"Aug. 2, 2018",27.43B
"Aug. 1, 2018",27.47B
"July 27, 2018",28.60B
"July 26, 2018",25.77B
"July 24, 2018",29.42B
"July 19, 2018",29.42B
"July 18, 2018",29.42B
"July 17, 2018",29.50B
"July 12, 2018",29.66B
"June 30, 2018",26.56B
"June 28, 2018",28.33B
"June 21, 2018",28.36B
"June 14, 2018",28.90B
"June 4, 2018",27.47B
"May 18, 2018",27.48B
"May 16, 2018",27.54B
"May 10, 2018",26.49B
"April 27, 2018",25.67B
"April 26, 2018",25.17B
"April 24, 2018",28.57B
"April 23, 2018",28.29B
"April 19, 2018",28.09B
"April 16, 2018",27.14B
"March 31, 2018",23.02B
"March 19, 2018",22.17B
"March 14, 2018",21.93B
"March 13, 2018",21.97B
"Feb. 13, 2018",22.66B
"Feb. 7, 2018",24.03B
"Feb. 2, 2018",22.66B
"Feb. 1, 2018",23.47B
"Jan. 25, 2018",23.69B
"Jan. 24, 2018",23.72B
"Jan. 22, 2018",24.62B
"Jan. 19, 2018",24.62B
"Jan. 16, 2018",24.62B
"Jan. 12, 2018",24.66B
