date,springate_score
"Dec. 31, 2019",1.415
"Sept. 30, 2019",1.371
"June 30, 2019",1.449
"March 31, 2019",1.529
"Dec. 31, 2018",1.660
"Sept. 30, 2018",1.608
"June 30, 2018",1.624
"March 31, 2018",1.550
"Dec. 31, 2017",1.513
"Sept. 30, 2017",1.477
"June 30, 2017",1.393
"March 31, 2017",1.435
"Dec. 31, 2016",1.448
"Sept. 30, 2016",1.439
"June 30, 2016",1.607
"March 31, 2016",1.798
"Dec. 31, 2015",1.896
"Sept. 30, 2015",2.044
"June 30, 2015",2.034
"March 31, 2015",1.971
"Dec. 31, 2014",1.988
"Sept. 30, 2014",2.013
"June 30, 2014",1.929
"March 31, 2014",1.900
"Dec. 31, 2013",1.885
"Sept. 30, 2013",1.968
"June 30, 2013",2.099
"March 31, 2013",2.170
"Dec. 31, 2012",2.046
"Sept. 30, 2012",1.756
"June 30, 2012",1.858
"March 31, 2012",1.819
"Dec. 31, 2011",1.868
"Sept. 30, 2011",1.873
"June 30, 2011",1.609
"March 31, 2011",1.470
"Dec. 31, 2010",1.392
"Sept. 30, 2010",1.214
"June 30, 2010",1.047
"March 31, 2010",0.8169
"Dec. 31, 2009",0.8655
"Sept. 30, 2009",0.3642
"June 30, 2009",0.8741
"March 31, 2009",1.267
