date,total_long_term_debt
"Dec. 31, 2019",9.672B
"Sept. 30, 2019",9.572B
"June 30, 2019",9.49B
"March 31, 2019",10.12B
"Dec. 31, 2018",9.109B
"Sept. 30, 2018",9.076B
"June 30, 2018",9.059B
"March 31, 2018",8.957B
"Dec. 31, 2017",8.872B
"Sept. 30, 2017",8.485B
"June 30, 2017",8.487B
"March 31, 2017",8.489B
"Dec. 31, 2016",8.001B
"Sept. 30, 2016",8.952B
"June 30, 2016",7.51B
"March 31, 2016",7.335B
"Dec. 31, 2015",7.335B
"Sept. 30, 2015",7.381B
"June 30, 2015",7.349B
"March 31, 2015",7.424B
"Dec. 31, 2014",6.386B
"Sept. 30, 2014",6.383B
"June 30, 2014",6.385B
"March 31, 2014",6.564B
"Dec. 31, 2013",6.564B
"Sept. 30, 2013",6.564B
"June 30, 2013",6.564B
"March 31, 2013",6.869B
"Dec. 31, 2012",7.049B
"Sept. 30, 2012",585.00M
"June 30, 2012",582.00M
"March 31, 2012",1.143B
"Dec. 31, 2011",7.741B
"Sept. 30, 2011",867.00M
"June 30, 2011",7.623B
"March 31, 2011",312.00M
"Dec. 31, 2010",822.00M
"Sept. 30, 2010",523.00M
"June 30, 2010",523.00M
"March 31, 2010",635.00M
"Dec. 31, 2009",237.00M
"Sept. 30, 2009",213.00M
"June 30, 2009",137.00M
"March 31, 2009",312.00M
"Dec. 31, 2008",312.00M
"Sept. 30, 2008",6.475B
"June 30, 2008",6.475B
"March 31, 2008",6.474B
"Dec. 31, 2007",6.862B
"Sept. 30, 2007",6.914B
"June 30, 2007",6.921B
"March 31, 2007",4.946B
"Dec. 31, 2006",5.094B
"Sept. 30, 2006",5.053B
"June 30, 2006",5.143B
"March 31, 2006",5.092B
"Dec. 31, 2005",5.331B
"Sept. 30, 2005",6.378B
"June 30, 2005",3.843B
"March 31, 2005",4.011B
"Dec. 31, 2004",4.313B
"Sept. 30, 2004",4.577B
"June 30, 2004",4.562B
"March 31, 2004",4.875B
"Dec. 31, 2003",4.239B
"Sept. 30, 2003",4.366B
"June 30, 2003",4.475B
"March 31, 2003",4.160B
"Dec. 31, 2002",4.971B
"Sept. 30, 2002",4.692B
"June 30, 2002",4.657B
"March 31, 2002",5.245B
"Dec. 31, 2001",3.023B
"Sept. 30, 2001",1.042B
"June 30, 2001",1.042B
"March 31, 2001",1.042B
"Dec. 31, 2000",1.069B
"Sept. 30, 2000",1.186B
"June 30, 2000",1.358B
"March 31, 2000",771.66M
"Dec. 31, 1999",785.47M
"Sept. 30, 1999",857.80M
"June 30, 1999",947.10M
"March 31, 1999",909.40M
"Dec. 31, 1998",982.30M
"Sept. 30, 1998",804.70M
"June 30, 1998",535.00M
"March 31, 1998",573.30M
"Dec. 31, 1997",552.20M
"Sept. 30, 1997",498.50M
"June 30, 1997",906.50M
"March 31, 1997",992.10M
"Dec. 31, 1996",437.10M
"Sept. 30, 1996",1.014B
"June 30, 1996",967.40M
"March 31, 1996",1.037B
"Dec. 31, 1995",1.118B
"Sept. 30, 1995",1.065B
"June 30, 1995",1.064B
"March 31, 1995",1.021B
"Dec. 31, 1994",1.084B
"Sept. 30, 1994",1.017B
"June 30, 1994",972.60M
"March 31, 1994",453.60M
"Dec. 31, 1993",514.30M
"Sept. 30, 1993",514.90M
"June 30, 1993",536.90M
"March 31, 1993",524.10M
"Dec. 31, 1992",505.40M
"Sept. 30, 1992",489.70M
"June 30, 1992",456.30M
"March 31, 1992",350.90M
"Dec. 31, 1991",381.70M
"Sept. 30, 1991",341.80M
"June 30, 1991",342.50M
"March 31, 1991",342.60M
"Dec. 31, 1990",249.00M
"Sept. 30, 1990",143.40M
"June 30, 1990",212.80M
"March 31, 1990",224.90M
"Dec. 31, 1989",243.40M
"Sept. 30, 1989",0.00
"June 30, 1989",0.00
"March 31, 1989",0.00
"Dec. 31, 1988",198.90M
"Sept. 30, 1988",0.00
"June 30, 1988",0.00
"March 31, 1988",0.00
"Dec. 31, 1987",214.20M
"Sept. 30, 1987",0.00
"June 30, 1987",0.00
"March 31, 1987",0.00
"Dec. 31, 1986",906.70M
"Sept. 30, 1986",0.00
"June 30, 1986",0.00
"March 31, 1986",0.00
"Dec. 31, 1985",975.40M
"Sept. 30, 1985",0.00
"June 30, 1985",0.00
"March 31, 1985",0.00
"Dec. 31, 1984",1.042B
"Sept. 30, 1984",0.00
"June 30, 1984",0.00
"March 31, 1984",0.00
