Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03
Cash and Equivalents,248.00M,864.00M,353.00M,94.00M,147.00M,213.00M,332.00M,116.00M,83.00M,167.84M,61.38M,73.98M,85.00M,353.38M,76.71M,101.49M,84.94M,404.41M,135.60M,133.04M,79.61M,137.87M,99.54M,132.31M,107.14M,101.83M,58.82M,112.96M,82.32M,747.27M,63.53M,99.74M,60.68M,194.16M,101.60M,94.34M,108.44M,213.46M,65.99M,79.50M,115.65M,90.21M,380.25M,301.32M,249.20M,383.98M,70.87M,175.84M,51.12M,360.87M,38.83M,65.00M,37.46M,32.96M,161.21M,81.91M,72.20M,185.68M,54.47M,68.99M,23.36M,90.78M,118.81M,526.69M,568.28M,695.70M,429.50M,1.035B,484.70M,1.265B,495.61M,429.44M,277.36M,302.49M,346.62M,343.88M,216.49M,263.22M,120.47M,187.98M,139.73M,86.70M,98.20M,58.20M,42.40M,88.90M,40.10M,134.80M,54.80M,112.50M,53.10M,47.50M,51.10M,79.40M,39.10M,94.70M,28.80M,45.90M,58.40M,36.50M,41.10M,39.80M,31.80M,55.40M
Short Term Investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,65.57M,63.90M,56.98M,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash and Short Term Investments,248.00M,864.00M,353.00M,94.00M,147.00M,213.00M,332.00M,116.00M,83.00M,167.84M,61.38M,73.98M,85.00M,353.38M,76.71M,101.49M,84.94M,404.41M,135.60M,133.04M,79.61M,137.87M,99.54M,132.31M,107.14M,101.83M,58.82M,112.96M,82.32M,747.27M,63.53M,99.74M,60.68M,194.16M,101.60M,94.34M,108.44M,279.03M,129.89M,136.49M,115.65M,90.21M,380.25M,301.32M,249.20M,383.98M,70.87M,175.84M,51.12M,360.87M,38.83M,65.00M,37.46M,32.96M,161.21M,81.91M,72.20M,185.68M,54.47M,68.99M,23.36M,90.78M,118.81M,526.69M,568.28M,695.70M,429.50M,1.035B,484.70M,1.265B,495.61M,429.44M,277.36M,302.49M,346.62M,343.88M,216.49M,263.22M,120.47M,187.98M,139.73M,86.70M,98.20M,58.20M,42.40M,88.90M,40.10M,134.80M,54.80M,112.50M,53.10M,47.50M,51.10M,79.40M,39.10M,94.70M,28.80M,45.90M,58.40M,36.50M,41.10M,39.80M,31.80M,55.40M
Accounts Receivable,837.00M,821.00M,737.00M,974.00M,860.00M,856.00M,808.00M,868.00M,797.00M,807.62M,759.38M,781.25M,776.00M,754.25M,689.56M,729.39M,724.61M,741.23M,676.22M,826.80M,826.51M,760.21M,742.73M,885.10M,744.16M,786.87M,719.07M,789.21M,718.05M,704.58M,645.26M,718.14M,753.12M,752.12M,679.56M,765.42M,718.47M,703.96M,662.46M,748.06M,730.15M,635.56M,721.41M,786.60M,900.78M,823.39M,865.32M,963.50M,951.58M,750.13M,808.04M,920.92M,833.29M,743.42M,768.61M,941.92M,1.012B,864.54M,774.34M,780.56M,761.26M,631.98M,623.54M,665.50M,646.64M,710.52M,664.89M,1.250B,536.48M,1.049B,1.135B,1.306B,1.076B,1.071B,1.299B,1.336B,1.290B,1.031B,523.25M,418.96M,800.07M,399.20M,346.30M,326.20M,358.70M,337.20M,320.10M,341.20M,406.00M,362.60M,340.90M,368.60M,371.70M,326.30M,461.10M,351.20M,360.60M,300.00M,289.60M,290.30M,309.70M,283.10M,289.30M,317.50M
Other Receivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.97M,,64.85M,,63.64M,,,32.84M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Receivables,1.55B,1.444B,1.376B,1.636B,1.615B,1.506B,1.456B,1.473B,1.561B,1.433B,1.368B,1.337B,1.506B,1.322B,1.279B,1.255B,1.379B,1.287B,1.259B,1.371B,1.555B,1.335B,1.352B,1.461B,1.431B,1.363B,1.345B,1.376B,1.381B,1.226B,1.195B,1.210B,1.442B,1.305B,1.270B,1.316B,1.427B,1.266B,1.216B,1.334B,1.424B,1.170B,1.200B,1.306B,1.677B,1.318B,1.452B,1.557B,1.684B,1.245B,1.359B,1.442B,1.348B,1.149B,1.167B,1.338B,1.626B,1.356B,1.229B,1.200B,1.197B,994.28M,989.68M,966.20M,1.014B,1.027B,960.78M,1.572B,927.46M,1.409B,1.584B,1.723B,1.572B,1.559B,1.815B,1.865B,1.973B,1.501B,632.44M,546.04M,1.211B,509.50M,459.30M,428.80M,497.80M,437.00M,418.40M,440.70M,527.60M,451.60M,435.40M,473.50M,519.10M,407.10M,558.10M,474.50M,473.30M,300.00M,289.60M,290.30M,309.70M,283.10M,289.30M,317.50M
Other Inventory,274.00M,273.00M,211.00M,172.00M,277.00M,261.00M,199.00M,181.00M,299.00M,296.48M,220.62M,197.56M,292.00M,308.36M,222.73M,221.71M,317.89M,353.66M,276.70M,250.83M,353.08M,393.88M,267.06M,206.94M,351.23M,376.33M,272.26M,231.27M,321.84M,,,,415.53M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inventories,544.00M,544.00M,483.00M,445.00M,548.00M,528.00M,511.00M,492.00M,610.00M,616.68M,542.04M,519.08M,604.00M,614.91M,526.78M,520.05M,608.58M,644.96M,532.70M,505.21M,597.18M,634.26M,501.27M,436.24M,576.54M,604.63M,494.89M,447.71M,535.57M,562.72M,473.14M,474.36M,618.23M,608.01M,484.77M,442.20M,560.80M,591.72M,464.38M,452.42M,566.20M,554.93M,435.52M,450.81M,666.71M,727.33M,691.82M,425.13M,531.61M,531.37M,409.11M,387.72M,506.19M,541.78M,395.52M,382.43M,535.16M,221.68M,217.68M,223.37M,225.59M,447.09M,344.15M,326.66M,362.48M,391.31M,332.55M,551.52M,373.90M,670.15M,687.90M,636.97M,700.11M,647.04M,586.60M,488.27M,480.83M,575.81M,363.23M,320.75M,459.40M,233.00M,204.40M,157.80M,169.10M,173.90M,158.40M,154.70M,163.70M,176.70M,146.20M,145.00M,154.40M,165.40M,142.40M,129.60M,144.50M,153.20M,147.20M,150.90M,158.90M,159.10M,150.80M,151.50M
Prepaid Expenses,228.00M,232.00M,216.00M,266.00M,233.00M,228.00M,242.00M,251.00M,251.00M,198.91M,331.74M,322.20M,245.00M,230.00M,242.04M,334.97M,318.76M,259.81M,263.48M,273.73M,356.60M,270.53M,270.72M,295.48M,252.26M,236.76M,264.25M,246.08M,171.32M,174.72M,195.36M,192.75M,121.48M,191.85M,186.88M,184.79M,193.62M,296.10M,305.28M,289.28M,192.79M,311.03M,253.19M,238.37M,263.91M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restricted Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.328M,9.055M,95.29M,100.01M,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
