date,cash_investing_ttm
"Dec. 31, 2019",-4.343B
"Sept. 30, 2019",-4.409B
"June 30, 2019",-3.829B
"March 31, 2019",-3.966B
"Dec. 31, 2018",-3.986B
"Sept. 30, 2018",-3.763B
"June 30, 2018",-3.687B
"March 31, 2018",-3.42B
"Dec. 31, 2017",-3.296B
"Sept. 30, 2017",-3.294B
"June 30, 2017",-3.292B
"March 31, 2017",-3.315B
"Dec. 31, 2016",-3.261B
"Sept. 30, 2016",-3.690B
"June 30, 2016",-3.635B
"March 31, 2016",-3.579B
"Dec. 31, 2015",-3.623B
"Sept. 30, 2015",-3.022B
"June 30, 2015",-3.017B
"March 31, 2015",-3.055B
"Dec. 31, 2014",-3.117B
"Sept. 30, 2014",-3.137B
"June 30, 2014",-3.233B
"March 31, 2014",-3.301B
"Dec. 31, 2013",-3.213B
"Sept. 30, 2013",-3.034B
"June 30, 2013",-2.889B
"March 31, 2013",-2.647B
"Dec. 31, 2012",-2.333B
"Sept. 30, 2012",-2.196B
"June 30, 2012",-2.114B
"March 31, 2012",-2.022B
"Dec. 31, 2011",-2.248B
"Sept. 30, 2011",-2.947B
"June 30, 2011",-2.962B
"March 31, 2011",-2.971B
"Dec. 31, 2010",-2.807B
"Sept. 30, 2010",-1.962B
"June 30, 2010",-1.735B
"March 31, 2010",-1.722B
"Dec. 31, 2009",-1.735B
"Sept. 30, 2009",-1.866B
"June 30, 2009",-2.025B
"March 31, 2009",-2.122B
"Dec. 31, 2008",-2.157B
"Sept. 30, 2008",-2.154B
"June 30, 2008",-2.117B
"March 31, 2008",-2.053B
"Dec. 31, 2007",-2.023B
"Sept. 30, 2007",-1.893B
"June 30, 2007",-1.854B
"March 31, 2007",-1.773B
"Dec. 31, 2006",-1.550B
"Sept. 30, 2006",-1.468B
"June 30, 2006",-1.319B
"March 31, 2006",-1.253B
"Dec. 31, 2005",-1.226B
"Sept. 30, 2005",-1.272B
"June 30, 2005",-1.304B
"March 31, 2005",-1.240B
"Dec. 31, 2004",-1.231B
"Sept. 30, 2004",-1.162B
"June 30, 2004",-1.063B
"March 31, 2004",-1.057B
"Dec. 31, 2003",-926.10M
"Sept. 30, 2003",-1.000B
"June 30, 2003",-1.444B
"March 31, 2003",-2.114B
"Dec. 31, 2002",-2.711B
"Sept. 30, 2002",-2.847B
"June 30, 2002",-3.791B
"March 31, 2002",-4.136B
"Dec. 31, 2001",-5.168B
"Sept. 30, 2001",-5.163B
"June 30, 2001",-3.973B
"March 31, 2001",-3.144B
"Dec. 31, 2000",-3.347B
"Sept. 30, 2000",-4.268B
"June 30, 2000",-4.096B
"March 31, 2000",-4.747B
"Dec. 31, 1999",-2.953B
"Sept. 30, 1999",-1.664B
"June 30, 1999",-1.574B
"March 31, 1999",-619.83M
"Dec. 31, 1998",-607.00M
"Sept. 30, 1998",-680.80M
"June 30, 1998",-702.00M
"March 31, 1998",-955.40M
"Dec. 31, 1997",-948.50M
"Sept. 30, 1997",-953.20M
"June 30, 1997",-815.80M
"March 31, 1997",-567.30M
"Dec. 31, 1996",-648.00M
"Sept. 30, 1996",-531.30M
"June 30, 1996",-633.60M
"March 31, 1996",-576.10M
"Dec. 31, 1995",-495.10M
"Sept. 30, 1995",-559.20M
"June 30, 1995",-518.60M
"March 31, 1995",-522.20M
"Dec. 31, 1994",-559.40M
