date,cash_operations_ttm
"Dec. 31, 2019",3.263B
"Sept. 30, 2019",3.186B
"June 30, 2019",3.019B
"March 31, 2019",3.028B
"Dec. 31, 2018",3.122B
"Sept. 30, 2018",3.252B
"June 30, 2018",3.271B
"March 31, 2018",3.295B
"Dec. 31, 2017",3.126B
"Sept. 30, 2017",2.994B
"June 30, 2017",2.919B
"March 31, 2017",2.967B
"Dec. 31, 2016",3.052B
"Sept. 30, 2016",2.973B
"June 30, 2016",2.954B
"March 31, 2016",2.855B
"Dec. 31, 2015",3.038B
"Sept. 30, 2015",3.145B
"June 30, 2015",3.129B
"March 31, 2015",3.052B
"Dec. 31, 2014",2.659B
"Sept. 30, 2014",2.585B
"June 30, 2014",2.549B
"March 31, 2014",2.534B
"Dec. 31, 2013",2.584B
"Sept. 30, 2013",2.436B
"June 30, 2013",2.214B
"March 31, 2013",2.170B
"Dec. 31, 2012",2.005B
"Sept. 30, 2012",2.053B
"June 30, 2012",2.148B
"March 31, 2012",2.224B
"Dec. 31, 2011",2.406B
"Sept. 30, 2011",2.292B
"June 30, 2011",2.104B
"March 31, 2011",2.002B
"Dec. 31, 2010",1.894B
"Sept. 30, 2010",1.810B
"June 30, 2010",1.700B
"March 31, 2010",1.652B
"Dec. 31, 2009",1.913B
"Sept. 30, 2009",2.105B
"June 30, 2009",2.007B
"March 31, 2009",1.950B
"Dec. 31, 2008",1.688B
"Sept. 30, 2008",1.377B
"June 30, 2008",1.440B
"March 31, 2008",1.512B
"Dec. 31, 2007",1.553B
"Sept. 30, 2007",1.706B
"June 30, 2007",1.632B
"March 31, 2007",1.830B
"Dec. 31, 2006",1.937B
"Sept. 30, 2006",1.474B
"June 30, 2006",1.603B
"March 31, 2006",1.381B
"Dec. 31, 2005",1.163B
"Sept. 30, 2005",1.496B
"June 30, 2005",1.278B
"March 31, 2005",889.48M
"Dec. 31, 2004",801.16M
"Sept. 30, 2004",997.51M
"June 30, 2004",1.120B
"March 31, 2004",1.428B
"Dec. 31, 2003",1.382B
"Sept. 30, 2003",971.46M
"June 30, 2003",1.447B
"March 31, 2003",1.494B
"Dec. 31, 2002",1.474B
"Sept. 30, 2002",1.745B
"June 30, 2002",1.652B
"March 31, 2002",1.649B
"Dec. 31, 2001",1.584B
"Sept. 30, 2001",1.770B
"June 30, 2001",1.267B
"March 31, 2001",1.317B
"Dec. 31, 2000",1.408B
"Sept. 30, 2000",1.776B
"June 30, 2000",1.742B
"March 31, 2000",1.415B
"Dec. 31, 1999",1.325B
"Sept. 30, 1999",675.90M
"June 30, 1999",685.95M
"March 31, 1999",742.98M
"Dec. 31, 1998",702.10M
"Sept. 30, 1998",731.80M
"June 30, 1998",671.40M
"March 31, 1998",692.20M
"Dec. 31, 1997",689.80M
"Sept. 30, 1997",616.50M
"June 30, 1997",677.70M
"March 31, 1997",544.00M
"Dec. 31, 1996",544.50M
"Sept. 30, 1996",515.20M
"June 30, 1996",503.20M
"March 31, 1996",560.70M
"Dec. 31, 1995",573.80M
"Sept. 30, 1995",601.90M
"June 30, 1995",544.90M
"March 31, 1995",539.80M
"Dec. 31, 1994",500.60M
