date,forward_pe_ratio
"March 19, 2020",20.83
"March 18, 2020",22.04
"March 17, 2020",23.32
"March 16, 2020",20.96
"March 13, 2020",24.01
"March 12, 2020",22.01
"March 11, 2020",24.00
"March 10, 2020",24.60
"March 9, 2020",24.42
"March 6, 2020",25.19
"March 5, 2020",24.87
"March 4, 2020",24.85
"March 3, 2020",23.60
"March 2, 2020",23.66
"Feb. 28, 2020",22.38
"Feb. 27, 2020",23.29
"Feb. 26, 2020",24.55
"Feb. 25, 2020",24.72
"Feb. 24, 2020",25.27
"Feb. 21, 2020",25.44
"Feb. 20, 2020",25.38
"Feb. 19, 2020",25.42
"Feb. 18, 2020",25.56
"Feb. 14, 2020",25.23
"Feb. 13, 2020",25.08
"Feb. 12, 2020",24.79
"Feb. 11, 2020",24.77
"Feb. 10, 2020",24.80
"Feb. 7, 2020",24.68
"Feb. 6, 2020",24.89
"Feb. 5, 2020",24.89
"Feb. 4, 2020",24.89
"Feb. 3, 2020",24.94
"Jan. 31, 2020",24.85
"Jan. 30, 2020",24.70
"Jan. 29, 2020",24.21
"Jan. 28, 2020",24.14
"Jan. 27, 2020",24.03
"Jan. 24, 2020",24.12
"Jan. 23, 2020",24.03
"Jan. 22, 2020",23.78
"Jan. 21, 2020",23.70
"Jan. 17, 2020",23.48
"Jan. 16, 2020",23.36
"Jan. 15, 2020",23.15
"Jan. 14, 2020",22.80
"Jan. 13, 2020",22.76
"Jan. 10, 2020",22.50
"Jan. 9, 2020",22.46
"Jan. 8, 2020",22.41
"Jan. 7, 2020",22.43
"Jan. 6, 2020",22.48
"Jan. 3, 2020",22.51
"Jan. 2, 2020",22.40
"Dec. 31, 2019",22.80
"Dec. 30, 2019",24.15
"Dec. 27, 2019",24.09
"Dec. 26, 2019",23.96
"Dec. 24, 2019",23.99
"Dec. 23, 2019",24.05
"Dec. 20, 2019",24.48
"Dec. 19, 2019",24.37
"Dec. 18, 2019",24.34
"Dec. 17, 2019",24.22
"Dec. 16, 2019",24.05
"Dec. 13, 2019",23.76
"Dec. 12, 2019",23.42
"Dec. 11, 2019",23.72
"Dec. 10, 2019",23.58
"Dec. 9, 2019",23.56
"Dec. 6, 2019",23.66
"Dec. 5, 2019",23.71
"Dec. 4, 2019",23.66
"Dec. 3, 2019",23.45
"Dec. 2, 2019",23.35
"Nov. 29, 2019",23.47
"Nov. 27, 2019",23.49
"Nov. 26, 2019",23.35
"Nov. 25, 2019",23.20
"Nov. 22, 2019",23.38
"Nov. 21, 2019",23.55
"Nov. 20, 2019",23.54
"Nov. 19, 2019",23.40
"Nov. 18, 2019",23.23
"Nov. 15, 2019",23.23
"Nov. 14, 2019",23.39
"Nov. 13, 2019",23.52
"Nov. 12, 2019",22.96
"Nov. 11, 2019",22.92
"Nov. 8, 2019",22.93
"Nov. 7, 2019",23.02
"Nov. 6, 2019",23.38
"Nov. 5, 2019",23.10
"Nov. 4, 2019",23.53
"Nov. 1, 2019",24.08
"Oct. 31, 2019",24.24
"Oct. 30, 2019",24.16
"Oct. 29, 2019",23.88
"Oct. 28, 2019",23.83
"Oct. 25, 2019",24.29
"Oct. 24, 2019",24.63
"Oct. 23, 2019",24.59
"Oct. 22, 2019",24.50
"Oct. 21, 2019",24.53
"Oct. 18, 2019",24.43
"Oct. 17, 2019",24.30
"Oct. 16, 2019",24.23
"Oct. 15, 2019",24.10
"Oct. 14, 2019",24.15
"Oct. 11, 2019",24.17
"Oct. 10, 2019",24.40
"Oct. 9, 2019",24.39
"Oct. 8, 2019",24.27
"Oct. 7, 2019",24.53
"Oct. 4, 2019",24.66
"Oct. 3, 2019",24.22
"Oct. 2, 2019",24.17
"Oct. 1, 2019",24.79
"Sept. 30, 2019",24.76
"Sept. 27, 2019",24.94
"Sept. 26, 2019",25.02
"Sept. 25, 2019",24.82
"Sept. 24, 2019",24.97
"Sept. 23, 2019",24.65
"Sept. 20, 2019",24.66
"Sept. 19, 2019",24.52
"Sept. 18, 2019",24.43
"Sept. 17, 2019",24.32
"Sept. 16, 2019",23.98
"Sept. 13, 2019",23.89
"Sept. 12, 2019",24.07
"Sept. 11, 2019",24.14
"Sept. 10, 2019",24.04
"Sept. 9, 2019",24.19
"Sept. 6, 2019",24.73
"Sept. 5, 2019",24.86
"Sept. 4, 2019",25.12
"Sept. 3, 2019",25.01
"Aug. 30, 2019",24.51
"Aug. 29, 2019",24.65
"Aug. 28, 2019",24.42
"Aug. 27, 2019",24.42
"Aug. 26, 2019",24.25
"Aug. 23, 2019",23.83
"Aug. 22, 2019",24.15
"Aug. 21, 2019",24.04
"Aug. 20, 2019",23.81
"Aug. 19, 2019",23.72
"Aug. 16, 2019",23.58
"Aug. 15, 2019",23.48
"Aug. 14, 2019",23.19
"Aug. 13, 2019",23.42
"Aug. 12, 2019",23.48
"Aug. 9, 2019",23.57
"Aug. 8, 2019",23.52
"Aug. 7, 2019",23.20
"Aug. 6, 2019",23.06
"Aug. 5, 2019",22.76
"Aug. 2, 2019",22.83
"Aug. 1, 2019",23.19
"July 31, 2019",22.75
"July 30, 2019",23.12
"July 29, 2019",23.27
"July 26, 2019",23.09
"July 25, 2019",22.97
"July 24, 2019",23.07
"July 23, 2019",23.05
"July 22, 2019",23.17
"July 19, 2019",23.19
"July 18, 2019",23.63
"July 17, 2019",23.38
"July 16, 2019",23.28
"July 15, 2019",23.35
"July 12, 2019",23.20
"July 11, 2019",23.35
"July 10, 2019",23.34
"July 9, 2019",23.24
"July 8, 2019",23.22
"July 5, 2019",23.16
"July 3, 2019",23.17
"July 2, 2019",22.95
"July 1, 2019",22.68
"June 30, 2019",
"June 28, 2019",22.70
"June 27, 2019",22.62
"June 26, 2019",22.69
"June 25, 2019",23.27
"June 24, 2019",23.38
"June 21, 2019",23.48
"June 20, 2019",23.40
"June 19, 2019",23.21
"June 18, 2019",22.93
"June 17, 2019",22.85
"June 14, 2019",22.91
"June 13, 2019",22.69
"June 12, 2019",22.71
"June 11, 2019",22.40
"June 10, 2019",22.61
"June 7, 2019",22.68
"June 6, 2019",22.82
"June 5, 2019",22.64
"June 4, 2019",22.05
"June 3, 2019",22.11
"May 31, 2019",21.88
"May 30, 2019",21.89
"May 29, 2019",21.83
"May 28, 2019",22.14
"May 24, 2019",22.51
"May 23, 2019",22.55
"May 22, 2019",22.33
"May 21, 2019",22.16
"May 20, 2019",22.28
"May 17, 2019",22.21
"May 16, 2019",22.03
"May 15, 2019",21.84
"May 14, 2019",21.87
"May 13, 2019",22.05
"May 10, 2019",21.83
"May 9, 2019",21.39
"May 8, 2019",21.32
"May 7, 2019",21.59
"May 6, 2019",21.56
"May 3, 2019",21.59
"May 2, 2019",21.34
"May 1, 2019",21.33
"April 30, 2019",21.56
"April 29, 2019",21.16
"April 26, 2019",21.34
"April 25, 2019",21.37
"April 24, 2019",21.14
"April 23, 2019",21.06
"April 22, 2019",20.90
"April 18, 2019",20.87
"April 17, 2019",20.90
"April 16, 2019",20.94
"April 15, 2019",21.29
"April 12, 2019",21.32
"April 11, 2019",21.24
"April 10, 2019",21.12
"April 9, 2019",21.28
"April 8, 2019",21.11
"April 5, 2019",21.26
"April 4, 2019",21.10
"April 3, 2019",21.13
"April 2, 2019",21.21
"April 1, 2019",21.21
"March 31, 2019",
"March 29, 2019",21.45
"March 28, 2019",21.43
"March 27, 2019",21.72
"March 26, 2019",21.89
"March 25, 2019",21.78
"March 22, 2019",21.78
"March 21, 2019",21.55
"March 20, 2019",21.31
"March 19, 2019",21.24
"March 18, 2019",21.42
"March 15, 2019",21.56
"March 14, 2019",21.43
"March 13, 2019",21.62
"March 12, 2019",21.55
"March 11, 2019",21.39
"March 8, 2019",21.24
"March 7, 2019",21.19
"March 6, 2019",21.02
"March 5, 2019",20.95
"March 4, 2019",21.02
"March 1, 2019",20.96
"Feb. 28, 2019",20.94
"Feb. 27, 2019",20.76
"Feb. 26, 2019",20.79
"Feb. 25, 2019",20.88
"Feb. 22, 2019",21.09
"Feb. 21, 2019",20.90
"Feb. 20, 2019",20.65
"Feb. 19, 2019",20.53
"Feb. 15, 2019",20.40
"Feb. 14, 2019",20.33
"Feb. 13, 2019",20.33
"Feb. 12, 2019",20.41
"Feb. 11, 2019",20.44
"Feb. 8, 2019",20.41
"Feb. 7, 2019",20.27
"Feb. 6, 2019",20.01
"Feb. 5, 2019",20.00
"Feb. 4, 2019",19.99
