date,liabilities
"Dec. 31, 2019",37.21B
"Sept. 30, 2019",37.10B
"June 30, 2019",36.22B
"March 31, 2019",35.52B
"Dec. 31, 2018",33.76B
"Sept. 30, 2018",32.67B
"June 30, 2018",32.59B
"March 31, 2018",31.60B
"Dec. 31, 2017",31.58B
"Sept. 30, 2017",31.03B
"June 30, 2017",30.74B
"March 31, 2017",30.22B
"Dec. 31, 2016",30.13B
"Sept. 30, 2016",29.34B
"June 30, 2016",28.79B
"March 31, 2016",28.40B
"Dec. 31, 2015",28.22B
"Sept. 30, 2015",27.48B
"June 30, 2015",27.00B
"March 31, 2015",26.66B
"Dec. 31, 2014",26.74B
"Sept. 30, 2014",25.21B
"June 30, 2014",24.80B
"March 31, 2014",24.45B
"Dec. 31, 2013",24.34B
"Sept. 30, 2013",23.58B
"June 30, 2013",22.97B
"March 31, 2013",22.43B
"Dec. 31, 2012",22.27B
"Sept. 30, 2012",22.21B
"June 30, 2012",21.25B
"March 31, 2012",20.92B
"Dec. 31, 2011",21.02B
"Sept. 30, 2011",20.00B
"June 30, 2011",19.66B
"March 31, 2011",19.18B
"Dec. 31, 2010",19.20B
"Sept. 30, 2010",18.59B
"June 30, 2010",18.07B
"March 31, 2010",17.87B
"Dec. 31, 2009",17.92B
"Sept. 30, 2009",17.79B
"June 30, 2009",17.81B
"March 31, 2009",17.47B
"Dec. 31, 2008",17.89B
"Sept. 30, 2008",17.55B
"June 30, 2008",17.24B
"March 31, 2008",16.90B
"Dec. 31, 2007",16.78B
"Sept. 30, 2007",16.56B
"June 30, 2007",16.19B
"March 31, 2007",16.01B
"Dec. 31, 2006",16.04B
"Sept. 30, 2006",15.43B
"June 30, 2006",15.60B
"March 31, 2006",15.51B
"Dec. 31, 2005",16.00B
"Sept. 30, 2005",16.05B
"June 30, 2005",15.12B
"March 31, 2005",14.93B
"Dec. 31, 2004",14.99B
"Sept. 30, 2004",14.74B
"June 30, 2004",14.37B
"March 31, 2004",14.49B
"Dec. 31, 2003",14.93B
"Sept. 30, 2003",13.44B
"June 30, 2003",12.60B
"March 31, 2003",22.87B
"Dec. 31, 2002",24.67B
"Sept. 30, 2002",23.01B
"June 30, 2002",22.85B
"March 31, 2002",21.88B
"Dec. 31, 2001",21.78B
"Sept. 30, 2001",20.78B
"June 30, 2001",19.68B
"March 31, 2001",17.11B
"Dec. 31, 2000",15.82B
"Sept. 30, 2000",15.21B
"June 30, 2000",8.803B
"March 31, 2000",8.954B
"Dec. 31, 1999",12.66B
"Sept. 30, 1999",6.032B
"June 30, 1999",5.946B
"March 31, 1999",4.778B
"Dec. 31, 1998",4.810B
"Sept. 30, 1998",4.731B
"June 30, 1998",4.660B
"March 31, 1998",4.697B
"Dec. 31, 1997",4.572B
"Sept. 30, 1997",4.486B
"June 30, 1997",4.564B
"March 31, 1997",4.251B
"Dec. 31, 1996",4.260B
"Sept. 30, 1996",4.049B
"June 30, 1996",4.087B
"March 31, 1996",4.074B
"Dec. 31, 1995",3.961B
"Sept. 30, 1995",3.830B
"June 30, 1995",3.820B
"March 31, 1995",3.754B
"Dec. 31, 1994",3.812B
"Sept. 30, 1994",3.65B
"June 30, 1994",3.634B
"March 31, 1994",3.579B
