date,ncavps
"Dec. 31, 2019",-65.00
"Sept. 30, 2019",-63.88
"June 30, 2019",-64.64
"March 31, 2019",-63.37
"Dec. 31, 2018",-59.67
"Sept. 30, 2018",-57.80
"June 30, 2018",-58.04
"March 31, 2018",-56.65
"Dec. 31, 2017",-56.33
"Sept. 30, 2017",-55.40
"June 30, 2017",-55.11
"March 31, 2017",-54.32
"Dec. 31, 2016",-53.81
"Sept. 30, 2016",-51.70
"June 30, 2016",-51.35
"March 31, 2016",-50.53
"Dec. 31, 2015",-50.14
"Sept. 30, 2015",-47.59
"June 30, 2015",-47.24
"March 31, 2015",-46.59
"Dec. 31, 2014",-46.23
"Sept. 30, 2014",-43.55
"June 30, 2014",-42.91
"March 31, 2014",-42.55
"Dec. 31, 2013",-42.42
"Sept. 30, 2013",-41.11
"June 30, 2013",-40.51
"March 31, 2013",-39.87
"Dec. 31, 2012",-40.25
"Sept. 30, 2012",-38.63
"June 30, 2012",-38.35
"March 31, 2012",-37.73
"Dec. 31, 2011",-37.07
"Sept. 30, 2011",-35.34
"June 30, 2011",-35.47
"March 31, 2011",-34.42
"Dec. 31, 2010",-34.14
"Sept. 30, 2010",-34.91
"June 30, 2010",-34.38
"March 31, 2010",-33.82
"Dec. 31, 2009",-32.66
"Sept. 30, 2009",-33.74
"June 30, 2009",-33.46
"March 31, 2009",-33.07
"Dec. 31, 2008",-33.12
"Sept. 30, 2008",-32.36
"June 30, 2008",-33.77
"March 31, 2008",-33.00
"Dec. 31, 2007",-32.58
"Sept. 30, 2007",-33.11
"June 30, 2007",-33.00
"March 31, 2007",-33.32
"Dec. 31, 2006",-32.91
"Sept. 30, 2006",-31.69
"June 30, 2006",-32.33
"March 31, 2006",-32.03
"Dec. 31, 2005",-31.88
"Sept. 30, 2005",-31.91
"June 30, 2005",-31.41
"March 31, 2005",-31.09
"Dec. 31, 2004",-31.02
"Sept. 30, 2004",-31.42
"June 30, 2004",-30.92
"March 31, 2004",-30.33
"Dec. 31, 2003",-29.58
"Sept. 30, 2003",-25.88
"June 30, 2003",-26.36
"March 31, 2003",-47.15
"Dec. 31, 2002",-52.49
"Sept. 30, 2002",-47.20
"June 30, 2002",-48.57
"March 31, 2002",-49.58
"Dec. 31, 2001",-53.46
"Sept. 30, 2001",-51.12
"June 30, 2001",-47.25
"March 31, 2001",-39.51
"Dec. 31, 2000",-37.25
"Sept. 30, 2000",-36.83
"June 30, 2000",-47.79
"March 31, 2000",-49.79
"Dec. 31, 1999",-68.67
"Sept. 30, 1999",-33.30
"June 30, 1999",-32.90
"March 31, 1999",-26.66
"Dec. 31, 1998",-26.56
"Sept. 30, 1998",-26.15
"June 30, 1998",-26.42
"March 31, 1998",-26.16
"Dec. 31, 1997",-25.26
"Sept. 30, 1997",-24.92
"June 30, 1997",-28.04
"March 31, 1997",-25.53
"Dec. 31, 1996",-25.07
"Sept. 30, 1996",-24.12
"June 30, 1996",-23.88
"March 31, 1996",-23.63
"Dec. 31, 1995",-23.88
"Sept. 30, 1995",-23.60
"June 30, 1995",-23.56
"March 31, 1995",-23.36
"Dec. 31, 1994",-23.51
"Sept. 30, 1994",-22.81
"June 30, 1994",-22.62
"March 31, 1994",-21.93
