date,payout_ratio
"Dec. 31, 2019",57.65%
"Sept. 30, 2019",59.74%
"June 30, 2019",60.25%
"March 31, 2019",57.74%
"Dec. 31, 2018",57.89%
"Sept. 30, 2018",58.82%
"June 30, 2018",58.61%
"March 31, 2018",60.30%
"Dec. 31, 2017",62.86%
"Sept. 30, 2017",60.01%
"June 30, 2017",60.90%
"March 31, 2017",61.71%
"Dec. 31, 2016",60.64%
"Sept. 30, 2016",59.99%
"June 30, 2016",60.02%
"March 31, 2016",58.27%
"Dec. 31, 2015",61.69%
"Sept. 30, 2015",61.33%
"June 30, 2015",64.02%
"March 31, 2015",62.86%
"Dec. 31, 2014",54.97%
"Sept. 30, 2014",56.36%
"June 30, 2014",55.40%
"March 31, 2014",53.62%
"Dec. 31, 2013",54.21%
"Sept. 30, 2013",53.96%
"June 30, 2013",51.32%
"March 31, 2013",51.36%
"Dec. 31, 2012",53.77%
"Sept. 30, 2012",53.66%
"June 30, 2012",56.94%
"March 31, 2012",58.22%
"Dec. 31, 2011",56.44%
"Sept. 30, 2011",55.09%
"June 30, 2011",55.65%
"March 31, 2011",55.76%
"Dec. 31, 2010",57.17%
"Sept. 30, 2010",54.28%
"June 30, 2010",60.79%
"March 31, 2010",62.19%
"Dec. 31, 2009",60.94%
"Sept. 30, 2009",57.46%
"June 30, 2009",56.99%
"March 31, 2009",57.67%
"Dec. 31, 2008",59.22%
"Sept. 30, 2008",65.56%
"June 30, 2008",61.68%
"March 31, 2008",64.22%
"Dec. 31, 2007",66.58%
"Sept. 30, 2007",69.44%
"June 30, 2007",71.92%
"March 31, 2007",67.14%
"Dec. 31, 2006",62.74%
"Sept. 30, 2006",60.55%
"June 30, 2006",62.97%
"March 31, 2006",63.88%
"Dec. 31, 2005",66.88%
"Sept. 30, 2005",71.78%
"June 30, 2005",103.6%
"March 31, 2005",100.4%
"Dec. 31, 2004",90.02%
"Sept. 30, 2004",40.97%
"June 30, 2004",30.32%
"March 31, 2004",47.98%
"Dec. 31, 2003",48.73%
"Sept. 30, 2003",-507.0%
"June 30, 2003",-14.79%
"March 31, 2003",-20.23%
"Dec. 31, 2002",-22.38%
"Sept. 30, 2002",-29.49%
"June 30, 2002",87.27%
"March 31, 2002",75.58%
"Dec. 31, 2001",65.27%
"Sept. 30, 2001",58.84%
"June 30, 2001",82.73%
"March 31, 2001",97.19%
"Dec. 31, 2000",117.4%
"Sept. 30, 2000",109.4%
"June 30, 2000",90.38%
"March 31, 2000",87.32%
"Dec. 31, 1999",86.25%
"Sept. 30, 1999",36.97%
"June 30, 1999",37.24%
"March 31, 1999",35.32%
"Dec. 31, 1998",35.19%
"Sept. 30, 1998",85.07%
"June 30, 1998",88.35%
"March 31, 1998",93.05%
"Dec. 31, 1997",87.49%
"Sept. 30, 1997",80.17%
"June 30, 1997",81.01%
"March 31, 1997",73.31%
"Dec. 31, 1996",72.20%
"Sept. 30, 1996",77.50%
"June 30, 1996",75.43%
"March 31, 1996",70.31%
"Dec. 31, 1995",69.40%
"Sept. 30, 1995",71.54%
"June 30, 1995",74.65%
"March 31, 1995",76.25%
"Dec. 31, 1994",76.63%
"Sept. 30, 1994",54.41%
"June 30, 1994",38.46%
"March 31, 1994",20.71%
"Dec. 31, 1993",0.00%
"Sept. 30, 1993",0.00%
"June 30, 1993",0.00%
"March 31, 1993",0.00%
"Dec. 31, 1992",0.00%
"Sept. 30, 1992",0.00%
"June 30, 1992",0.00%
"March 31, 1992",0.00%
"Dec. 31, 1991",0.00%
"Sept. 30, 1991",0.00%
"June 30, 1991",0.00%
"March 31, 1991",0.00%
"Dec. 31, 1990",0.00%
"Sept. 30, 1990",0.00%
"June 30, 1990",0.00%
"March 31, 1990",0.00%
"Dec. 31, 1989",0.00%
"Sept. 30, 1989",0.00%
"June 30, 1989",0.00%
"March 31, 1989",0.00%
"Dec. 31, 1988",0.00%
"Sept. 30, 1988",0.00%
"June 30, 1988",0.00%
"March 31, 1988",0.00%
"Dec. 31, 1987",0.00%
"Sept. 30, 1987",0.00%
"June 30, 1987",0.00%
"March 31, 1987",0.00%
"Dec. 31, 1986",0.00%
"Sept. 30, 1986",0.00%
"June 30, 1986",0.00%
"March 31, 1986",0.00%
"Dec. 31, 1985",0.00%
"Sept. 30, 1985",0.00%
"June 30, 1985",0.00%
"March 31, 1985",0.00%
"Dec. 31, 1984",0.00%
