date,price_to_book_value
"March 19, 2020",2.298
"March 18, 2020",2.432
"March 17, 2020",2.573
"March 16, 2020",2.313
"March 13, 2020",2.649
"March 12, 2020",2.429
"March 11, 2020",2.648
"March 10, 2020",2.714
"March 9, 2020",2.694
"March 6, 2020",2.780
"March 5, 2020",2.744
"March 4, 2020",2.742
"March 3, 2020",2.604
"March 2, 2020",2.610
"Feb. 28, 2020",2.470
"Feb. 27, 2020",2.57
"Feb. 26, 2020",2.709
"Feb. 25, 2020",2.728
"Feb. 24, 2020",2.789
"Feb. 21, 2020",2.807
"Feb. 20, 2020",2.801
"Feb. 19, 2020",2.805
"Feb. 18, 2020",2.820
"Feb. 14, 2020",2.784
"Feb. 13, 2020",2.767
"Feb. 12, 2020",2.735
"Feb. 11, 2020",2.732
"Feb. 10, 2020",2.736
"Feb. 7, 2020",2.722
"Feb. 6, 2020",2.746
"Feb. 5, 2020",2.746
"Feb. 4, 2020",2.746
"Feb. 3, 2020",2.752
"Jan. 31, 2020",2.741
"Jan. 30, 2020",2.724
"Jan. 29, 2020",2.671
"Jan. 28, 2020",2.663
"Jan. 27, 2020",2.651
"Jan. 24, 2020",2.661
"Jan. 23, 2020",2.651
"Jan. 22, 2020",2.623
"Jan. 21, 2020",2.615
"Jan. 17, 2020",2.59
"Jan. 16, 2020",2.576
"Jan. 15, 2020",2.554
"Jan. 14, 2020",2.515
"Jan. 13, 2020",2.511
"Jan. 10, 2020",2.482
"Jan. 9, 2020",2.478
"Jan. 8, 2020",2.472
"Jan. 7, 2020",2.475
"Jan. 6, 2020",2.480
"Jan. 3, 2020",2.483
"Jan. 2, 2020",2.472
"Dec. 31, 2019",2.516
"Dec. 30, 2019",2.526
"Dec. 27, 2019",2.519
"Dec. 26, 2019",2.506
"Dec. 24, 2019",2.508
"Dec. 23, 2019",2.515
"Dec. 20, 2019",2.560
"Dec. 19, 2019",2.548
"Dec. 18, 2019",2.546
"Dec. 17, 2019",2.532
"Dec. 16, 2019",2.515
"Dec. 13, 2019",2.484
"Dec. 12, 2019",2.449
"Dec. 11, 2019",2.480
"Dec. 10, 2019",2.466
"Dec. 9, 2019",2.463
