date,springate_score
"Dec. 31, 2019",0.6177
"Sept. 30, 2019",0.6112
"June 30, 2019",0.5995
"March 31, 2019",0.6435
"Dec. 31, 2018",0.6511
"Sept. 30, 2018",0.7128
"June 30, 2018",0.741
"March 31, 2018",0.7498
"Dec. 31, 2017",0.7827
"Sept. 30, 2017",0.8284
"June 30, 2017",0.8164
"March 31, 2017",0.824
"Dec. 31, 2016",0.8309
"Sept. 30, 2016",0.8296
"June 30, 2016",0.8049
"March 31, 2016",0.8033
"Dec. 31, 2015",0.7219
"Sept. 30, 2015",0.7729
"June 30, 2015",0.7253
"March 31, 2015",0.7213
"Dec. 31, 2014",0.7725
"Sept. 30, 2014",0.8054
"June 30, 2014",0.8441
"March 31, 2014",0.8557
"Dec. 31, 2013",0.8604
"Sept. 30, 2013",0.9006
"June 30, 2013",0.8817
"March 31, 2013",0.8541
"Dec. 31, 2012",0.7868
"Sept. 30, 2012",0.8213
"June 30, 2012",0.774
"March 31, 2012",0.8174
"Dec. 31, 2011",0.9104
"Sept. 30, 2011",0.9908
"June 30, 2011",0.9789
"March 31, 2011",0.9658
"Dec. 31, 2010",0.9401
"Sept. 30, 2010",0.9949
"June 30, 2010",0.9074
"March 31, 2010",0.8605
"Dec. 31, 2009",0.8502
"Sept. 30, 2009",0.8604
"June 30, 2009",0.8382
"March 31, 2009",0.7875
"Dec. 31, 2008",0.7262
"Sept. 30, 2008",0.6826
