Cash Flow - Operations (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03
Net Income,5.73B,3.247B,3.391B,2.406B,6.206B,6.446B,3.986B,4.783B,8.409B,4.085B,3.264B,4.09B,2.024B,2.889B,1.681B,1.781B,2.83B,4.384B,4.262B,5.075B,6.782B,8.346B,9.117B,9.37B,8.643B,8.069B,6.975B,9.761B,10.30B,9.926B,17.65B,9.799B,9.724B,10.67B,10.90B,10.91B,9.516B,7.561B,7.746B,6.575B,6.139B,4.871B,3.946B,4.702B,8.424B,15.37B,11.90B,11.17B,12.66B,9.41B,10.26B,9.28B,10.25B,10.49B,10.36B,8.40B,10.71B,9.92B,7.64B,7.86B,8.42B,5.68B,5.79B,5.44B,6.65B,3.65B,4.17B,7.04B,4.09B,2.64B,2.64B,2.09B,3.249B,3.18B,4.46B,5.00B,7.047B,4.06B,4.00B,3.025B,2.284B,2.188B,1.954B,1.484B,3.234B,1.40B,1.62B,1.89B,5.772B,1.82B,1.965B,2.175B,2.495B,1.56B,1.57B,1.885B,1.68B,1.50B,1.63B,1.66B,1.90B,1.155B,885.00M,1.16B,1.50B,1.36B,1.235B,1.185B,1.37B,1.135B,955.00M,1.35B,1.12B,1.115B,1.125B,2.24B,1.555B,1.075B,1.10B,1.28B
Operating Gains Losses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.797B,-584.00M,-11.11B,,-1.302B,-669.00M,-600.00M,,,,,,,,,,,,,,-4.816B,845.00M,273.00M,221.00M,,,,,,,,,,,,,-933.00M,0.00,-550.00M,,,,,,,,,,-4.502B,3.277B,-2.317B,455.00M,703.00M,1.079B,-1.079B,,342.00M,-16.00M,16.00M,-70.00M,-739.00M,434.00M,223.00M,1.101B,343.00M,-198.00M,472.00M,292.00M,-249.00M,987.00M,310.00M,74.00M,-936.00M,589.00M,-144.00M,59.00M,-5.00M,-299.00M,340.00M,-35.00M,1.487B,257.00M,-62.00M,-128.00M,-395.00M,215.00M,396.00M,185.00M,1.063B,178.00M,-595.00M,127.00M
Total Depreciation and Amortization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.095B,3.159B,2.994B,2.942B,3.282B,2.73B,2.76B,2.644B,2.671B,2.513B,2.516B,2.553B,2.613B,2.431B,2.35B,2.373B,2.493B,2.203B,2.169B,2.182B,2.075B,2.195B,2.02B,2.02B,2.14B,1.957B,1.871B,1.976B,2.033B,1.901B,1.939B,2.128B,2.153B,1.991B,1.989B,2.171B,4.375B,1.29B,1.346B,1.344B,4.16B,1.361B,1.342B,1.365B,1.344B,1.307B,1.306B,1.372B,1.382B,1.34B,1.328B,1.336B,1.306B,1.187B,1.233B,1.289B,1.244B,1.21B,1.236B,1.194B,1.484B,1.035B,1.223B,1.302B,1.237B,1.194B,1.188B,1.205B,1.751B,1.185B,1.323B,1.286B
"Total Depreciation, Amortization, Depletion",4.923B,4.873B,4.631B,4.571B,5.028B,4.658B,4.589B,4.47B,5.842B,4.88B,4.652B,4.519B,8.117B,4.605B,4.821B,4.765B,4.755B,4.542B,4.451B,4.30B,4.458B,4.362B,4.285B,4.192B,4.38B,4.287B,4.405B,4.11B,4.11B,4.037B,3.899B,3.842B,4.075B,3.866B,3.881B,3.761B,4.27B,3.844B,3.366B,3.28B,3.193B,2.927B,3.004B,2.793B,3.177B,3.008B,3.09B,3.104B,3.155B,3.159B,2.994B,2.942B,3.282B,2.73B,2.76B,2.644B,2.671B,2.513B,2.516B,2.553B,2.613B,2.431B,2.35B,2.373B,2.493B,2.203B,2.169B,2.182B,2.075B,2.195B,2.02B,2.02B,2.14B,1.957B,1.871B,1.976B,2.033B,1.901B,1.939B,2.128B,2.153B,1.991B,1.989B,2.171B,4.375B,1.29B,1.346B,1.344B,4.16B,1.361B,1.342B,1.365B,1.344B,1.307B,1.306B,1.372B,1.382B,1.34B,1.328B,1.336B,1.306B,1.187B,1.233B,1.289B,1.244B,1.21B,1.236B,1.194B,1.484B,1.035B,1.223B,1.302B,1.237B,1.194B,1.188B,1.205B,1.751B,1.185B,1.323B,1.286B
Other Noncash Items,3.859B,-591.00M,-832.00M,-896.00M,1.439B,-953.00M,538.00M,-1.085B,1.517B,-1.111B,52.00M,-1.229B,3.256B,-1.478B,-657.00M,-1.335B,-153.00M,-248.00M,1.103B,-868.00M,688.00M,151.00M,-751.00M,-911.00M,575.00M,789.00M,1.586B,-2.60B,-684.00M,352.00M,2.157B,-146.00M,1.429B,-95.00M,519.00M,-705.00M,418.00M,18.00M,-744.00M,-10.00M,2.172B,889.00M,-2.629B,283.00M,3.692B,-1.115B,-1.06B,-659.00M,,,,,22.00M,-1.557B,431.00M,330.00M,-718.00M,-319.00M,-167.00M,-994.00M,90.00M,210.00M,-138.00M,-48.00M,1.483B,-2.186B,1.018B,-2.504B,1.233B,192.00M,240.00M,-358.00M,-430.00M,542.00M,-394.00M,75.00M,3.141B,-5.562B,4.172B,-1.948B,600.00M,-860.00M,705.00M,-705.00M,-228.00M,271.00M,-153.00M,-149.00M,-56.00M,473.00M,-117.00M,-127.00M,-1.013B,471.00M,-365.00M,528.00M,-273.00M,117.00M,-220.00M,212.00M,509.00M,-248.00M,81.00M,-145.00M,-801.00M,906.00M,-123.00M,268.00M,200.00M,164.00M,-360.00M,-44.00M,721.00M,275.00M,-116.00M,-880.00M,467.00M,-467.00M,923.00M,-923.00M
Change in Other Working Cap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.283B,1.649B,-2.209B,1.843B,-3.836B,2.834B,-2.255B,3.257B,-6.226B,3.653B,-976.00M,3.549B,-4.155B,1.132B,650.00M,2.373B,-4.507B,2.037B,542.00M,1.928B,-2.51B,2.422B,-784.00M,872.00M,-832.00M,-424.00M,-422.00M,1.678B,-1.732B,1.732B,-1.83B,1.83B,156.00M,-158.00M,-108.00M,110.00M,-563.00M,563.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Changes in Working Capital,-1.641B,1.55B,-1.243B,2.257B,-1.331B,957.00M,-1.333B,351.00M,-102.00M,-319.00M,-1.021B,793.00M,994.00M,-661.00M,-1.326B,-399.00M,-2.076B,496.00M,-1.024B,-509.00M,-4.472B,-463.00M,-2.449B,2.452B,-2.044B,286.00M,-5.283B,2.321B,-2.492B,-289.00M,-2.384B,5.792B,-3.166B,1.076B,-1.809B,2.887B,123.00M,1.654B,-1.133B,3.201B,-307.00M,140.00M,-2.124B,1.132B,-2.998B,-2.856B,-517.00M,7.803B,-144.00M,1.649B,-2.209B,1.843B,-4.299B,2.834B,-2.255B,3.257B,-2.561B,3.653B,-976.00M,3.549B,1.494B,1.132B,650.00M,2.373B,-4.721B,2.037B,542.00M,1.928B,-2.065B,2.422B,-784.00M,872.00M,-2.601B,-424.00M,-422.00M,1.678B,-1.654B,1.732B,-1.83B,1.83B,-49.00M,-158.00M,-108.00M,110.00M,-957.00M,563.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Operations,6.352B,9.079B,5.947B,8.338B,8.607B,11.11B,7.78B,8.519B,7.411B,7.535B,6.947B,8.173B,7.396B,5.355B,4.519B,4.812B,4.38B,9.174B,8.792B,7.998B,7.415B,12.40B,10.20B,15.10B,10.21B,13.43B,7.683B,13.59B,13.22B,13.44B,10.22B,19.29B,10.75B,14.85B,12.89B,16.86B,13.06B,13.08B,9.235B,13.05B,8.504B,8.827B,2.197B,8.91B,10.48B,14.40B,13.42B,21.42B,11.34B,15.06B,11.32B,14.29B,8.862B,14.50B,11.30B,14.63B,10.39B,15.77B,9.013B,12.97B,12.31B,9.453B,8.652B,10.14B,6.799B,5.704B,7.349B,8.646B,5.079B,7.449B,4.116B,4.624B,3.39B,5.255B,5.515B,8.729B,6.075B,5.408B,5.964B,5.49B,4.252B,4.24B,3.461B,3.06B,7.084B,3.508B,2.829B,3.015B,9.427B,4.088B,3.413B,4.514B,2.962B,3.14B,2.983B,4.077B,3.573B,3.944B,3.048B,3.282B,2.75B,2.683B,2.055B,2.363B,3.026B,3.177B,2.688B,2.612B,2.784B,2.591B,1.756B,2.48B,2.80B,2.799B,2.593B,2.75B,4.154B,1.971B,2.751B,1.77B
Net Change in Capital Expenditures,-6.704B,-6.285B,-6.173B,-5.199B,-6.094B,-5.204B,-4.927B,-3.349B,-4.501B,-4.913B,-3.098B,-2.89B,-3.887B,-3.404B,-4.271B,-4.601B,-6.136B,-6.401B,-7.109B,-6.844B,-8.884B,-8.198B,-8.542B,-7.328B,-8.426B,-9.098B,-8.651B,-7.494B,-10.06B,-8.026B,-8.345B,-7.843B,-8.634B,-7.478B,-7.812B,-7.051B,-7.67B,-7.801B,-5.644B,-5.756B,-6.763B,-5.49B,-5.565B,-4.673B,-5.325B,-5.142B,-4.872B,-3.979B,-4.56B,-3.935B,-3.786B,-3.106B,-4.161B,-3.715B,-3.856B,-3.73B,-3.899B,-3.492B,-3.735B,-2.713B,-3.407B,-2.837B,-2.932B,-2.81B,-3.554B,-3.073B,-3.294B,-2.938B,-3.29B,-2.884B,-2.837B,-2.426B,-3.126B,-2.493B,-2.342B,-2.028B,-2.61B,-2.035B,-2.032B,-1.769B,-2.635B,-2.483B,-3.074B,-2.657B,-6.895B,-2.149B,-2.007B,-1.679B,-6.352B,-1.969B,-1.85B,-1.481B,-2.108B,-1.842B,-1.846B,-1.413B,-2.303B,-1.779B,-1.647B,-1.399B,-1.997B,-1.648B,-1.67B,-1.328B,-2.115B,-1.715B,-1.828B,-1.298B,-2.152B,-1.774B,-1.691B,-1.608B,-2.339B,-1.826B,-1.646B,-1.513B,-2.131B,-1.618B,-1.503B,-1.296B
