date,accruals
"Dec. 31, 2019",-662.00M
"Sept. 30, 2019",-5.909B
"June 30, 2019",-2.817B
"March 31, 2019",-5.988B
"Dec. 31, 2018",-2.607B
"Sept. 30, 2018",-4.868B
"June 30, 2018",-3.83B
"March 31, 2018",-3.869B
"Dec. 31, 2017",969.00M
"Sept. 30, 2017",-3.565B
"June 30, 2017",-3.597B
"March 31, 2017",-4.163B
"Dec. 31, 2016",-5.716B
"Sept. 30, 2016",-2.705B
"June 30, 2016",-2.819B
"March 31, 2016",-3.002B
"Dec. 31, 2015",-1.60B
"Sept. 30, 2015",-4.934B
"June 30, 2015",-4.602B
"March 31, 2015",-3.058B
"Dec. 31, 2014",-845.00M
"Sept. 30, 2014",-4.326B
"June 30, 2014",-1.422B
"March 31, 2014",-6.003B
"Dec. 31, 2013",-1.858B
"Sept. 30, 2013",-5.561B
"June 30, 2013",-823.00M
"March 31, 2013",-4.092B
"Dec. 31, 2012",-3.274B
"Sept. 30, 2012",-3.872B
"June 30, 2012",5.693B
"March 31, 2012",-9.837B
"Dec. 31, 2011",-1.351B
"Sept. 30, 2011",-4.519B
"June 30, 2011",-2.209B
"March 31, 2011",-6.206B
"Dec. 31, 2010",-3.805B
"Sept. 30, 2010",-5.727B
"June 30, 2010",-1.675B
"March 31, 2010",-6.746B
"Dec. 31, 2009",-2.454B
"Sept. 30, 2009",-4.097B
"June 30, 2009",1.753B
"March 31, 2009",-4.36B
"Dec. 31, 2008",-2.664B
"Sept. 30, 2008",427.00M
"June 30, 2008",-1.738B
"March 31, 2008",-10.53B
"Dec. 31, 2007",325.00M
"Sept. 30, 2007",-5.653B
"June 30, 2007",-1.058B
"March 31, 2007",-5.006B
"Dec. 31, 2006",1.388B
"Sept. 30, 2006",-4.007B
"June 30, 2006",-936.00M
"March 31, 2006",-6.231B
"Dec. 31, 2005",320.00M
"Sept. 30, 2005",-5.847B
"June 30, 2005",-1.373B
"March 31, 2005",-5.108B
"Dec. 31, 2004",-3.888B
"Sept. 30, 2004",-3.773B
"June 30, 2004",-2.862B
"March 31, 2004",-4.698B
"Dec. 31, 2003",-149.00M
"Sept. 30, 2003",-2.054B
"June 30, 2003",-3.179B
"March 31, 2003",-1.606B
"Dec. 31, 2002",-989.00M
"Sept. 30, 2002",-4.809B
"June 30, 2002",-1.476B
"March 31, 2002",-2.534B
"Dec. 31, 2001",-710.00M
"Sept. 30, 2001",-2.075B
"June 30, 2001",-1.055B
"March 31, 2001",-3.729B
"Dec. 31, 2000",-855.00M
"Sept. 30, 2000",-918.00M
"June 30, 2000",-1.434B
"March 31, 2000",-2.01B
"Dec. 31, 1999",-1.968B
"Sept. 30, 1999",-2.052B
"June 30, 1999",-1.507B
"March 31, 1999",-1.576B
"Dec. 31, 1998",-3.85B
"Sept. 30, 1998",-2.108B
"June 30, 1998",-1.209B
"March 31, 1998",-1.195B
"Dec. 31, 1997",-3.655B
"Sept. 30, 1997",-2.268B
"June 30, 1997",-1.448B
"March 31, 1997",-2.339B
"Dec. 31, 1996",-467.00M
"Sept. 30, 1996",-1.58B
"June 30, 1996",-1.413B
"March 31, 1996",-2.192B
"Dec. 31, 1995",-1.893B
"Sept. 30, 1995",-2.444B
"June 30, 1995",-1.418B
"March 31, 1995",-1.622B
"Dec. 31, 1994",-850.00M
"Sept. 30, 1994",-1.528B
"June 30, 1994",-1.17B
"March 31, 1994",-1.203B
"Dec. 31, 1993",-1.526B
"Sept. 30, 1993",-1.817B
"June 30, 1993",-1.453B
"March 31, 1993",-1.427B
"Dec. 31, 1992",-1.454B
"Sept. 30, 1992",-1.456B
"June 30, 1992",-801.00M
"March 31, 1992",-1.13B
"Dec. 31, 1991",-1.68B
"Sept. 30, 1991",-1.684B
"June 30, 1991",-1.468B
"March 31, 1991",-510.00M
"Dec. 31, 1990",-2.599B
"Sept. 30, 1990",-896.00M
"June 30, 1990",-1.651B
"March 31, 1990",-490.00M
