date,earning_yield
"March 19, 2020",9.76%
"March 18, 2020",10.14%
"March 17, 2020",9.13%
"March 16, 2020",9.74%
"March 13, 2020",8.81%
"March 12, 2020",9.04%
"March 11, 2020",8.00%
"March 10, 2020",7.74%
"March 9, 2020",8.03%
"March 6, 2020",7.05%
"March 5, 2020",6.71%
"March 4, 2020",6.41%
"March 3, 2020",6.55%
"March 2, 2020",6.24%
"Feb. 28, 2020",6.53%
"Feb. 27, 2020",6.74%
"Feb. 26, 2020",6.34%
"Feb. 25, 2020",6.20%
"Feb. 24, 2020",5.96%
"Feb. 21, 2020",5.68%
"Feb. 20, 2020",5.61%
"Feb. 19, 2020",5.57%
"Feb. 18, 2020",5.61%
"Feb. 14, 2020",5.54%
"Feb. 13, 2020",5.51%
"Feb. 12, 2020",5.48%
"Feb. 11, 2020",5.55%
"Feb. 10, 2020",5.60%
"Feb. 7, 2020",5.47%
"Feb. 6, 2020",5.43%
"Feb. 5, 2020",5.36%
"Feb. 4, 2020",5.60%
"Feb. 3, 2020",5.53%
"Jan. 31, 2020",5.41%
"Jan. 30, 2020",5.19%
"Jan. 29, 2020",5.24%
"Jan. 28, 2020",5.20%
"Jan. 27, 2020",5.19%
"Jan. 24, 2020",5.07%
"Jan. 23, 2020",5.03%
"Jan. 22, 2020",5.00%
"Jan. 21, 2020",4.97%
"Jan. 17, 2020",4.90%
"Jan. 16, 2020",4.88%
"Jan. 15, 2020",4.86%
"Jan. 14, 2020",4.86%
"Jan. 13, 2020",4.81%
"Jan. 10, 2020",4.86%
"Jan. 9, 2020",4.82%
"Jan. 8, 2020",4.85%
"Jan. 7, 2020",4.78%
"Jan. 6, 2020",4.74%
"Jan. 3, 2020",4.78%
"Jan. 2, 2020",4.74%
"Dec. 31, 2019",4.82%
"Dec. 30, 2019",4.95%
"Dec. 27, 2019",4.92%
"Dec. 26, 2019",4.91%
"Dec. 24, 2019",4.91%
"Dec. 23, 2019",4.89%
"Dec. 20, 2019",4.92%
"Dec. 19, 2019",4.96%
"Dec. 18, 2019",4.92%
"Dec. 17, 2019",4.94%
"Dec. 16, 2019",4.91%
