date,liabilities
"Dec. 31, 2019",163.66B
"Sept. 30, 2019",162.25B
"June 30, 2019",162.26B
"March 31, 2019",158.17B
"Dec. 31, 2018",147.67B
"Sept. 30, 2018",157.80B
"June 30, 2018",155.26B
"March 31, 2018",153.92B
"Dec. 31, 2017",154.19B
"Sept. 30, 2017",160.23B
"June 30, 2017",157.17B
"March 31, 2017",160.44B
"Dec. 31, 2016",156.48B
"Sept. 30, 2016",162.38B
"June 30, 2016",165.60B
"March 31, 2016",164.29B
"Dec. 31, 2015",159.95B
"Sept. 30, 2015",163.82B
"June 30, 2015",169.26B
"March 31, 2015",165.52B
"Dec. 31, 2014",168.43B
"Sept. 30, 2014",165.27B
"June 30, 2014",170.46B
"March 31, 2014",170.14B
"Dec. 31, 2013",166.31B
"Sept. 30, 2013",172.09B
"June 30, 2013",170.03B
"March 31, 2013",166.56B
"Dec. 31, 2012",162.14B
"Sept. 30, 2012",162.84B
"June 30, 2012",161.66B
"March 31, 2012",181.04B
"Dec. 31, 2011",170.31B
"Sept. 30, 2011",161.02B
"June 30, 2011",164.37B
"March 31, 2011",162.00B
"Dec. 31, 2010",149.83B
"Sept. 30, 2010",149.39B
"June 30, 2010",145.70B
"March 31, 2010",125.08B
"Dec. 31, 2009",117.93B
"Sept. 30, 2009",117.20B
"June 30, 2009",113.51B
"March 31, 2009",111.11B
"Dec. 31, 2008",110.53B
"Sept. 30, 2008",130.93B
"June 30, 2008",141.93B
"March 31, 2008",135.06B
"Dec. 31, 2007",116.04B
"Sept. 30, 2007",118.06B
"June 30, 2007",111.96B
"March 31, 2007",109.19B
"Dec. 31, 2006",105.17B
"Sept. 30, 2006",107.35B
"June 30, 2006",105.25B
"March 31, 2006",103.54B
"Dec. 31, 2005",97.15B
"Sept. 30, 2005",101.83B
"June 30, 2005",97.22B
"March 31, 2005",97.55B
"Dec. 31, 2004",89.55B
"Sept. 30, 2004",91.99B
"June 30, 2004",87.45B
"March 31, 2004",88.52B
"Dec. 31, 2003",80.98B
"Sept. 30, 2003",83.22B
"June 30, 2003",82.52B
"March 31, 2003",82.91B
"Dec. 31, 2002",75.28B
"Sept. 30, 2002",74.78B
"June 30, 2002",73.11B
"March 31, 2002",69.67B
"Dec. 31, 2001",70.01B
"Sept. 30, 2001",74.08B
"June 30, 2001",74.69B
"March 31, 2001",76.90B
"Dec. 31, 2000",75.01B
"Sept. 30, 2000",80.14B
"June 30, 2000",79.68B
"March 31, 2000",78.63B
"Dec. 31, 1999",77.37B
"Sept. 30, 1999",50.56B
"June 30, 1999",48.41B
"March 31, 1999",47.73B
"Dec. 31, 1998",73.59B
"Sept. 30, 1998",51.47B
"June 30, 1998",49.86B
"March 31, 1998",51.21B
"Dec. 31, 1997",50.03B
"Sept. 30, 1997",53.77B
"June 30, 1997",51.10B
"March 31, 1997",51.98B
"Dec. 31, 1996",50.07B
"Sept. 30, 1996",51.68B
"June 30, 1996",51.02B
"March 31, 1996",51.56B
"Dec. 31, 1995",48.69B
"Sept. 30, 1995",50.67B
"June 30, 1995",51.16B
"March 31, 1995",52.09B
"Dec. 31, 1994",48.28B
"Sept. 30, 1994",51.27B
"June 30, 1994",50.24B
"March 31, 1994",49.40B
"Dec. 31, 1993",46.96B
"Sept. 30, 1993",50.34B
"June 30, 1993",50.20B
"March 31, 1993",50.62B
"Dec. 31, 1992",48.28B
"Sept. 30, 1992",52.20B
"June 30, 1992",51.94B
"March 31, 1992",50.26B
"Dec. 31, 1991",49.67B
"Sept. 30, 1991",50.70B
"June 30, 1991",48.94B
"March 31, 1991",50.62B
"Dec. 31, 1990",51.70B
"Sept. 30, 1990",53.90B
"June 30, 1990",51.38B
"March 31, 1990",51.75B
"Dec. 31, 1989",50.11B
"Sept. 30, 1989",49.24B
"Dec. 31, 1988",42.53B
"Dec. 31, 1987",40.42B
"Dec. 31, 1986",37.47B
"Dec. 31, 1985",40.06B
"Dec. 31, 1984",34.43B
