date,net_income_annual_cs_rev
"Dec. 31, 2019",5.61%
"Dec. 31, 2018",7.46%
"Dec. 31, 2017",8.31%
"Dec. 31, 2016",3.91%
"Dec. 31, 2015",6.73%
"Dec. 31, 2014",8.25%
"Dec. 31, 2013",7.74%
"Dec. 31, 2012",9.94%
"Dec. 31, 2011",8.79%
"Dec. 31, 2010",8.23%
"Dec. 31, 2009",6.35%
"Dec. 31, 2008",9.70%
"Dec. 31, 2007",10.26%
"Dec. 31, 2006",10.46%
"Dec. 31, 2005",9.75%
"Dec. 31, 2004",8.50%
"Dec. 31, 2003",8.72%
"Dec. 31, 2002",5.60%
"Dec. 31, 2001",7.20%
"Dec. 31, 2000",7.64%
"Dec. 31, 1999",4.33%
"Dec. 31, 1998",4.87%
"Dec. 31, 1997",6.65%
"Dec. 31, 1996",6.43%
"Dec. 31, 1995",6.00%
"Dec. 31, 1994",5.12%
"Dec. 31, 1993",5.40%
"Dec. 31, 1992",4.62%
"Dec. 31, 1991",5.44%
"Dec. 31, 1990",4.75%
"Dec. 31, 1989",4.05%
"Dec. 31, 1988",6.61%
"Dec. 31, 1987",6.33%
"Dec. 31, 1986",7.67%
"Dec. 31, 1985",5.62%
"Dec. 31, 1984",6.08%
