date,Open,High,Low,Close,Volume
"March 19, 2020",33.73,34.90,32.35,34.43,46.29M
"March 18, 2020",34.55,36.71,31.23,33.12,54.04M
"March 17, 2020",35.21,37.38,34.20,36.81,41.20M
"March 16, 2020",34.40,37.88,33.25,34.49,48.92M
"March 13, 2020",40.01,40.14,35.00,38.12,79.89M
"March 12, 2020",39.90,40.65,37.00,37.18,65.73M
"March 11, 2020",42.39,43.48,41.75,41.98,52.02M
"March 10, 2020",46.17,46.26,41.45,43.41,60.38M
"March 9, 2020",41.71,44.57,40.80,41.86,72.90M
"March 6, 2020",48.84,49.01,47.20,47.69,55.64M
"March 5, 2020",50.42,50.70,49.04,50.11,40.79M
"March 4, 2020",52.23,52.48,51.12,52.42,24.08M
"March 3, 2020",53.95,54.15,50.98,51.30,50.58M
"March 2, 2020",52.59,53.89,51.13,53.88,38.13M
"Feb. 28, 2020",48.77,51.44,48.01,51.44,62.47M
"Feb. 27, 2020",51.71,52.44,49.80,49.82,48.14M
"Feb. 26, 2020",54.55,54.82,52.93,53.01,29.81M
"Feb. 25, 2020",56.75,56.75,53.97,54.20,36.41M
"Feb. 24, 2020",57.62,57.80,56.36,56.36,32.10M
"Feb. 21, 2020",59.51,59.51,58.79,59.13,20.32M
"Feb. 20, 2020",60.23,60.54,59.72,59.86,14.82M
"Feb. 19, 2020",60.11,60.62,59.83,60.34,12.80M
"Feb. 18, 2020",60.15,60.39,59.45,59.88,18.95M
"Feb. 14, 2020",61.15,61.16,60.28,60.65,10.86M
"Feb. 13, 2020",61.06,61.42,60.56,60.93,16.95M
"Feb. 12, 2020",61.34,61.53,60.56,61.27,17.86M
"Feb. 11, 2020",60.58,60.89,60.17,60.53,14.91M
"Feb. 10, 2020",60.48,60.52,59.62,59.96,20.93M
"Feb. 7, 2020",61.41,61.66,61.06,61.47,15.11M
"Feb. 6, 2020",62.93,63.01,61.78,61.88,16.06M
"Feb. 5, 2020",60.75,62.92,60.60,62.73,32.10M
"Feb. 4, 2020",61.45,61.91,59.89,59.97,31.92M
"Feb. 3, 2020",61.38,61.42,60.37,60.73,27.40M
"Jan. 31, 2020",63.20,63.20,61.86,62.12,34.28M
"Jan. 30, 2020",63.78,64.88,63.43,64.79,18.54M
"Jan. 29, 2020",65.03,65.13,63.90,64.11,14.23M
"Jan. 28, 2020",65.11,65.20,64.63,64.65,19.66M
"Jan. 27, 2020",65.42,65.73,64.70,64.74,21.23M
"Jan. 24, 2020",66.54,66.68,66.04,66.32,18.24M
"Jan. 23, 2020",66.71,66.93,66.05,66.77,19.61M
"Jan. 22, 2020",67.56,67.70,67.00,67.19,17.03M
"Jan. 21, 2020",68.38,68.42,67.51,67.58,17.98M
"Jan. 17, 2020",68.75,69.08,68.29,68.56,18.14M
"Jan. 16, 2020",69.30,69.58,68.80,68.82,13.34M
"Jan. 15, 2020",69.20,69.59,68.89,69.09,11.39M
"Jan. 14, 2020",69.38,69.58,68.89,69.20,16.27M
"Jan. 13, 2020",69.20,69.87,69.11,69.80,9.965M
"Jan. 10, 2020",69.93,69.96,69.12,69.14,12.00M
"Jan. 9, 2020",69.14,69.90,68.62,69.76,14.81M
"Jan. 8, 2020",70.11,70.28,69.17,69.23,15.14M
"Jan. 7, 2020",70.50,70.52,69.51,70.29,16.95M
"Jan. 6, 2020",70.32,71.36,70.23,70.87,20.08M
"Jan. 3, 2020",71.34,71.37,70.16,70.33,17.39M
"Jan. 2, 2020",70.24,71.02,70.24,70.90,12.41M
"Dec. 31, 2019",69.02,69.80,69.01,69.78,13.16M
"Dec. 30, 2019",70.09,70.44,69.40,69.48,12.69M
"Dec. 27, 2019",70.20,70.31,69.88,69.89,10.52M
"Dec. 26, 2019",70.19,70.50,70.01,70.13,8.842M
"Dec. 24, 2019",70.35,70.50,69.91,70.02,3.979M
"Dec. 23, 2019",69.86,70.30,69.53,70.29,14.17M
"Dec. 20, 2019",69.86,70.23,69.39,69.94,35.09M
"Dec. 19, 2019",69.99,70.05,69.24,69.39,13.28M
"Dec. 18, 2019",69.63,70.29,69.28,69.87,13.65M
"Dec. 17, 2019",69.98,70.38,69.31,69.68,14.46M
"Dec. 16, 2019",69.70,70.25,69.70,70.00,15.21M
"Dec. 13, 2019",70.48,70.54,69.12,69.23,12.28M
"Dec. 12, 2019",68.96,70.38,68.90,70.34,17.07M
"Dec. 11, 2019",68.74,69.76,68.67,68.96,13.75M
"Dec. 10, 2019",69.66,70.15,68.70,69.06,14.28M
"Dec. 9, 2019",69.08,69.97,69.02,69.66,12.41M
"Dec. 6, 2019",68.76,69.87,68.76,69.51,13.71M
"Dec. 5, 2019",68.89,68.97,68.20,68.41,13.11M
"Dec. 4, 2019",68.25,68.76,68.14,68.65,11.05M
"Dec. 3, 2019",68.00,68.25,67.52,67.88,12.87M
"Dec. 2, 2019",68.50,68.88,68.37,68.42,11.12M
"Nov. 29, 2019",68.33,68.53,68.00,68.13,7.981M
"Nov. 27, 2019",68.76,69.09,68.41,68.70,8.396M
"Nov. 26, 2019",68.92,69.04,68.44,68.74,15.46M
"Nov. 25, 2019",69.37,69.44,68.71,68.91,10.67M
"Nov. 22, 2019",69.71,70.18,69.33,69.37,12.14M
"Nov. 21, 2019",68.02,69.75,67.92,69.67,14.08M
"Nov. 20, 2019",67.67,68.54,67.32,68.03,16.93M
"Nov. 19, 2019",68.40,68.56,67.78,67.82,12.61M
"Nov. 18, 2019",68.70,68.82,68.30,68.52,10.10M
"Nov. 15, 2019",68.71,69.30,68.67,69.19,11.25M
"Nov. 14, 2019",68.86,68.97,68.18,68.50,11.28M
"Nov. 13, 2019",69.02,69.15,68.60,68.80,12.04M
"Nov. 12, 2019",70.27,70.41,68.98,69.37,13.92M
"Nov. 11, 2019",70.21,70.61,69.97,70.34,8.676M
"Nov. 8, 2019",71.61,71.80,70.66,70.77,12.11M
"Nov. 7, 2019",72.03,73.03,72.00,73.01,13.07M
"Nov. 6, 2019",72.73,72.87,71.20,71.49,14.00M
"Nov. 5, 2019",72.04,73.12,71.85,73.09,14.93M
"Nov. 4, 2019",70.07,71.87,69.94,71.67,15.86M
"Nov. 1, 2019",68.39,69.60,68.31,69.60,14.11M
"Oct. 31, 2019",67.46,67.72,67.14,67.57,16.17M
"Oct. 30, 2019",68.37,68.37,67.27,67.72,12.84M
"Oct. 29, 2019",68.48,69.03,68.24,68.44,13.89M
"Oct. 28, 2019",69.46,69.67,68.58,68.64,11.21M
"Oct. 25, 2019",68.90,69.48,68.90,69.25,7.607M
"Oct. 24, 2019",69.96,70.05,69.02,69.09,9.069M
"Oct. 23, 2019",68.96,69.76,68.78,69.75,8.723M
"Oct. 22, 2019",68.78,69.76,68.65,69.09,9.503M
"Oct. 21, 2019",67.82,68.77,67.82,68.74,10.47M
"Oct. 18, 2019",67.87,68.15,67.61,67.61,13.47M
"Oct. 17, 2019",68.48,68.88,68.08,68.14,9.932M
"Oct. 16, 2019",69.21,69.53,68.21,68.23,9.811M
"Oct. 15, 2019",69.06,70.00,69.01,69.42,6.655M
"Oct. 14, 2019",68.60,69.37,68.59,69.18,6.864M
"Oct. 11, 2019",68.98,69.49,68.88,68.98,10.18M
"Oct. 10, 2019",67.43,68.36,67.38,68.25,8.447M
"Oct. 9, 2019",67.30,67.70,67.20,67.44,8.626M
"Oct. 8, 2019",67.54,67.92,66.64,66.70,10.35M
"Oct. 7, 2019",68.70,69.03,68.02,68.02,11.58M
"Oct. 4, 2019",68.11,69.07,67.82,68.97,10.59M
"Oct. 3, 2019",67.00,68.00,66.30,67.98,12.78M
"Oct. 2, 2019",68.27,68.59,67.00,67.15,14.64M
"Oct. 1, 2019",70.83,70.91,68.91,68.95,11.43M
"Sept. 30, 2019",71.24,71.45,70.58,70.61,10.16M
"Sept. 27, 2019",70.70,71.67,70.63,71.48,8.225M
"Sept. 26, 2019",71.22,71.35,70.68,70.97,8.444M
"Sept. 25, 2019",70.98,71.47,70.82,71.35,8.057M
"Sept. 24, 2019",71.81,71.87,70.82,71.14,14.31M
"Sept. 23, 2019",71.52,72.36,71.46,72.13,7.808M
"Sept. 20, 2019",72.49,72.50,71.86,72.08,19.86M
"Sept. 19, 2019",72.97,73.19,72.19,72.33,8.317M
"Sept. 18, 2019",72.65,72.97,72.33,72.82,7.375M
"Sept. 17, 2019",73.82,74.08,72.63,73.17,14.64M
"Sept. 16, 2019",75.04,75.18,73.60,73.73,19.83M
"Sept. 13, 2019",72.26,72.72,72.06,72.64,7.337M
"Sept. 12, 2019",70.98,72.16,70.70,71.98,9.101M
"Sept. 11, 2019",72.78,72.84,71.55,71.93,10.53M
"Sept. 10, 2019",72.14,72.85,71.62,72.07,13.81M
"Sept. 9, 2019",71.16,72.07,70.98,71.49,12.84M
"Sept. 6, 2019",70.35,70.95,70.12,70.93,10.42M
"Sept. 5, 2019",69.84,70.55,69.70,70.27,9.902M
"Sept. 4, 2019",69.50,69.61,69.09,69.29,6.973M
"Sept. 3, 2019",67.89,68.68,67.63,68.56,9.850M
"Aug. 30, 2019",68.61,69.08,68.06,68.48,9.181M
"Aug. 29, 2019",68.30,68.67,68.09,68.43,9.004M
"Aug. 28, 2019",67.53,67.98,67.16,67.68,9.657M
"Aug. 27, 2019",68.13,68.44,66.97,67.19,9.495M
"Aug. 26, 2019",68.12,68.26,67.53,67.85,7.345M
"Aug. 23, 2019",68.82,69.52,67.03,67.49,15.37M
"Aug. 22, 2019",69.91,69.96,69.25,69.57,8.973M
"Aug. 21, 2019",69.96,69.98,69.37,69.72,10.13M
"Aug. 20, 2019",69.30,69.30,68.71,69.03,9.744M
"Aug. 19, 2019",68.97,69.65,68.86,69.45,10.03M
"Aug. 16, 2019",67.78,68.46,67.27,68.30,12.65M
"Aug. 15, 2019",67.46,67.56,66.52,67.25,12.87M
"Aug. 14, 2019",69.07,69.09,67.65,67.65,18.11M
"Aug. 13, 2019",69.27,70.62,68.92,70.49,12.44M
"Aug. 12, 2019",70.06,70.16,69.33,69.63,9.169M
"Aug. 9, 2019",72.13,72.25,70.47,70.84,13.69M
"Aug. 8, 2019",70.85,72.41,70.62,72.38,14.30M
"Aug. 7, 2019",69.86,70.88,69.40,70.50,15.23M
"Aug. 6, 2019",70.29,71.01,70.28,70.96,12.28M
"Aug. 5, 2019",70.78,70.92,69.61,70.28,19.08M
"Aug. 2, 2019",72.61,73.26,71.18,71.75,21.38M
"Aug. 1, 2019",73.74,74.27,72.26,72.46,17.13M
"July 31, 2019",75.04,75.66,74.26,74.36,13.10M
"July 30, 2019",75.06,75.56,74.89,75.35,6.961M
"July 29, 2019",74.88,75.38,74.70,75.34,7.092M
"July 26, 2019",74.87,75.08,74.60,74.81,7.677M
"July 25, 2019",75.78,75.78,74.80,74.93,9.084M
"July 24, 2019",75.39,76.05,74.85,75.36,8.260M
"July 23, 2019",75.15,75.77,74.75,75.37,8.551M
"July 22, 2019",75.24,75.30,74.50,75.07,8.370M
"July 19, 2019",74.90,75.25,74.54,74.99,11.24M
"July 18, 2019",75.03,75.27,74.18,74.84,11.43M
"July 17, 2019",75.74,75.96,75.35,75.48,7.419M
"July 16, 2019",76.92,77.07,75.79,75.93,10.20M
"July 15, 2019",77.63,77.74,76.89,77.08,7.116M
"July 12, 2019",77.75,77.88,77.50,77.63,6.139M
"July 11, 2019",77.41,77.61,77.05,77.57,6.404M
"July 10, 2019",76.80,77.63,76.74,77.51,8.077M
"July 9, 2019",76.45,76.77,75.73,76.43,7.863M
"July 8, 2019",76.14,76.70,75.92,76.48,7.876M
"July 5, 2019",76.19,76.35,75.59,76.13,6.881M
"July 3, 2019",75.82,76.50,75.62,76.44,5.246M
"July 2, 2019",76.14,76.27,75.41,75.72,10.32M
"July 1, 2019",77.13,77.92,76.29,76.56,11.45M
"June 28, 2019",76.19,76.73,75.94,76.63,14.78M
"June 27, 2019",76.59,76.75,75.76,75.82,8.148M
"June 26, 2019",76.68,77.13,76.47,76.60,11.37M
"June 25, 2019",77.08,77.22,76.19,76.27,9.740M
"June 24, 2019",77.53,77.76,76.81,76.95,10.01M
"June 21, 2019",77.14,77.76,76.87,77.69,23.11M
"June 20, 2019",76.24,76.98,76.08,76.61,16.23M
"June 19, 2019",75.40,75.85,75.17,75.32,9.757M
"June 18, 2019",75.42,76.22,75.35,75.74,10.09M
"June 17, 2019",74.16,75.19,74.04,75.09,9.356M
"June 14, 2019",74.68,74.81,74.23,74.35,8.576M
"June 13, 2019",74.70,75.17,74.38,74.68,8.986M
"June 12, 2019",74.48,74.61,73.81,74.03,7.921M
"June 11, 2019",75.51,75.81,74.82,74.84,9.415M
"June 10, 2019",75.19,75.33,74.45,74.91,7.760M
"June 7, 2019",74.51,74.96,74.43,74.58,9.095M
"June 6, 2019",73.71,74.62,73.59,74.31,11.74M
"June 5, 2019",73.64,73.64,72.58,72.98,10.62M
"June 4, 2019",72.45,73.66,72.17,73.59,10.42M
"June 3, 2019",71.09,72.01,70.97,71.88,11.83M
"May 31, 2019",71.19,71.55,70.63,70.77,13.98M
"May 30, 2019",72.02,72.13,71.53,71.97,9.362M
"May 29, 2019",71.89,72.43,71.62,72.16,13.65M
"May 28, 2019",74.24,74.25,72.48,72.61,14.91M
"May 24, 2019",74.14,74.25,73.44,74.10,7.057M
"May 23, 2019",74.77,74.80,73.04,73.79,14.66M
"May 22, 2019",76.02,76.22,75.38,75.56,7.858M
"May 21, 2019",76.27,76.46,75.93,76.25,8.490M
"May 20, 2019",76.05,76.36,75.67,75.90,7.155M
"May 17, 2019",75.65,76.30,75.59,75.91,9.279M
"May 16, 2019",76.40,76.95,76.22,76.36,8.106M
"May 15, 2019",75.57,76.55,75.21,76.37,8.918M
"May 14, 2019",76.13,76.80,75.76,75.81,10.55M
"May 13, 2019",75.65,76.23,75.36,75.71,12.18M
"May 10, 2019",76.18,76.79,75.17,76.56,11.06M
"May 9, 2019",76.35,76.88,75.96,76.77,13.22M
"May 8, 2019",76.54,77.29,76.42,76.84,11.35M
"May 7, 2019",76.50,76.79,75.77,76.72,13.50M
"May 6, 2019",76.92,77.66,76.71,77.13,13.37M
"May 3, 2019",77.79,78.21,77.44,77.47,12.18M
"May 2, 2019",78.28,78.50,77.24,77.29,15.36M
"May 1, 2019",79.94,80.26,78.62,78.67,13.91M
"April 30, 2019",80.37,80.52,79.93,80.28,13.72M
"April 29, 2019",80.12,80.38,79.66,79.97,10.02M
"April 26, 2019",80.27,80.63,79.56,80.49,18.05M
"April 25, 2019",81.65,82.84,81.40,82.22,11.14M
"April 24, 2019",83.01,83.08,81.73,81.76,11.68M
"April 23, 2019",83.19,83.49,82.68,83.38,10.60M
"April 22, 2019",81.87,83.22,81.64,82.90,10.77M
"April 18, 2019",81.56,81.83,81.07,81.13,9.494M
"April 17, 2019",81.55,81.70,81.08,81.43,8.311M
"April 16, 2019",80.81,81.34,80.69,81.20,7.006M
"April 15, 2019",80.89,81.06,80.52,80.65,8.536M
"April 12, 2019",82.81,82.81,80.58,80.92,16.64M
"April 11, 2019",81.54,82.07,81.02,81.95,9.115M
"April 10, 2019",81.92,82.08,81.41,81.56,10.32M
"April 9, 2019",82.52,82.58,81.74,81.93,8.562M
"April 8, 2019",82.67,83.20,82.59,83.00,9.109M
"April 5, 2019",82.15,82.53,81.95,82.49,10.06M
"April 4, 2019",81.12,82.08,80.77,82.05,9.361M
"April 3, 2019",81.77,81.77,80.60,80.90,8.563M
"April 2, 2019",81.75,81.95,81.11,81.38,7.646M
"April 1, 2019",81.23,81.78,81.08,81.73,10.82M
"March 29, 2019",81.33,81.48,80.48,80.80,10.89M
"March 28, 2019",80.03,80.79,80.02,80.74,7.412M
"March 27, 2019",80.97,81.31,79.82,80.34,7.259M
"March 26, 2019",80.33,81.27,80.18,80.96,9.473M
"March 25, 2019",80.00,80.44,79.59,79.92,11.32M
"March 22, 2019",81.23,81.44,80.30,80.48,12.50M
"March 21, 2019",80.81,81.89,80.80,81.79,10.12M
"March 20, 2019",80.75,81.92,80.56,81.32,13.13M
"March 19, 2019",81.58,82.00,80.64,80.87,13.94M
"March 18, 2019",80.44,81.25,80.44,81.08,9.841M
"March 15, 2019",80.18,80.55,80.10,80.15,25.32M
"March 14, 2019",80.80,80.91,80.35,80.44,9.977M
"March 13, 2019",80.59,80.76,80.20,80.71,10.26M
"March 12, 2019",80.11,80.58,79.89,80.00,11.32M
"March 11, 2019",79.98,80.29,79.65,79.78,11.06M
"March 8, 2019",78.89,79.32,78.25,79.01,16.21M
"March 7, 2019",79.55,80.26,79.32,80.16,16.54M
"March 6, 2019",78.85,79.38,77.86,79.28,18.63M
"March 5, 2019",80.12,80.40,79.75,80.19,13.75M
"March 4, 2019",80.24,80.54,79.01,80.31,18.09M
"March 1, 2019",79.38,80.00,79.03,80.00,15.42M
"Feb. 28, 2019",79.45,79.75,78.71,79.03,14.60M
"Feb. 27, 2019",78.88,79.75,78.66,79.47,12.40M
"Feb. 26, 2019",78.68,79.13,78.39,78.66,10.99M
"Feb. 25, 2019",78.43,78.85,78.20,78.50,9.274M
"Feb. 22, 2019",78.71,78.95,77.62,78.42,9.519M
"Feb. 21, 2019",78.21,78.66,77.61,77.82,10.27M
"Feb. 20, 2019",78.30,78.81,78.00,78.53,12.63M
"Feb. 19, 2019",77.56,78.48,77.45,78.23,13.55M
"Feb. 15, 2019",76.94,77.76,76.75,77.71,14.33M
"Feb. 14, 2019",76.26,76.65,75.71,76.27,12.77M
"Feb. 13, 2019",75.58,76.54,75.51,76.25,13.21M
"Feb. 12, 2019",75.08,75.45,74.82,75.40,12.60M
"Feb. 11, 2019",73.88,74.22,73.40,74.10,10.43M
"Feb. 8, 2019",73.76,74.07,72.73,73.98,11.96M
"Feb. 7, 2019",74.95,75.19,73.90,74.68,14.42M
"Feb. 6, 2019",75.58,75.77,75.13,75.26,10.87M
"Feb. 5, 2019",75.18,75.64,75.01,75.59,12.79M
"Feb. 4, 2019",75.76,75.76,74.40,74.82,15.48M
"Feb. 1, 2019",74.92,76.49,74.32,75.92,22.97M
"Jan. 31, 2019",72.29,73.49,72.02,73.28,19.88M
"Jan. 30, 2019",71.77,72.57,71.50,72.29,11.52M
"Jan. 29, 2019",71.70,72.19,71.48,71.51,10.51M
"Jan. 28, 2019",71.02,71.28,70.37,71.24,13.68M
"Jan. 25, 2019",72.07,72.27,71.54,71.72,8.998M
"Jan. 24, 2019",71.10,71.97,70.64,71.40,11.27M
"Jan. 23, 2019",72.01,72.30,70.93,71.30,13.19M
"Jan. 22, 2019",72.39,72.71,71.68,71.89,15.04M
"Jan. 18, 2019",73.27,73.29,72.12,72.99,15.76M
"Jan. 17, 2019",71.19,72.34,70.90,72.13,10.14M
"Jan. 16, 2019",71.42,72.38,71.31,71.64,12.60M
"Jan. 15, 2019",71.95,72.36,71.32,71.67,10.30M
"Jan. 14, 2019",71.21,71.78,71.12,71.63,11.01M
"Jan. 11, 2019",71.85,71.89,71.07,71.72,9.790M
"Jan. 10, 2019",72.07,72.08,71.12,72.05,13.15M
"Jan. 9, 2019",72.60,72.60,71.64,72.42,13.47M
"Jan. 8, 2019",72.54,72.59,71.94,72.04,11.44M
"Jan. 7, 2019",71.25,72.10,70.74,71.52,10.84M
"Jan. 4, 2019",69.64,71.27,69.36,71.15,16.04M
"Jan. 3, 2019",70.00,70.25,68.36,68.62,13.87M
"Jan. 2, 2019",67.35,69.87,67.26,69.69,16.73M
"Dec. 31, 2018",68.32,69.15,67.66,68.19,15.81M
"Dec. 28, 2018",69.18,69.58,67.82,68.17,19.71M
"Dec. 27, 2018",67.74,68.94,66.08,68.94,22.08M
"Dec. 26, 2018",66.18,68.66,64.65,68.64,24.89M
"Dec. 24, 2018",66.87,67.53,65.44,65.51,14.26M
"Dec. 21, 2018",68.14,70.37,67.67,68.12,47.29M
"Dec. 20, 2018",70.09,70.66,68.05,68.63,28.72M
"Dec. 19, 2018",72.45,73.27,70.30,70.78,21.68M
"Dec. 18, 2018",73.63,73.86,71.62,72.00,18.68M
"Dec. 17, 2018",75.26,75.60,73.48,74.04,15.46M
"Dec. 14, 2018",76.72,76.87,75.09,75.58,12.67M
"Dec. 13, 2018",76.03,77.22,75.95,76.98,13.75M
"Dec. 12, 2018",78.04,78.20,76.02,76.02,14.56M
"Dec. 11, 2018",77.70,77.80,75.68,76.68,15.74M
"Dec. 10, 2018",77.86,77.86,74.80,76.54,17.95M
"Dec. 7, 2018",79.39,80.36,77.34,77.64,16.22M
"Dec. 6, 2018",78.00,78.44,76.92,78.39,23.22M
"Dec. 4, 2018",81.38,81.95,79.35,79.43,18.54M
"Dec. 3, 2018",80.24,81.46,80.14,81.22,19.41M
"Nov. 30, 2018",78.45,79.60,78.32,79.50,14.04M
"Nov. 29, 2018",78.22,79.53,78.20,79.06,10.26M
"Nov. 28, 2018",77.04,78.45,76.84,78.45,11.48M
"Nov. 27, 2018",76.57,77.45,76.40,77.05,10.34M
"Nov. 26, 2018",76.24,77.32,76.12,76.98,13.74M
"Nov. 23, 2018",76.05,76.20,74.70,75.49,10.88M
"Nov. 21, 2018",77.43,78.38,77.26,77.56,9.686M
"Nov. 20, 2018",78.42,78.90,76.37,76.97,15.53M
"Nov. 19, 2018",78.46,79.36,78.43,79.22,9.431M
"Nov. 16, 2018",78.37,79.19,78.10,78.96,13.70M
"Nov. 15, 2018",76.67,78.19,75.91,78.19,18.98M
"Nov. 14, 2018",78.86,79.09,76.75,77.39,18.55M
"Nov. 13, 2018",79.80,79.85,77.64,78.00,15.53M
"Nov. 12, 2018",81.66,81.73,79.73,79.83,11.91M
"Nov. 9, 2018",80.26,81.40,79.70,80.87,15.07M
"Nov. 8, 2018",83.13,83.74,81.54,81.71,16.87M
"Nov. 7, 2018",82.21,83.14,81.66,83.03,12.70M
"Nov. 6, 2018",81.74,82.10,81.35,81.99,9.063M
"Nov. 5, 2018",82.50,82.87,81.44,81.64,15.81M
"Nov. 2, 2018",81.76,82.45,80.23,81.95,19.35M
"Nov. 1, 2018",79.83,80.75,79.30,80.67,14.16M
"Oct. 31, 2018",79.34,80.35,78.90,79.68,16.63M
"Oct. 30, 2018",77.62,79.03,77.42,78.78,17.76M
