date,sales_est_0y
"March 20, 2020",216.43B
"March 19, 2020",217.87B
"March 17, 2020",217.87B
"March 16, 2020",224.54B
"March 11, 2020",244.98B
"March 9, 2020",254.83B
"March 6, 2020",263.03B
"March 5, 2020",263.48B
"March 4, 2020",263.63B
"March 2, 2020",270.30B
"Feb. 28, 2020",270.76B
"Feb. 26, 2020",267.76B
"Feb. 24, 2020",269.58B
"Feb. 12, 2020",269.52B
"Feb. 3, 2020",269.52B
"Feb. 2, 2020",271.53B
"Feb. 1, 2020",271.53B
"Jan. 31, 2020",268.84B
"Jan. 24, 2020",270.01B
"Jan. 16, 2020",268.35B
"Jan. 15, 2020",268.18B
"Jan. 13, 2020",267.90B
"Jan. 10, 2020",267.91B
"Jan. 6, 2020",267.55B
"Dec. 31, 2019",266.02B
"Dec. 19, 2019",265.54B
"Dec. 17, 2019",265.44B
"Dec. 9, 2019",265.62B
"Dec. 3, 2019",265.62B
"Nov. 13, 2019",263.37B
"Nov. 7, 2019",263.10B
"Nov. 4, 2019",263.18B
"Nov. 3, 2019",267.07B
"Nov. 1, 2019",267.07B
"Oct. 23, 2019",267.54B
"Oct. 21, 2019",267.50B
"Oct. 18, 2019",267.52B
"Oct. 17, 2019",268.86B
"Oct. 16, 2019",271.01B
"Oct. 14, 2019",270.94B
"Oct. 11, 2019",270.85B
"Oct. 7, 2019",269.91B
"Oct. 4, 2019",269.90B
"Sept. 30, 2019",270.15B
"Sept. 24, 2019",269.73B
"Sept. 18, 2019",270.19B
"Sept. 11, 2019",270.19B
"Sept. 5, 2019",271.69B
"Aug. 27, 2019",271.83B
"Aug. 21, 2019",272.21B
"Aug. 20, 2019",272.21B
"Aug. 14, 2019",273.38B
"Aug. 13, 2019",273.22B
"Aug. 6, 2019",272.65B
"Aug. 5, 2019",272.51B
"Aug. 3, 2019",277.98B
"Aug. 2, 2019",274.27B
"July 29, 2019",268.60B
"July 19, 2019",265.64B
"July 18, 2019",271.62B
"July 16, 2019",270.78B
"July 11, 2019",270.84B
"July 10, 2019",271.28B
"July 3, 2019",271.53B
"July 2, 2019",271.53B
"July 1, 2019",271.53B
"June 27, 2019",272.32B
"June 24, 2019",278.39B
"June 20, 2019",278.61B
"May 17, 2019",278.95B
"May 16, 2019",272.51B
"May 14, 2019",273.73B
"May 13, 2019",269.18B
"May 1, 2019",268.23B
"April 30, 2019",268.23B
"April 29, 2019",273.03B
"April 26, 2019",270.65B
"April 16, 2019",281.41B
"April 12, 2019",282.00B
"April 10, 2019",281.80B
"April 5, 2019",278.70B
"April 2, 2019",276.11B
"April 1, 2019",275.69B
"March 12, 2019",276.84B
"March 7, 2019",277.79B
"Feb. 27, 2019",277.72B
"Feb. 26, 2019",277.71B
"Feb. 21, 2019",277.71B
"Feb. 13, 2019",277.65B
"Feb. 6, 2019",281.37B
"Feb. 4, 2019",281.00B
"Feb. 3, 2019",282.36B
"Feb. 1, 2019",293.08B
"Jan. 26, 2019",292.93B
"Jan. 23, 2019",298.41B
"Jan. 17, 2019",293.53B
"Jan. 14, 2019",297.10B
"Jan. 13, 2019",297.11B
"Jan. 9, 2019",307.30B
"Jan. 7, 2019",309.64B
"Jan. 4, 2019",305.27B
"Dec. 31, 2018",303.64B
"Dec. 21, 2018",308.71B
"Dec. 17, 2018",310.65B
"Dec. 11, 2018",311.94B
"Dec. 10, 2018",311.94B
"Nov. 20, 2018",314.39B
"Nov. 9, 2018",313.87B
"Nov. 8, 2018",310.49B
"Nov. 6, 2018",313.87B
"Nov. 5, 2018",309.06B
"Nov. 4, 2018",294.60B
"Nov. 3, 2018",294.60B
"Nov. 2, 2018",308.23B
"Oct. 23, 2018",307.29B
"Oct. 19, 2018",307.28B
"Oct. 17, 2018",307.23B
"Oct. 15, 2018",305.46B
"Oct. 10, 2018",305.66B
"Oct. 8, 2018",305.33B
"Sept. 20, 2018",303.74B
"Sept. 11, 2018",304.07B
"Sept. 7, 2018",306.78B
"Sept. 4, 2018",307.82B
"Aug. 23, 2018",307.82B
"Aug. 21, 2018",306.42B
"July 30, 2018",306.54B
"July 27, 2018",287.54B
"July 20, 2018",299.54B
"July 19, 2018",299.73B
"July 16, 2018",299.70B
"July 13, 2018",299.78B
"July 10, 2018",299.48B
"July 6, 2018",299.97B
"July 5, 2018",300.53B
"July 3, 2018",300.32B
"July 2, 2018",301.55B
"June 28, 2018",301.62B
"June 25, 2018",300.69B
"June 21, 2018",299.89B
"May 30, 2018",300.50B
"May 23, 2018",299.87B
"May 21, 2018",299.30B
"May 15, 2018",297.45B
"May 14, 2018",292.19B
"April 30, 2018",287.96B
"April 29, 2018",287.87B
"April 27, 2018",292.13B
"April 23, 2018",297.50B
"April 19, 2018",309.25B
"April 17, 2018",310.39B
"April 13, 2018",309.80B
"April 12, 2018",308.27B
"March 21, 2018",308.21B
"March 15, 2018",299.69B
"March 14, 2018",303.27B
"March 9, 2018",303.16B
"March 8, 2018",303.59B
"March 1, 2018",320.79B
"Feb. 22, 2018",320.79B
"Feb. 15, 2018",314.72B
"Feb. 5, 2018",314.72B
"Feb. 4, 2018",307.28B
"Feb. 3, 2018",307.28B
"Feb. 2, 2018",317.30B
"Feb. 1, 2018",318.87B
"Jan. 30, 2018",307.29B
"Jan. 18, 2018",304.99B
"Jan. 16, 2018",305.00B
"Jan. 11, 2018",304.53B
"Jan. 8, 2018",303.94B
"Jan. 4, 2018",297.46B
"Jan. 2, 2018",297.41B
